bucket,count,unique_stocks,fwd_1m_mean,fwd_1m_median,fwd_1m_pct_negative,fwd_1m_pct_down10,fwd_1m_pct_down20,fwd_1m_pct_down30,fwd_1m_pct_down50,fwd_3m_mean,fwd_3m_median,fwd_3m_pct_negative,fwd_3m_pct_down10,fwd_3m_pct_down20,fwd_3m_pct_down30,fwd_3m_pct_down50,fwd_6m_mean,fwd_6m_median,fwd_6m_pct_negative,fwd_6m_pct_down10,fwd_6m_pct_down20,fwd_6m_pct_down30,fwd_6m_pct_down50,fwd_12m_mean,fwd_12m_median,fwd_12m_pct_negative,fwd_12m_pct_down10,fwd_12m_pct_down20,fwd_12m_pct_down30,fwd_12m_pct_down50,max_dd_3m_mean,max_dd_3m_median,max_dd_6m_mean,max_dd_6m_median
100-150%,6903,63,3.865174879308046,2.928737043729057,41.059988351776354,17.60337798485731,5.4018637157833425,1.1502620850320326,0.0,9.82917816952353,6.035573484643142,39.64137522228808,24.85180794309425,11.810906935388262,4.653230586840546,0.44457617071724953,18.71279837964821,11.521828781122512,36.72044678870618,25.643810114799876,16.21160409556314,8.749612162581446,2.218430034129693,41.86914131371939,28.062219977543556,36.292209963223,29.204279505182214,22.183216315613507,16.73353393513875,7.622868605817453,-13.397227963482036,-10.4813382869269,-18.348763905569527,-14.534836983936541
150-200%,3666,49,4.259806427976538,3.287641518799167,41.05031619466593,18.72422326092934,7.616167170745119,2.9969755292823756,0.384932636788562,13.734475164971771,9.679602458693282,35.93182453199218,20.8438111204247,11.316010058675607,5.308745459625594,1.1176306230790725,24.038742218778268,16.499384934825546,29.61995938497244,19.98839570641137,13.722077168552365,8.587177255584566,3.1621700029010733,48.02365360927159,34.82080617628907,32.44953299186502,27.056342271768607,22.14522446520036,17.475143115396204,10.213919855378126,-14.259895555064425,-10.70361037279428,-18.25797453192049,-13.80682173553039
200-300%,3121,38,4.581928245140966,2.673847331255108,41.8222794591114,17.933032839665163,5.441081777205409,1.5132002575660013,0.128783000643915,13.516707629156278,8.996193842359501,37.467532467532465,23.733766233766236,13.863636363636363,6.948051948051948,0.7467532467532467,26.253174045244247,16.405686063515223,32.85666777519122,23.145992683737944,14.10043232457599,8.912537412703692,3.5583638177585635,34.93029216903103,19.529294239352414,41.18053158439765,38.48809112875388,34.44943044528823,29.06454953400069,18.39834311356576,-14.830421048616191,-12.772191218784071,-19.492532701720453,-16.183784242408002
300-500%,1512,28,3.4678887443063418,1.215357739401135,46.2962962962963,27.18253968253968,11.044973544973544,2.513227513227513,0.0,12.114105208123108,5.438722804279228,41.99726402188782,28.454172366621066,15.663474692202461,8.481532147742818,1.2995896032831737,34.1106333958864,21.367528097636068,36.403831982313925,27.192336035372143,18.64406779661017,12.527634487840825,8.032424465733234,52.53065294944279,9.98970201381053,45.267489711934154,41.9753086419753,39.09465020576132,34.97942386831276,26.995884773662553,-18.306023049273982,-17.105288769202016,-21.958553718817267,-19.066170895869593
500%+,531,13,4.231575109893396,-0.0062467621744111135,50.282485875706215,27.49529190207156,11.487758945386064,1.694915254237288,0.0,17.170963840504722,10.861035397316554,38.476190476190474,26.285714285714285,14.285714285714285,4.9523809523809526,0.19047619047619047,53.156639964329685,38.44408823889371,28.51485148514851,22.37623762376238,15.643564356435643,11.287128712871288,4.356435643564356,78.05095489159135,66.45168370719027,28.74493927125506,25.708502024291498,21.65991902834008,21.25506072874494,13.360323886639677,-18.915766280818247,-17.522969304477442,-21.251833942533217,-18.66524157659525
