Entry Date,Exit Date,Ticker,Entry Price,Exit Price,Shares,Max Leverage,PnL,PnL %,Days Held,Exit Reason
1982-10-12,1982-11-16,DXY,121.23,124.86,16.3875,1.5,89.23,4.49,35,TRAILING STOP: Price 124.86 < Stop 124.87
1982-11-16,1982-11-19,DXY,124.86,123.72,15.9253,1.0,-18.15,-0.91,3,TRAILING STOP: Price 123.72 < Stop 123.82
1982-09-28,1982-11-22,SP500,123.24,134.22,16.1016,2.0,353.59,17.82,55,TRAILING STOP: Price 134.22 < Stop 135.65
1982-11-19,1982-11-26,DXY,123.72,122.64,16.0691,1.0,-17.35,-0.87,7,TRAILING STOP: Price 122.64 < Stop 122.84
1982-11-26,1982-11-30,DXY,122.64,121.0,16.2637,1.0,-26.67,-1.34,4,TRAILING STOP: Price 121.00 < Stop 121.19
1982-11-30,1982-12-07,DXY,121.0,119.36,16.4798,1.0,-27.03,-1.36,7,TRAILING STOP: Price 119.36 < Stop 119.52
1982-11-22,1982-12-10,NASDAQ,225.79,233.85,8.836,1.5,106.83,5.35,18,TRAILING STOP: Price 233.85 < Stop 234.66
1982-12-10,1982-12-15,NASDAQ,233.85,225.69,8.534,1.0,-69.64,-3.49,5,TRAILING STOP: Price 225.69 < Stop 227.89
1982-12-07,1982-12-16,DXY,119.36,119.35,16.7017,1.0,-0.17,-0.01,9,TRAILING STOP: Price 119.35 < Stop 119.59
1982-12-16,1982-12-27,DXY,119.35,117.84,16.7094,1.0,-25.23,-1.27,11,TRAILING STOP: Price 117.84 < Stop 118.06
1982-12-15,1983-01-24,NASDAQ,225.69,236.73,8.8364,2.0,195.11,9.78,40,TRAILING STOP: Price 236.73 < Stop 242.08
1983-01-20,1983-02-08,DXY,118.83,120.14,16.7783,1.0,21.98,1.1,19,TRAILING STOP: Price 120.14 < Stop 120.19
1983-01-24,1983-04-06,NASDAQ,236.73,266.47,8.4386,2.0,501.93,25.13,72,TRAILING STOP: Price 266.47 < Stop 267.65
1983-04-11,1983-04-25,DXY,121.42,121.51,16.53,1.0,1.49,0.07,14,TRAILING STOP: Price 121.51 < Stop 121.52
1983-04-25,1983-05-05,DXY,121.51,121.38,16.518,1.0,-2.15,-0.11,10,TRAILING STOP: Price 121.38 < Stop 121.45
1983-05-05,1983-06-20,DXY,121.38,125.18,16.5353,1.5,94.25,4.7,46,TRAILING STOP: Price 125.18 < Stop 125.23
1983-06-20,1983-06-24,DXY,125.18,124.27,16.0484,1.0,-14.6,-0.73,4,TRAILING STOP: Price 124.27 < Stop 124.29
1983-04-06,1983-06-28,NASDAQ,266.47,315.87,7.6858,2.0,759.35,37.08,83,TRAILING STOP: Price 315.87 < Stop 321.98
1983-06-28,1983-07-15,NASDAQ,315.87,312.87,6.4097,1.0,-19.23,-0.95,17,TRAILING STOP: Price 312.87 < Stop 314.90
1983-06-24,1983-07-20,DXY,124.27,126.1,16.1636,1.0,29.58,1.47,26,TRAILING STOP: Price 126.10 < Stop 126.10
1983-07-15,1983-07-28,NASDAQ,312.87,308.47,6.4699,1.0,-28.47,-1.41,13,TRAILING STOP: Price 308.47 < Stop 313.53
1983-07-28,1983-08-04,NASDAQ,308.47,299.7,6.5612,1.0,-57.54,-2.84,7,TRAILING STOP: Price 299.70 < Stop 301.21
1983-07-20,1983-08-16,DXY,126.1,129.25,16.0549,1.5,75.86,3.75,27,TRAILING STOP: Price 129.25 < Stop 130.31
1983-08-04,1983-08-23,NASDAQ,299.7,293.66,6.7494,1.0,-40.77,-2.02,19,TRAILING STOP: Price 293.66 < Stop 294.54
1983-08-23,1983-09-15,NASDAQ,293.66,297.19,6.8906,1.0,24.32,1.2,23,TRAILING STOP: Price 297.19 < Stop 297.32
1983-08-16,1983-09-19,DXY,129.25,129.31,15.6622,1.0,0.94,0.05,34,TRAILING STOP: Price 129.31 < Stop 129.61
1983-09-19,1983-09-26,DXY,129.31,128.91,15.6524,1.0,-6.26,-0.31,7,TRAILING STOP: Price 128.91 < Stop 129.14
1983-09-15,1983-09-28,NASDAQ,297.19,299.76,6.8104,1.0,17.5,0.86,13,TRAILING STOP: Price 299.76 < Stop 299.78
1983-09-28,1983-10-03,NASDAQ,299.76,294.64,6.7529,1.0,-34.57,-1.71,5,TRAILING STOP: Price 294.64 < Stop 295.41
1983-09-26,1983-10-05,DXY,128.91,127.33,15.7,1.0,-24.81,-1.23,9,TRAILING STOP: Price 127.33 < Stop 127.81
1983-10-03,1983-10-12,NASDAQ,294.64,291.59,6.8679,1.0,-20.95,-1.04,9,TRAILING STOP: Price 291.59 < Stop 293.21
1983-10-12,1983-10-18,NASDAQ,291.59,283.62,6.9366,1.0,-55.28,-2.73,6,TRAILING STOP: Price 283.62 < Stop 287.27
1983-10-18,1983-11-04,SP500,167.81,162.44,12.0466,1.0,-64.69,-3.2,17,TRAILING STOP: Price 162.44 < Stop 162.91
1983-11-04,1983-12-14,SP500,162.44,163.33,12.4369,1.5,16.6,0.82,40,TRAILING STOP: Price 163.33 < Stop 164.66
1983-10-05,1983-12-27,DXY,127.33,133.07,15.8883,1.5,136.8,6.76,83,TRAILING STOP: Price 133.07 < Stop 133.09
1983-12-27,1983-12-29,DXY,133.07,132.0,14.9012,1.0,-15.94,-0.8,2,TRAILING STOP: Price 132.00 < Stop 132.07
1983-12-29,1984-01-16,DXY,132.0,134.47,15.0195,1.5,55.65,2.81,18,TRAILING STOP: Price 134.47 < Stop 134.70
1983-12-27,1984-01-23,SP500,164.76,164.87,12.2807,1.0,1.35,0.07,27,TRAILING STOP: Price 164.87 < Stop 165.66
1983-12-14,1984-01-24,NIKKEI,9401.1699,10022.9199,0.2149,2.0,267.26,13.23,41,TRAILING STOP: Price 10022.92 < Stop 10033.50
1984-01-16,1984-02-02,DXY,134.47,133.65,14.7519,1.0,-12.1,-0.61,17,TRAILING STOP: Price 133.65 < Stop 134.05
1984-01-24,1984-02-03,SP500,165.94,160.91,12.235,1.0,-61.54,-3.03,10,TRAILING STOP: Price 160.91 < Stop 161.59
1984-02-03,1984-02-09,NIKKEI,10134.1299,10001.54,0.2001,1.0,-26.53,-1.31,6,TRAILING STOP: Price 10001.54 < Stop 10020.01
1984-02-09,1984-02-14,NIKKEI,10001.54,9830.4697,0.2027,1.0,-34.68,-1.71,5,TRAILING STOP: Price 9830.47 < Stop 9873.24
1984-02-02,1984-02-15,DXY,133.65,130.91,15.1822,1.0,-41.6,-2.05,13,TRAILING STOP: Price 130.91 < Stop 132.39
1984-02-15,1984-02-24,DXY,130.91,129.29,15.4754,1.0,-25.07,-1.24,9,TRAILING STOP: Price 129.29 < Stop 130.24
1984-02-14,1984-03-01,NIKKEI,9830.4697,9920.2695,0.2062,1.0,18.51,0.91,16,TRAILING STOP: Price 9920.27 < Stop 9943.48
1984-02-24,1984-03-05,DXY,129.29,126.88,15.6654,1.0,-37.75,-1.86,10,TRAILING STOP: Price 126.88 < Stop 127.59
1984-03-21,1984-03-27,DXY,129.97,127.92,15.5806,1.0,-31.94,-1.58,6,TRAILING STOP: Price 127.92 < Stop 128.15
1984-03-01,1984-04-19,NIKKEI,9920.2695,10783.04,0.2042,2.0,352.37,17.39,49,TRAILING STOP: Price 10783.04 < Stop 10847.10
1984-04-19,1984-05-10,NIKKEI,10783.04,10879.71,0.1921,1.5,27.86,1.34,21,TRAILING STOP: Price 10879.71 < Stop 11008.45
1984-05-10,1984-05-14,NIKKEI,10879.71,10563.3398,0.1905,1.0,-60.27,-2.91,4,TRAILING STOP: Price 10563.34 < Stop 10658.34
1984-05-14,1984-05-17,NIKKEI,10563.3398,10340.5098,0.1961,1.0,-43.69,-2.11,3,TRAILING STOP: Price 10340.51 < Stop 10372.97
1984-05-17,1984-05-22,NIKKEI,10340.5098,10061.9404,0.2002,1.0,-55.78,-2.69,5,TRAILING STOP: Price 10061.94 < Stop 10069.98
1984-05-22,1984-06-01,NIKKEI,10061.9404,9913.1699,0.2057,1.0,-30.6,-1.48,10,TRAILING STOP: Price 9913.17 < Stop 9946.58
1984-05-22,1984-06-01,DXY,134.06,132.0,15.1269,1.0,-31.16,-1.54,10,TRAILING STOP: Price 132.00 < Stop 133.01
1984-06-01,1984-06-15,NIKKEI,9913.1699,10057.0498,0.2086,1.0,30.02,1.45,14,TRAILING STOP: Price 10057.05 < Stop 10131.61
1984-06-15,1984-07-12,NIKKEI,10057.0498,10270.1602,0.2017,1.5,64.46,3.18,27,TRAILING STOP: Price 10270.16 < Stop 10310.78
1984-07-12,1984-07-19,NIKKEI,10270.1602,10088.79,0.1976,1.0,-35.84,-1.77,7,TRAILING STOP: Price 10088.79 < Stop 10116.20
1984-07-19,1984-07-23,NIKKEI,10088.79,9703.3496,0.2011,1.0,-77.51,-3.82,4,TRAILING STOP: Price 9703.35 < Stop 9882.72
1984-06-01,1984-08-03,DXY,132.0,139.36,15.3538,1.5,169.51,8.36,63,TRAILING STOP: Price 139.36 < Stop 139.71
1984-08-03,1984-08-16,DXY,139.36,139.01,14.5704,1.0,-5.1,-0.25,13,TRAILING STOP: Price 139.01 < Stop 139.36
1984-08-02,1984-09-06,NIKKEI,10086.8701,10458.4902,0.201,1.5,112.03,5.53,35,TRAILING STOP: Price 10458.49 < Stop 10522.96
1984-09-06,1984-09-20,NIKKEI,10458.4902,10521.3398,0.1943,1.0,12.21,0.6,14,TRAILING STOP: Price 10521.34 < Stop 10544.64
1984-08-16,1984-09-21,DXY,139.01,146.92,14.6064,1.5,173.3,8.54,36,TRAILING STOP: Price 146.92 < Stop 147.11
1984-09-13,1984-10-02,SP500,167.94,163.59,11.8611,1.0,-51.6,-2.59,19,TRAILING STOP: Price 163.59 < Stop 164.03
1984-09-21,1984-10-23,DXY,146.92,146.78,13.8653,1.0,-1.94,-0.1,32,TRAILING STOP: Price 146.78 < Stop 147.69
1984-10-23,1984-11-01,DXY,146.78,144.76,13.5936,1.0,-27.46,-1.38,9,TRAILING STOP: Price 144.76 < Stop 145.48
1984-11-01,1984-11-07,DXY,144.76,142.37,13.7794,1.0,-32.93,-1.65,6,TRAILING STOP: Price 142.37 < Stop 142.42
1984-10-02,1984-11-08,NIKKEI,10540.0498,11166.9199,0.1931,1.5,181.56,8.92,37,TRAILING STOP: Price 11166.92 < Stop 11177.41
1984-10-18,1984-11-15,SP500,168.1,165.89,11.8646,1.0,-26.22,-1.31,28,TRAILING STOP: Price 165.89 < Stop 166.27
1984-11-07,1984-12-06,DXY,142.37,147.61,14.0061,1.5,110.09,5.52,29,TRAILING STOP: Price 147.61 < Stop 147.63
1984-11-15,1984-12-10,NIKKEI,11301.6201,11316.8701,0.1803,1.0,2.75,0.13,25,TRAILING STOP: Price 11316.87 < Stop 11430.18
1984-12-13,1985-01-04,SP500,161.81,163.68,12.3505,1.0,23.1,1.16,22,TRAILING STOP: Price 163.68 < Stop 163.71
1985-01-04,1985-01-14,FTSE,1214.6,1220.5,1.6457,1.0,9.71,0.49,10,TRAILING STOP: Price 1220.50 < Stop 1224.42
1984-12-10,1985-01-25,NIKKEI,11316.8701,11785.0996,0.1802,1.5,126.56,6.21,46,TRAILING STOP: Price 11785.10 < Stop 11841.52
1984-12-06,1985-02-27,DXY,147.61,159.89,13.8148,2.0,339.29,16.64,83,TRAILING STOP: Price 159.89 < Stop 161.57
1985-01-10,1985-03-13,SP500,168.31,178.19,11.6388,1.5,172.49,8.81,62,TRAILING STOP: Price 178.19 < Stop 178.68
1985-02-27,1985-03-19,DXY,159.89,157.22,12.8263,1.0,-34.25,-1.67,20,TRAILING STOP: Price 157.22 < Stop 159.78
1985-03-19,1985-03-27,DXY,157.22,150.61,13.0499,1.0,-86.26,-4.2,8,TRAILING STOP: Price 150.61 < Stop 153.38
1985-03-27,1985-04-11,DXY,150.61,148.82,13.6111,1.0,-24.36,-1.19,15,TRAILING STOP: Price 148.82 < Stop 149.12
1985-04-11,1985-04-18,DXY,148.82,144.83,13.7716,1.0,-54.95,-2.68,7,TRAILING STOP: Price 144.83 < Stop 145.29
1985-03-13,1985-05-01,NASDAQ,278.2,279.6,7.3775,1.0,10.33,0.5,49,TRAILING STOP: Price 279.60 < Stop 280.13
1985-04-23,1985-05-09,DXY,148.71,150.28,13.7744,1.5,32.44,1.58,16,TRAILING STOP: Price 150.28 < Stop 150.85
1985-05-01,1985-05-30,NASDAQ,279.6,289.9,7.3272,1.5,113.2,5.53,29,TRAILING STOP: Price 289.90 < Stop 290.04
1985-05-09,1985-06-03,DXY,150.28,146.94,13.6367,1.0,-45.55,-2.22,25,TRAILING STOP: Price 146.94 < Stop 147.70
1985-05-30,1985-06-13,NASDAQ,289.9,286.9,7.0768,1.0,-21.23,-1.03,14,TRAILING STOP: Price 286.90 < Stop 287.74
1985-06-13,1985-07-29,NASDAQ,286.9,300.9,7.289,1.5,153.07,7.32,46,TRAILING STOP: Price 300.90 < Stop 302.98
1985-07-29,1985-08-07,NASDAQ,300.9,298.2,6.9601,1.0,-18.79,-0.9,9,TRAILING STOP: Price 298.20 < Stop 298.97
1985-08-07,1985-09-04,NASDAQ,298.2,295.6,7.0218,1.0,-18.26,-0.87,28,TRAILING STOP: Price 295.60 < Stop 295.90
1985-09-04,1985-09-11,NASDAQ,295.6,291.4,7.0823,1.0,-29.75,-1.42,7,TRAILING STOP: Price 291.40 < Stop 292.80
1985-09-11,1985-09-13,NASDAQ,291.4,287.2,7.1824,1.0,-30.17,-1.44,2,TRAILING STOP: Price 287.20 < Stop 287.54
1985-09-13,1985-09-17,NASDAQ,287.2,281.1,7.2853,1.0,-44.44,-2.12,4,TRAILING STOP: Price 281.10 < Stop 282.69
1985-09-17,1985-09-26,FTSE,1296.0,1270.8,1.5815,1.0,-39.85,-1.94,9,TRAILING STOP: Price 1270.80 < Stop 1275.42
1985-09-19,1985-09-26,NASDAQ,283.6,280.2,7.0826,1.0,-24.08,-1.2,7,TRAILING STOP: Price 280.20 < Stop 280.46
1985-09-17,1985-10-25,NIKKEI,12591.5098,12854.9902,0.1661,1.5,65.65,3.14,38,TRAILING STOP: Price 12854.99 < Stop 12923.31
1985-09-27,1985-12-04,FTSE,1280.7,1399.6,1.5994,2.0,380.34,18.57,68,TRAILING STOP: Price 1399.60 < Stop 1413.89
1985-10-01,1986-01-09,SP500,185.07,206.11,10.8466,1.0,228.21,11.37,100,TRAILING STOP: Price 206.11 < Stop 206.93
1986-01-09,1986-04-30,NASDAQ,323.0,383.2,6.5129,2.0,784.15,37.28,111,TRAILING STOP: Price 383.20 < Stop 384.27
1986-04-30,1986-06-10,NASDAQ,383.2,392.8,5.5306,1.5,79.64,3.76,41,TRAILING STOP: Price 392.80 < Stop 393.62
1986-06-10,1986-07-07,NASDAQ,392.8,401.0,5.3995,1.5,66.41,3.13,27,TRAILING STOP: Price 401.00 < Stop 403.12
1986-07-07,1986-07-08,NASDAQ,401.0,390.7,5.2924,1.0,-54.51,-2.57,1,TRAILING STOP: Price 390.70 < Stop 392.10
1986-07-08,1986-07-15,NASDAQ,390.7,378.7,5.4292,1.0,-65.15,-3.07,7,TRAILING STOP: Price 378.70 < Stop 383.12
1986-07-15,1986-08-01,NASDAQ,378.7,370.7,5.5978,1.0,-44.78,-2.11,17,TRAILING STOP: Price 370.70 < Stop 370.91
1986-08-01,1986-09-08,NASDAQ,370.7,372.0,5.7161,1.5,11.15,0.53,38,TRAILING STOP: Price 372.00 < Stop 375.68
1986-09-08,1986-09-11,NASDAQ,372.0,353.3,5.6968,1.0,-106.53,-5.03,3,TRAILING STOP: Price 353.30 < Stop 363.52
1986-09-11,1986-11-18,SP500,235.18,236.78,9.0019,1.5,21.6,1.02,68,TRAILING STOP: Price 236.78 < Stop 240.23
1986-11-18,1986-12-04,FTSE,1617.5,1610.1,1.2829,1.0,-9.49,-0.46,16,TREND REVERSAL: Death cross + below SMA200
1986-11-25,1986-12-29,SP500,248.17,244.67,8.1946,1.0,-28.68,-1.41,34,TRAILING STOP: Price 244.67 < Stop 246.25
1986-11-18,1987-01-13,NIKKEI,17273.5293,18544.0508,0.1226,2.0,311.5,14.71,56,TRAILING STOP: Price 18544.05 < Stop 18654.42
1986-12-29,1987-03-30,SP500,244.67,289.2,8.4783,2.0,755.08,36.4,91,TRAILING STOP: Price 289.20 < Stop 291.59
1987-03-30,1987-04-13,NASDAQ,427.1,423.7,5.006,1.0,-17.02,-0.8,14,TRAILING STOP: Price 423.70 < Stop 426.97
1987-04-13,1987-04-27,NASDAQ,423.7,409.7,5.0454,1.0,-70.64,-3.3,14,TRAILING STOP: Price 409.70 < Stop 410.35
1987-04-27,1987-05-18,NASDAQ,409.7,413.5,5.2143,1.5,29.72,1.39,21,TRAILING STOP: Price 413.50 < Stop 414.56
1987-05-18,1987-07-23,NASDAQ,413.5,427.6,5.1679,1.5,109.3,5.11,66,TRAILING STOP: Price 427.60 < Stop 428.39
1987-07-23,1987-09-04,NASDAQ,427.6,446.5,5.0026,1.5,141.82,6.63,43,TRAILING STOP: Price 446.50 < Stop 447.70
1987-09-04,1987-09-21,NASDAQ,446.5,436.0,4.7972,1.0,-50.37,-2.35,17,TRAILING STOP: Price 436.00 < Stop 437.35
1987-09-21,1987-10-07,NASDAQ,436.0,444.6,4.9104,1.5,63.34,2.96,16,TRAILING STOP: Price 444.60 < Stop 444.94
1987-10-07,1987-10-12,NASDAQ,444.6,433.0,4.8182,1.0,-55.89,-2.61,5,TRAILING STOP: Price 433.00 < Stop 434.75
1987-10-12,1987-10-15,NASDAQ,433.0,422.5,4.9447,1.0,-51.92,-2.42,3,TRAILING STOP: Price 422.50 < Stop 423.64
1987-10-15,1987-10-19,NIKKEI,26428.2207,25746.5605,0.081,1.0,-55.2,-2.58,4,TRAILING STOP: Price 25746.56 < Stop 25865.11
1987-10-15,1987-10-19,FTSE,2301.8999,2052.3,0.9111,1.0,-227.41,-10.84,4,STOP LOSS: -10.8%
1987-10-19,1987-10-20,NIKKEI,25746.5605,21910.0801,0.0829,1.0,-318.04,-14.9,1,STOP LOSS: -14.9%
1987-10-21,1987-10-26,NIKKEI,23947.4004,22202.5605,0.0889,1.0,-155.05,-7.29,5,TRAILING STOP: Price 22202.56 < Stop 22724.21
1988-03-22,1988-06-27,NIKKEI,25842.75,27435.0098,0.0822,1.5,196.39,9.24,97,TRAILING STOP: Price 27435.01 < Stop 27664.70
1988-06-27,1988-07-19,NIKKEI,27435.0098,27149.0293,0.0776,1.0,-22.19,-1.04,22,TRAILING STOP: Price 27149.03 < Stop 27295.72
1988-07-19,1988-08-26,NIKKEI,27149.0293,27565.4102,0.0784,1.0,32.64,1.53,38,TRAILING STOP: Price 27565.41 < Stop 27704.30
1988-08-08,1988-09-06,DXY,98.39,97.01,21.1997,1.0,-29.26,-1.4,29,TRAILING STOP: Price 97.01 < Stop 97.02
1988-09-06,1988-10-10,DXY,97.01,96.87,21.5104,1.0,-3.01,-0.14,34,TRAILING STOP: Price 96.87 < Stop 97.20
1988-10-11,1988-10-13,DXY,96.69,94.8,21.581,1.0,-40.79,-1.95,2,TRAILING STOP: Price 94.80 < Stop 95.37
1988-10-17,1988-10-27,RUSSELL2000,148.15,146.67,13.7977,1.0,-20.42,-1.0,10,TRAILING STOP: Price 146.67 < Stop 147.23
1988-10-27,1988-11-07,RUSSELL2000,146.67,144.76,13.9342,1.0,-26.61,-1.3,11,TRAILING STOP: Price 144.76 < Stop 145.37
1988-10-14,1988-11-09,DXY,94.37,92.44,22.1029,1.0,-42.66,-2.05,26,TRAILING STOP: Price 92.44 < Stop 92.66
1988-11-07,1988-11-14,RUSSELL2000,144.76,142.91,14.1143,1.0,-26.11,-1.28,7,TRAILING STOP: Price 142.91 < Stop 143.23
1988-11-14,1989-02-22,SP500,267.72,290.91,7.7825,2.0,360.95,17.32,100,TRAILING STOP: Price 290.91 < Stop 291.18
1988-08-26,1989-03-13,NIKKEI,27565.4102,31552.9609,0.0757,2.0,603.9,28.93,199,TRAILING STOP: Price 31552.96 < Stop 31591.11
1989-03-13,1989-03-17,NASDAQ,406.6,402.2,5.0708,1.0,-22.31,-1.08,4,TRAILING STOP: Price 402.20 < Stop 402.44
1989-02-22,1989-03-20,RUSSELL2000,155.39,155.3,13.4549,1.0,-1.21,-0.06,26,TRAILING STOP: Price 155.30 < Stop 156.57
1989-02-27,1989-04-17,DXY,94.89,96.76,21.5927,1.5,60.57,2.96,49,TRAILING STOP: Price 96.76 < Stop 96.78
1989-04-17,1989-06-02,DXY,96.76,101.22,21.7454,1.5,145.48,6.91,46,TRAILING STOP: Price 101.22 < Stop 101.28
1989-03-17,1989-06-20,NASDAQ,402.2,444.6,5.1251,2.0,434.61,21.08,95,TRAILING STOP: Price 444.60 < Stop 446.05
