date,ticker,pattern,mom_12m,rsi,pct_from_high,fwd_6m,fwd_12m,year,put_return
2019-07-22 00:00:00-04:00,TLRY,down_50_from_high,0.8847700379800061,20.067447463952718,-0.8028590204858679,-0.5002369812879517,-0.8246445497630331,2019,3.168641510732931
2019-07-25 00:00:00-04:00,TLRY,down_50_from_high,0.6494478616937616,26.090982660793983,-0.8045875134496319,-0.5278508109884296,-0.8297872363709426,2019,3.3987567582369134
2019-07-26 00:00:00-04:00,TLRY,down_50_from_high,0.588901485822459,32.31578058047022,-0.803372897928329,-0.5590401311596078,-0.824899030608283,2019,3.6586677596633987
2019-07-29 00:00:00-04:00,TLRY,down_50_from_high,0.539393916274562,28.82628214698245,-0.8101466993571321,-0.5194389616514035,-0.8001968549022052,2019,3.3286580137616957
2019-07-30 00:00:00-04:00,TLRY,down_50_from_high,0.6773662802613811,24.124131707643414,-0.8095861031914376,-0.535574091714605,-0.8152600541604645,2019,3.463117430955042
2019-07-31 00:00:00-04:00,TLRY,down_50_from_high,0.7872155127641378,26.530623617325986,-0.8093058051085904,-0.5291523978427467,-0.8155316001961139,2019,3.4096033153562226
2019-08-01 00:00:00-04:00,TLRY,down_50_from_high,0.8257918552036199,31.147549185049996,-0.8115014567915823,-0.5653036086828145,-0.8171003641839956,2019,3.710863405690121
2019-08-02 00:00:00-04:00,TLRY,down_50_from_high,0.8857391545646105,45.070413021980336,-0.7980005726572093,-0.6008325426923209,-0.8281683531439987,2019,4.006937855769341
2019-08-05 00:00:00-04:00,TLRY,down_50_from_high,0.7716799300512043,40.093452239705016,-0.8024385804898734,-0.5708205187526516,-0.7942776040301966,2019,3.756837656272097
2019-08-06 00:00:00-04:00,TLRY,down_50_from_high,0.7610765540081521,42.02225688556474,-0.8013174024150372,-0.5864095957084521,-0.8093110726502074,2019,3.8867466309037675
2019-08-07 00:00:00-04:00,TLRY,down_50_from_high,0.6880032129457436,42.97911804194111,-0.804120354730404,-0.5759599135987875,-0.8149296428970171,2019,3.7996659466565625
2019-08-08 00:00:00-04:00,TLRY,down_50_from_high,0.7783630002810016,51.21753234689566,-0.7949640409822286,-0.6144907739776628,-0.830029620616227,2019,4.120756449813857
2019-08-09 00:00:00-04:00,TLRY,down_50_from_high,0.7206953221880439,51.51020906409438,-0.8011305275221039,-0.6239135505928668,-0.8127789648512352,2019,4.19927958827389
2019-08-12 00:00:00-04:00,TLRY,down_50_from_high,0.6585937738418579,47.799824688485025,-0.801644404964565,-0.6029203869996844,-0.8367875599256049,2019,4.024336558330703
2019-08-13 00:00:00-04:00,TLRY,down_50_from_high,0.7823392348952769,60.03963656271341,-0.7850135517087448,-0.6451542835285853,-0.8500651930253343,2019,4.376285696071545
2021-02-12 00:00:00-05:00,TLRY,down_50_from_high,0.797892092456719,56.87849219989336,-0.5462368783004206,-0.5413793103448277,-0.7544827691439925,2021,3.511494252873564
2021-02-17 00:00:00-05:00,TLRY,down_50_from_high,0.8426900941726061,57.017545164220714,-0.5069628882169387,-0.5836242640213063,-0.7730879129957521,2021,3.863535533510886
2021-02-19 00:00:00-05:00,TLRY,down_50_from_high,0.5181913480759888,55.662013007625426,-0.5429509978689743,-0.5659020869488722,-0.7702841592877546,2021,3.7158507245739356
2021-02-24 00:00:00-05:00,TLRY,down_50_from_high,0.6885938017269044,50.85632159140348,-0.5621968416812354,-0.5064331232004935,-0.7887776945942875,2021,3.2202760266707795
2021-02-25 00:00:00-05:00,TLRY,down_50_from_high,0.5418502794884033,48.86589781710643,-0.6166483971848381,-0.4473469636878189,-0.7481632621920838,2021,2.7278913640651576
2021-02-26 00:00:00-05:00,TLRY,down_50_from_high,0.6753783791555277,49.31726870714689,-0.6188389682221799,-0.4560755472900304,-0.7512315395904807,2021,2.8006295607502536
2021-03-01 00:00:00-05:00,TLRY,down_50_from_high,0.7713097761462728,47.65114636349309,-0.6000625631863351,-0.4749609008464091,-0.7613458585940113,2021,2.958007507053409
2021-03-02 00:00:00-05:00,TLRY,down_50_from_high,0.6872964169381108,40.26742298942007,-0.594742591309686,-0.49305018126734435,-0.7741312741312741,2021,3.108751510561203
2021-03-03 00:00:00-05:00,TLRY,down_50_from_high,0.9423963120138825,19.619256209350596,-0.6042872734197471,-0.4586793309591003,-0.7694740978881811,2021,2.8223277579925026
2021-03-04 00:00:00-05:00,TLRY,down_50_from_high,0.8105515808367902,36.19738540958446,-0.6455953549484319,-0.4008830156810499,-0.7607063983976183,2021,2.3406917973420827
2021-03-05 00:00:00-05:00,TLRY,down_50_from_high,0.9312500272478377,38.594861343588725,-0.6615552944538131,-0.3596856308556837,-0.7577438706122428,2021,1.9973802571306978
2021-03-08 00:00:00-05:00,TLRY,down_50_from_high,1.237524987790684,27.775754320023665,-0.6491941706887222,-0.39384480041782677,-0.7716324644966018,2021,2.2820400034818897
2021-03-09 00:00:00-05:00,TLRY,down_50_from_high,2.1825295412754238,36.52239908025532,-0.618056618012353,-0.45514134914196347,-0.7828758759738652,2021,2.792844576183029
2021-03-10 00:00:00-05:00,TLRY,down_50_from_high,2.073979532008667,43.25539549835522,-0.6229071988634529,-0.46887966804979253,-0.7717842323651453,2021,2.9073305670816048
2021-03-11 00:00:00-05:00,TLRY,down_50_from_high,2.9774329186307336,47.9158054865142,-0.5587544816576503,-0.5439716095620013,-0.8078014157342572,2021,3.533096746350011
2021-03-12 00:00:00-05:00,TLRY,down_50_from_high,3.63361365053834,52.917051150195746,-0.5686120752011219,-0.5498730758817277,-0.8117519070441475,2021,3.582275632347731
2021-03-15 00:00:00-04:00,TLRY,down_50_from_high,6.560794490706195,62.167957845463874,-0.5232357630311639,-0.5986216010760776,-0.8398424769215207,2021,3.988513342300647
2021-03-16 00:00:00-04:00,TLRY,down_50_from_high,7.8426233510502055,47.86469833208833,-0.5780002777190442,-0.5647015342522175,-0.8146088330110336,2021,3.7058461187684792
2021-03-17 00:00:00-04:00,TLRY,down_50_from_high,8.47241421403556,57.18432869811588,-0.5701767756207756,-0.562067718580616,-0.8059701606533227,2021,3.683897654838467
2021-03-18 00:00:00-04:00,TLRY,down_50_from_high,9.25101170556036,52.11640006956609,-0.6038178585187642,-0.5256714063125707,-0.7863349165632891,2021,3.380595052604756
2021-03-19 00:00:00-04:00,TLRY,down_50_from_high,5.584415584415584,49.51185354627442,-0.6033484436177814,-0.5199211165749815,-0.7826430040468596,2021,3.3326759714581797
