date,asset,trailing_12m,price,fwd_21d,fwd_63d,fwd_126d,fwd_252d
1983-06-06,SP500,0.5035118668300045,164.8300018310547,0.022143989904371386,0.0010313545292535142,0.0037007862863267516,-0.06364136004752319
1983-06-13,SP500,0.5027804965720937,164.83999633789062,0.003761286033431288,0.0038825491620162467,0.0014559906484836738,-0.07146323126063481
1983-06-14,SP500,0.5204371691309952,165.52999877929688,0.002899750686152336,-0.00441005094497926,0.0005436859696388296,-0.08058959968746815
1983-06-15,SP500,0.5531598279472241,167.1199951171875,-0.016933951135351788,-0.01059112652816152,-0.013104371142846127,-0.08969597099296078
1983-06-16,SP500,0.5766219361878799,169.13999938964844,-0.030684654488203122,-0.028142334894245336,-0.034350228092464574,-0.11085491348977461
1983-06-17,SP500,0.5777053143431623,169.1300048828125,-0.025483340827549106,-0.01702834978812906,-0.04416721459849171,-0.11884352582761759
1983-06-20,SP500,0.560664815417266,169.02000427246094,0.0015973790489121065,-0.008283097384239935,-0.039226154982962336,-0.10229563429101751
1983-06-21,SP500,0.5483021583830172,170.52999877929688,-0.008620191351819684,-0.007564612064545617,-0.04814397181638197,-0.10508413943131323
1983-06-22,SP500,0.5568606268093157,170.99000549316406,-0.012281455266691443,-0.015088611896429405,-0.052576204481866506,-0.09445001834285038
1983-06-23,SP500,0.5628551244100222,170.57000732421875,-0.006097253328629093,-0.00474885843114925,-0.04109755211712218,-0.09415496352096653
1983-06-24,SP500,0.5455287534963154,170.41000366210938,0.0007041553583053695,-0.005281433812172165,-0.040373245319882956,-0.09359777363697497
1983-06-27,SP500,0.5285365040675452,168.4600067138672,-0.005164492112684549,0.00955716814784524,-0.031105338266217197,-0.08601451333060695
1983-06-28,SP500,0.5115408425619008,165.67999267578125,-0.0038628646664709,0.016598262443078937,-0.00555286220192952,-0.07828335668323572
1983-06-29,SP500,0.5328856663880708,166.63999938964844,-0.024483928504551722,0.008161309501517167,-0.007801266541762608,-0.09001440263406402
1983-06-30,SP500,0.5572688993352966,167.63999938964844,-0.03340495182476966,-0.002445738866631686,-0.016583147157112954,-0.08828443751874471
1983-07-01,SP500,0.5718146886998705,168.63999938964844,-0.03931454522538069,-0.015239516572172374,-0.02199956550815141,-0.09167461319865355
1983-07-05,SP500,0.5538146260657457,166.60000610351562,-0.018967608321370233,-0.004741947875025909,-0.015366222830701215,-0.08043222487607504
1983-07-06,SP500,0.5668185403158128,168.47999572753906,-0.04243823645417899,-0.01311723356553296,-0.010090200565955443,-0.08772554103811026
1983-07-07,SP500,0.5396489455059483,167.55999755859375,-0.03473377984142367,0.0010742894318040985,0.007460014431922346,-0.08832658908688773
1983-07-08,SP500,0.5248699671115094,167.0800018310547,-0.04728279308532479,0.01915248332040309,0.01316732657488684,-0.08881970418516216
1983-07-11,SP500,0.5359525381243189,168.11000061035156,-0.04746889357305539,0.01600144210124177,0.004699264072717924,-0.08774016980814736
1983-07-20,SP500,0.518568247115178,169.2899932861328,-0.03390625826698046,-0.008742369816493456,-0.010278163526382111,-0.10567665012196481
1983-07-21,SP500,0.5207340140608157,169.05999755859375,-0.030048514754615674,-0.013782100228927008,-0.0119484461234588,-0.11055248261747175
1983-07-22,SP500,0.5303551871655832,168.88999938964844,-0.02694063039967476,-0.011309157848374274,-0.01586827334635843,-0.11451238325409108
1983-07-25,SP500,0.5492095248699227,169.52999877929688,-0.03987491627152351,-0.02111721734697425,-0.027487782077884715,-0.12139445513620761
1983-07-26,SP500,0.5827919264943868,170.52999877929688,-0.05441857060766897,-0.026622842424391058,-0.026916063864112716,-0.1331729995756924
1983-07-27,SP500,0.5557927445110431,167.58999633789062,-0.0402768670415794,-0.0066829473218043,-0.016409093979902756,-0.11193982288186533
