date,asset,trailing_12m,price,fwd_21d,fwd_63d,fwd_126d,fwd_252d,below_50sma,rsi_below_50,rsi,pct_above_200sma,breakdown_signal
1983-06-06,SP500,0.5035118668300045,164.8300018310547,0.022143989904371386,0.0010313545292535142,0.0037007862863267516,-0.06364136004752319,False,False,55.71544793787209,0.14812187096426044,False
1983-06-13,SP500,0.5027804965720937,164.83999633789062,0.003761286033431288,0.0038825491620162467,0.0014559906484836738,-0.07146323126063481,False,False,54.40901135771556,0.1391152172632788,False
1983-06-14,SP500,0.5204371691309952,165.52999877929688,0.002899750686152336,-0.00441005094497926,0.0005436859696388296,-0.08058959968746815,False,True,49.96570181419076,0.14199455888692092,False
1983-06-15,SP500,0.5531598279472241,167.1199951171875,-0.016933951135351788,-0.01059112652816152,-0.013104371142846127,-0.08969597099296078,False,False,52.93734047971093,0.1510735524295861,False
1983-06-16,SP500,0.5766219361878799,169.13999938964844,-0.030684654488203122,-0.028142334894245336,-0.034350228092464574,-0.11085491348977461,False,False,60.905851991554016,0.16294859293141362,False
1983-06-17,SP500,0.5777053143431623,169.1300048828125,-0.025483340827549106,-0.01702834978812906,-0.04416721459849171,-0.11884352582761759,False,False,64.80658498330436,0.1609306303494753,False
1983-06-20,SP500,0.560664815417266,169.02000427246094,0.0015973790489121065,-0.008283097384239935,-0.039226154982962336,-0.10229563429101751,False,False,74.00436659993017,0.15833333579949027,False
1983-06-21,SP500,0.5483021583830172,170.52999877929688,-0.008620191351819684,-0.007564612064545617,-0.04814397181638197,-0.10508413943131323,False,False,76.31926725547923,0.16671631674405707,False
1983-06-22,SP500,0.5568606268093157,170.99000549316406,-0.012281455266691443,-0.015088611896429405,-0.052576204481866506,-0.09445001834285038,False,False,74.70052346562633,0.16791425848805575,False
1983-06-23,SP500,0.5628551244100222,170.57000732421875,-0.006097253328629093,-0.00474885843114925,-0.04109755211712218,-0.09415496352096653,False,False,71.70081139725083,0.16311504452338066,False
1983-06-24,SP500,0.5455287534963154,170.41000366210938,0.0007041553583053695,-0.005281433812172165,-0.040373245319882956,-0.09359777363697497,False,False,70.04311266183691,0.16006850689528096,False
1983-06-27,SP500,0.5285365040675452,168.4600067138672,-0.005164492112684549,0.00955716814784524,-0.031105338266217197,-0.08601451333060695,False,False,70.6010262393763,0.14499255358844643,False
