Date,Equity,Returns,Peak,Drawdown
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100011.9601337923,0.0001196013379229921,100011.9601337923,0.0
1981-01-05,100018.0883845426,6.127517890974765e-05,100018.0883845426,0.0
1981-01-06,100012.92228799866,-5.165162249531896e-05,100018.0883845426,-5.1651622495269304e-05
1981-01-07,99957.49336429514,-0.0005542176194383019,100018.0883845426,-0.0006058406156943505
1981-01-08,99954.86802849623,-2.6264522153818248e-05,100018.0883845426,-0.0006320892257338736
1981-01-09,99983.87911260074,0.0002902418329064904,100018.0883845426,-0.00034203085156289377
1981-01-12,99998.66112260452,0.000147843933791858,100018.0883845426,-0.00019423748495758528
1981-01-13,100005.34226630685,6.681233155858557e-05,100018.0883845426,-0.00012743813085834698
1981-01-14,100008.97455748598,3.632097142824975e-05,100018.0883845426,-9.112178810671781e-05
1981-01-15,100019.69948965723,0.00010723969742421069,100019.69948965723,0.0
1981-01-16,100039.00697228461,0.000193036799009505,100039.00697228461,0.0
1981-01-19,100041.49690473489,2.488961581725846e-05,100041.49690473489,0.0
1981-01-20,100006.0591276529,-0.00035423077601215436,100041.49690473489,-0.00035423077601218336
1981-01-21,99990.78765748712,-0.00015270544903978056,100041.49690473489,-0.0005068821320822022
1981-01-22,100005.34172333169,0.00014555406738492316,100041.49690473489,-0.000361401843453303
1981-01-23,100050.3259735096,0.0004498184737209421,100050.3259735096,0.0
1981-01-26,100052.0080921982,1.6812725718073906e-05,100052.0080921982,0.0
1981-01-27,100080.25729200561,0.0002823451557452117,100080.25729200561,0.0
1981-01-28,100098.63721039877,0.00018365178997825637,100098.63721039877,0.0
1981-01-29,100115.91084452209,0.0001725661268197065,100115.91084452209,0.0
1981-01-30,100156.44211460416,0.00040484344336655376,100156.44211460416,0.0
1981-02-02,100095.66353489697,-0.0006068364492983758,100156.44211460416,-0.0006068364492983758
1981-02-03,100115.93336281832,0.00020250455619663654,100156.44211460416,-0.0004044547802475006
1981-02-04,100103.09284073902,-0.0001282565286863102,100156.44211460416,-0.0005326594349677007
1981-02-05,100153.52453526319,0.0005037975660193705,100156.44211460416,-2.9130221475202995e-05
1981-02-06,100164.93677894818,0.00011394749948090421,100164.93677894818,0.0
1981-02-09,100153.42129152802,-0.00011496525421428316,100164.93677894818,-0.00011496525421433316
1981-02-10,100161.64207768919,8.208193045389223e-05,100164.93677894818,-3.2892760330469845e-05
1981-02-11,100153.60213258168,-8.026970146191026e-05,100164.93677894818,-0.00011315982150028353
1981-02-12,97963.74773268489,-0.021864958955723823,100164.93677894818,-0.021975644542371584
1981-02-13,100313.98405460114,0.023990878016726835,100313.98405460114,0.0
1981-02-16,95997.31420349704,-0.04303158619195635,100313.98405460114,-0.04303158619195634
1981-02-17,100299.94147160706,0.04482028798211202,100313.98405460114,-0.00013998629529494267
1981-02-18,100297.40548143048,-2.5284064370967307e-05,100313.98405460114,-0.00016526682024345377
1981-02-19,100209.13538430865,-0.0008800835544860997,100313.98405460114,-0.001045204926118937
1981-02-20,100181.87949053955,-0.00027199011012901675,100313.98405460114,-0.0013169107508449397
