date,ticker,price,mom_12m,pct_from_high,rsi,max_drop,day_5,day_10,day_15,day_21,day_42,day_63,day_84,day_105,day_126,year,quarter,ret_hold,ret_exit_50,ret_exit_100,ret_exit_200,ret_max
1999-02-18,AMZN,2.237499952316284,7.821349727592006,-0.5152335818990468,31.302514206544416,-0.04469269576030488,0.3966480744569252,0.34217877824194676,0.5069832936501806,0.5090785001846079,0.9217878356973623,0.5593578095538989,0.2437153660377922,0.34217877824194676,0.2639665073835171,1999,1999Q1,-1.0,-1.0,-1.0,-1.0,-0.627560868664126
1999-06-14,AMZN,2.299999952316284,3.5245927935244223,-0.5621654027258133,37.072225127971414,-0.0706521339137064,0.3423913736424524,0.20312527372785794,0.37907611554759724,0.46739133476985706,-0.002717349896583343,0.3763587656510139,0.8464673466572004,0.5652173822904127,1.319293484880478,1999,1999Q2,-1.0,-1.0,-1.0,-1.0,-0.41123221738578003
1999-07-27,AMZN,2.5250000953674316,1.4131412138417359,-0.5193337292206799,39.41699487216183,-0.15346535962301733,-0.060643580950611176,-0.09900989725056653,0.08168314634707818,0.3155940474861807,0.2871286642573645,0.6386137239583185,0.6188118578160406,0.7821781505101968,0.3712871146896244,1999,1999Q3,-1.0,-1.0,-1.0,-1.0,0.2788779968584778
1999-08-04,SCHW,17.864547729492188,2.1627975769879706,-0.5081730242100978,13.613744318662725,-0.2497102870672403,0.034182923048145186,0.1778195735972279,0.1490918164184114,0.05446090653082458,-0.08748657935668036,0.05784073059547934,0.03285228281192487,0.0007346654469575498,-0.03307467899358629,1999,1999Q3,-0.7243776750534475,-0.7243776750534475,-0.7243776750534475,-0.7243776750534475,1.0809190588936692
1999-09-28,CSGP,2.3062500953674316,2.0750001271565757,-0.5195312492238979,21.531102836401132,-0.30623308068115396,-0.11382115418054617,-0.27371278783647124,-0.19783200115288624,0.02710026988206704,-0.002710089015801942,0.30081295433921285,0.5934958483896706,0.5609755038553252,0.7777776629118607,1999,1999Q3,-1.0,0.5,1.0,-1.0,1.5519423390096163
1999-10-01,SCHW,15.728072166442871,1.6768586016921816,-0.5669921071745588,29.585699932238242,-0.14779216131574435,0.030710682382736554,-0.12667911668383347,-0.02495155401571869,0.19385760885574221,0.1520326818710971,0.1750735610713483,0.09443060514080726,0.38675869791795203,0.751695101630304,1999,1999Q4,-1.0,-1.0,-1.0,-1.0,0.23160134429786966
1999-10-01,CSGP,2.262500047683716,1.9193549900471778,-0.5286458421291573,27.63157652575765,-0.29281768392451835,-0.13259671390182082,-0.20441992734582537,0.08287292643019262,0.03314919164775221,0.012430960040203942,0.5856353678490367,0.43646405812333966,0.6132596766591007,0.6298342197937892,1999,1999Q4,-1.0,0.5,-1.0,-1.0,1.440147366037653
2000-03-15,INCY,62.9375,4.56353591160221,-0.5512477718360071,19.444444444444443,-0.6256206554121152,-0.012909632571996066,-0.3445878848063555,-0.24826216484607744,-0.31678252234359483,-0.45829195630585895,-0.3679245283018868,-0.2760675273088381,-0.4081429990069514,-0.3634558093346574,2000,2000Q1,2.028798411122145,0.5,1.0,2.0,4.213505461767627
2000-03-16,REGN,27.099702835083008,2.6949154129166857,-0.517699072687333,27.843867404227538,-0.360091804300506,0.35779810444065885,0.05275221108823591,-0.032110108854495056,-0.360091804300506,-0.032110108854495056,-0.13532118308432073,0.12155954698635973,0.22935766902267862,0.13532104231904052,2000,2000Q1,-0.95,0.5,1.0,2.0,2.00076503583755
2000-03-20,MSTR,86.75,8.253333333333334,-0.7228434504792333,43.5326842837274,-0.8004322766570605,0.3025936599423631,-0.11095100864553309,-0.3357348703170029,-0.5914985590778098,-0.7240634005763689,-0.510806916426513,-0.6138328530259366,-0.7665706051873199,-0.6959654178674352,2000,2000Q1,4.79971181556196,0.5,1.0,2.0,5.670268972142171
2000-03-21,SRPT,75.0,3.166666666666667,-0.522673031026253,12.890625,-0.48750000000000004,-0.020000000000000018,-0.050000000000000044,0.07000000000000006,-0.20999999999999996,-0.19999999999999996,-0.12,-0.355,-0.46499999999999997,-0.355,2000,2000Q1,1.9583333333333333,0.5,1.0,2.0,3.0625000000000004
2000-04-03,SRPT,77.25,2.6140350877192984,-0.5083532219570406,37.80487804878049,-0.5024271844660194,0.12621359223300965,-0.37378640776699024,-0.24757281553398058,-0.30097087378640774,-0.18446601941747576,-0.23786407766990292,-0.441747572815534,-0.28640776699029125,-0.43203883495145634,2000,2000Q2,2.6003236245954695,0.5,1.0,2.0,3.1868932038834954
2000-04-03,INCY,41.0625,3.301145662847791,-0.7072192513368984,29.94281045751633,-0.426179604261796,0.11111111111111116,-0.06316590563165903,-0.019786910197869156,-0.0578386605783866,-0.20243531202435316,0.04414003044140036,0.020547945205479534,0.009893455098934467,-0.03196347031963476,2000,2000Q2,-0.733637747336377,0.5,-0.733637747336377,-0.733637747336377,2.5514967021816335
2000-04-03,VRSN,98.17572021484375,1.8952679747032528,-0.5390315918103225,17.30729604023925,-0.16144162209646062,0.3092173444881632,-0.05037523834154689,-0.0482315632283522,0.10168806741141334,0.5637727998129947,0.5723470339960373,0.22990346351377133,0.7052516271259568,0.6452302781889585,2000,2000Q2,-1.0,-1.0,-1.0,-1.0,0.3453468508038386
2000-04-03,MSTR,77.125,7.226666666666667,-0.7535942492012779,17.26961157654226,-0.7755267423014587,-0.25283630470016205,-0.6029173419773095,-0.5931928687196111,-0.679092382495948,-0.706645056726094,-0.6231766612641816,-0.7179902755267423,-0.6385737439222042,-0.646677471636953,2000,2000Q2,4.388978930307942,0.5,1.0,2.0,5.462722852512156
2000-04-04,REGN,22.12727928161621,3.0,-0.606194673743286,41.887065636642184,-0.21629217381470167,-0.0028089657615114616,0.11797751017212477,0.17415725639719182,0.31179769929783174,0.08426974863605219,0.3511235647548627,0.3005618362517861,0.5337078908345241,0.3370786497483378,2000,2000Q2,-1.0,-1.0,-1.0,-1.0,0.8024347817891807
2000-04-04,BB,12.75,5.762429799044311,-0.510007982460577,34.99784104171037,-0.6715686274509804,0.07189544976926321,-0.4901960784313726,-0.47549019607843135,-0.46160133212220433,-0.48039215686274506,-0.3562091752594593,-0.32924839094573377,0.05882352941176472,0.3439543480966605,2000,2000Q2,-1.0,0.5,1.0,2.0,4.5964052287581705
2000-04-12,BIIB,26.8125,2.225563909774436,-0.5304633450048315,27.255755032010413,-0.28671328671328666,-0.0380729906486742,-0.27894332636764274,-0.10955710955710951,-0.024086976662660242,0.2859363333606497,0.42191142191142195,0.6907536433293269,0.6907536433293269,1.0421522447279283,2000,2000Q2,-1.0,0.5,1.0,-1.0,1.3892773892773889
2000-04-12,NTAP,42.031394958496094,2.867805343513125,-0.5283410317367365,20.244480406816677,-0.11135614839269803,0.0683571425589371,0.19184095736193996,0.1973533432356671,0.02646075911317536,0.5181917718903082,0.6681370718727555,0.5644980095800813,0.9261294732262155,1.146637069785315,2000,2000Q2,-1.0,-1.0,-1.0,-1.0,-0.0720320967275164
2000-04-14,NVDA,0.13140714168548584,2.6209229334020954,-0.5390494593624626,40.151769440475114,0.0,0.11378198586076849,0.337270813545576,0.29002932897163536,0.3663371579836401,0.8914364256211655,1.122188097318118,1.0699518199293672,1.016806553070198,0.8932510026553016,2000,2000Q2,-1.0,-1.0,-1.0,-1.0,-0.8
