date,equity
1981-01-02,100000.0
1981-01-05,100144.035802772
1981-01-06,100149.57484143013
1981-01-07,99607.61185107531
1981-01-08,99455.01841897983
1981-01-09,99632.94546432013
1981-01-12,99694.67772640046
1981-01-13,99692.27025088311
1981-01-14,99715.35584350192
1981-01-15,99804.57457392359
1981-01-16,99930.44061035028
1981-01-19,99984.35879747137
1981-01-20,99661.69817300157
1981-01-21,99628.81998956247
1981-01-22,99551.65462429423
1981-01-23,99548.32489029794
1981-01-26,99473.67218772059
1981-01-27,99654.85934460394
1981-01-28,99651.72523993203
1981-01-29,99614.36755672353
1981-01-30,99713.4940050779
1981-02-02,99469.54302877508
1981-02-03,99559.37615436266
1981-02-04,99546.11290662707
1981-02-05,99715.17926680935
1981-02-06,99789.37484859304
1981-02-09,99658.67881467489
1981-02-10,99699.53165908055
1981-02-11,99671.86359836365
1981-02-12,99630.13519418234
1981-02-13,99715.42543127405
1981-02-16,99676.32401182178
1981-02-17,99627.5232570737
1981-02-18,99638.57694513112
1981-02-19,99454.61282585464
1981-02-20,99273.43246289725
1981-02-23,99385.6796869501
1981-02-24,99454.50306769749
1981-02-25,99445.51134368111
1981-02-26,99572.03738965958
1981-02-27,99704.39410785692
1981-03-02,99871.31985818126
1981-03-03,99742.79262851524
1981-03-04,99726.94336418879
1981-03-05,99691.9368044266
1981-03-06,99725.31639585568
1981-03-09,99707.62547625831
1981-03-10,99602.8631617236
1981-03-11,99604.7255162517
1981-03-12,99835.70434711454
1981-03-13,99866.26705150913
1981-03-16,99901.96090688127
1981-03-17,99839.57318392971
1981-03-18,99806.0819730232
1981-03-19,99791.4014813686
1981-03-20,99949.37278900624
1981-03-23,100204.78964539352
1981-03-24,100162.88498957883
1981-03-25,100359.26004062164
1981-03-26,100371.68083420923
1981-03-27,100299.98281551941
1981-03-30,100229.37571441998
1981-03-31,100430.18527936355
1981-04-01,100508.89660288091
1981-04-02,100594.7097965872
1981-04-03,100629.93182895286
1981-04-06,100618.97305576182
1981-04-07,100560.74192067179
1981-04-08,100730.11306343111
1981-04-09,100850.58901499027
1981-04-10,100993.6618653656
1981-04-13,100992.4157887573
1981-04-14,100852.15902093278
1981-04-15,100991.91860103837
1981-04-16,101045.795318982
1981-04-17,101091.96289842781
1981-04-20,101200.47906398814
1981-04-21,101089.87406461171
1981-04-22,101055.08755356015
1981-04-23,101124.12158646935
1981-04-24,101308.71653839193
1981-04-27,101403.95219109874
1981-04-28,101275.82416250912
1981-04-29,101255.87924754224
1981-04-30,101341.92938844918
1981-05-01,101189.74844225998
1981-05-04,101088.88355026083
1981-05-05,101087.63783100691
1981-05-06,100875.96017675758
1981-05-07,101072.34835331462
1981-05-08,101044.66704770764
1981-05-11,101063.43519536477
1981-05-12,101130.53535391104
1981-05-13,101085.500859288
1981-05-14,101270.86799079776
1981-05-15,101375.21428290216
1981-05-18,101323.90516603785
1981-05-19,101124.08751141623
1981-05-20,101141.91905653804
1981-05-21,101274.0348133371
1981-05-22,101306.767782201
1981-05-25,101324.00363370127
