donchian_entry,donchian_exit,sma_filter,atr_multiplier,risk_per_trade,cagr,sharpe,sortino,max_dd,calmar,win_rate,final_equity
40,20,250,2.0,0.01,0.23953481671454147,0.8395431746244982,1.020059264420648,-0.21111466747172208,1.1346194917822379,0.75,2635004.413659362
55,20,250,2.0,0.01,0.23781581827480336,0.8384871065125223,1.0157163432388014,-0.21111466747172208,1.126477004761679,0.75,2618556.6286965413
55,20,250,2.5,0.01,0.19837930825624972,0.8229914425977647,0.9896491283133174,-0.18593954952516548,1.0669021666603566,0.75,2262641.6011214554
80,20,250,2.0,0.01,0.2265105172109756,0.8198994133981184,0.941149270479076,-0.21551428084899865,1.0510232376186779,0.75,2512365.7130431305
40,20,250,2.5,0.01,0.19219908285199816,0.7924112383888974,0.9446918853444027,-0.18793885338162253,1.0226681678307623,0.75,2210467.013764932
40,20,250,2.0,0.0075,0.1856876233631406,0.7818501176162228,0.9494142223250103,-0.17290693214875236,1.0739165923283687,0.75,2156514.153542145
55,30,250,2.0,0.01,0.2179977524255452,0.7817733952739712,0.9188891326052449,-0.21111466747172208,1.032603537386833,0.75,2434641.793723069
55,20,250,2.0,0.0075,0.18441048208040955,0.780924189747375,0.9464713091405433,-0.17290693214875236,1.0665302992118364,0.75,2146053.3154921867
40,30,250,2.0,0.01,0.21752079000704794,0.7755914862649661,0.9094472861821988,-0.21111466747172208,1.030344279779537,0.75,2430343.0546213873
80,20,250,2.0,0.0075,0.17753772636585197,0.7673927202223043,0.8834455595587957,-0.17561186189289515,1.0109665967446515,0.75,2090436.014345879
55,20,250,2.5,0.0075,0.15400528714238515,0.7634741009421963,0.9188776860002494,-0.15013314013848014,1.0257914208703915,0.75,1908447.5320633235
80,30,250,2.0,0.01,0.20712835553397246,0.7621553156933054,0.8483590128762968,-0.21551428084899865,0.9610887720201622,0.75,2338136.0780293643
55,30,250,2.5,0.01,0.181013136879824,0.7592256947524594,0.8834108213918404,-0.18593954952516548,0.9735052996636699,0.75,2118418.460198955
80,20,250,2.5,0.01,0.17934131783113094,0.7580645534366927,0.8526188023935449,-0.18471544699376788,0.9709059028354122,0.75,2104921.571416996
40,20,250,2.5,0.0075,0.14954532292622136,0.7349016276184597,0.8781417699170365,-0.15279912399521986,0.9787053683036803,0.75,1875393.6107364774
