date,year,ticker,category,pattern,stock_return_3m,put_return,pnl,cumulative,peak,drawdown,short_return,short_pnl
1966-07-14,1966,BA,largecap,death_cross,-0.0593320381673705,-0.5055663486052457,-505.56634860524576,-505.56634860524576,-505.56634860524576,0.0,0.0593320381673705,296.6601908368525
1975-12-05,1975,DIS,largecap,below_200sma,0.096255936519634,-0.95,-950.0,-1455.5663486052458,-505.56634860524576,-950.0,-0.096255936519634,-481.27968259817004
1979-02-27,1979,BA,largecap,below_200sma,0.1268790837288149,-0.95,-950.0,-2405.566348605246,-505.56634860524576,-1900.0,-0.1268790837288149,-634.3954186440745
1981-05-05,1981,LEN,bubble,deep_oversold,-0.2599999200597952,1.1666660004982936,1166.6660004982937,-1238.9003481069522,-505.56634860524576,-733.3339995017063,0.2599999200597952,1299.999600298976
1983-06-15,1983,LOW,bubble,deep_oversold,-0.2212762651845927,0.8439688765382726,843.9688765382725,-394.9314715686796,-394.9314715686796,0.0,0.2212762651845927,1106.3813259229635
1983-07-08,1983,LEN,bubble,deep_oversold,-0.2210530268510676,0.84210855709223,842.10855709223,447.1770855235503,447.1770855235503,0.0,0.2210530268510676,1105.265134255338
1983-07-28,1983,PHM,bubble,deep_oversold,-0.016304289004308,-0.8641309249641,-864.1309249641,-416.9538394405497,447.1770855235503,-864.1309249641,0.016304289004308,81.52144502154
1983-10-14,1983,PHM,bubble,below_200sma,-0.440000364031932,2.6666697002661,2666.6697002661,2249.7158608255504,2249.7158608255504,0.0,0.440000364031932,2200.00182015966
1983-10-21,1983,HD,bubble,below_200sma,-0.1843569731008495,0.5363081091737459,536.308109173746,2786.0239699992962,2786.0239699992962,0.0,0.1843569731008495,921.7848655042475
1986-09-08,1986,AMGN,bubble,deep_oversold,1.1605814510187955,-1.0,-1000.0,1786.0239699992962,2786.0239699992962,-1000.0,-1.1605814510187955,-5802.907255093977
1987-07-24,1987,TOL,bubble,deep_oversold,-0.2352940776136675,0.9607839801138959,960.7839801138958,2746.807950113192,2786.0239699992962,-39.21601988610428,0.2352940776136675,1176.4703880683376
1987-10-01,1987,TOL,bubble,deep_oversold,-0.3506492335673817,1.9220769463948477,1922.0769463948477,4668.88489650804,4668.88489650804,0.0,0.3506492335673817,1753.2461678369084
1987-10-19,1987,INTC,bubble,deep_oversold,0.1071429335009546,-0.95,-950.0,3718.8848965080397,4668.88489650804,-950.0,-0.1071429335009546,-535.714667504773
1987-10-20,1987,AMAT,bubble,deep_oversold,0.4210531384972351,-1.0,-1000.0,2718.8848965080397,4668.88489650804,-1950.0,-0.4210531384972351,-2105.2656924861753
1987-10-23,1987,ORCL,bubble,deep_oversold,0.4588214054834127,-1.0,-1000.0,1718.8848965080397,4668.88489650804,-2950.0,-0.4588214054834127,-2294.1070274170634
1988-01-08,1988,ORCL,bubble,death_cross,0.5740731095626304,-1.0,-1000.0,718.8848965080397,4668.88489650804,-3950.0,-0.5740731095626304,-2870.365547813152
1988-10-24,1988,AMAT,bubble,death_cross,0.0909088394510306,-0.95,-950.0,-231.11510349196033,4668.88489650804,-4900.0,-0.0909088394510306,-454.54419725515305
1989-10-31,1989,KBH,bubble,below_200sma,-0.2134111143646098,0.7784259530384151,778.4259530384151,547.3108495464547,4668.88489650804,-4121.574046961585,0.2134111143646098,1067.055571823049
1991-10-08,1991,AMD,bubble,below_200sma,0.9583333333333331,-1.0,-1000.0,-452.68915045354527,4668.88489650804,-5121.574046961585,-0.9583333333333331,-4791.666666666666
1991-10-29,1991,KBH,bubble,below_200sma,0.3092223114460435,-1.0,-1000.0,-1452.6891504535452,4668.88489650804,-6121.574046961585,-0.3092223114460435,-1546.1115572302176
1991-10-31,1991,TOL,bubble,deep_oversold,0.7358490685856753,-1.0,-1000.0,-2452.689150453545,4668.88489650804,-7121.574046961585,-0.7358490685856753,-3679.245342928377
1993-11-23,1993,QCOM,bubble,below_200sma,-0.3809526950488379,2.174605792073649,2174.605792073649,-278.08335837989625,4668.88489650804,-4946.9682548879355,0.3809526950488379,1904.7634752441895
1994-01-03,1994,QCOM,bubble,below_200sma,-0.4070588074947719,2.392156729123099,2392.156729123099,2114.0733707432028,4668.88489650804,-2554.811525764837,0.4070588074947719,2035.2940374738596
1994-02-01,1994,MTCH,bubble,death_cross,0.0,-0.8,-800.0,1314.0733707432028,4668.88489650804,-3354.811525764837,-0.0,-0.0
1994-04-19,1994,MTCH,bubble,below_200sma,0.0681820229148024,-0.95,-950.0,364.07337074320276,4668.88489650804,-4304.811525764837,-0.0681820229148024,-340.91011457401197
1995-11-24,1995,REGN,bubble,below_200sma,0.986842413406594,-1.0,-1000.0,-635.9266292567972,4668.88489650804,-5304.811525764837,-0.986842413406594,-4934.21206703297
1995-12-15,1995,AMAT,bubble,below_200sma,-0.1904760591218982,0.587300492682485,587.300492682485,-48.62613657431223,4668.88489650804,-4717.511033082352,0.1904760591218982,952.380295609491
1995-12-27,1995,PENN,volatile,deep_oversold,1.5428549907653744,-1.0,-1000.0,-1048.626136574312,4668.88489650804,-5717.511033082352,-1.5428549907653744,-7714.274953826872
1996-01-02,1996,AMAT,bubble,below_200sma,-0.2386712268536918,0.9889268904474318,988.9268904474318,-59.699246126880325,4668.88489650804,-4728.58414263492,0.2386712268536918,1193.356134268459
1996-01-30,1996,PENN,volatile,below_200sma,1.1973680164772316,-1.0,-1000.0,-1059.6992461268803,4668.88489650804,-5728.58414263492,-1.1973680164772316,-5986.8400823861575
1996-02-29,1996,REGN,bubble,below_200sma,0.4374999950053986,-1.0,-1000.0,-2059.69924612688,4668.88489650804,-6728.58414263492,-0.4374999950053986,-2187.499975026993
1996-03-25,1996,SSYS,bubble,below_200sma,0.2481202865187401,-1.0,-1000.0,-3059.69924612688,4668.88489650804,-7728.58414263492,-0.2481202865187401,-1240.6014325937006
1996-04-09,1996,MTCH,bubble,below_200sma,-0.1794872476799197,0.4957270639993308,495.7270639993308,-2563.9721821275493,4668.88489650804,-7232.857078635589,0.1794872476799197,897.4362383995984
1996-05-07,1996,REGN,bubble,death_cross,0.4018692151649441,-1.0,-1000.0,-3563.9721821275493,4668.88489650804,-8232.857078635589,-0.4018692151649441,-2009.3460758247206
1996-05-08,1996,SSYS,bubble,deep_oversold,-0.126760556569674,0.05633797141395003,56.33797141395003,-3507.6342107135993,4668.88489650804,-8176.5191072216385,0.126760556569674,633.80278284837
1996-07-05,1996,BIIB,bubble,below_200sma,0.1931036790628029,-1.0,-1000.0,-4507.634210713599,4668.88489650804,-9176.519107221638,-0.1931036790628029,-965.5183953140145
1996-10-21,1996,BIIB,bubble,deep_oversold,-0.2458101201565602,1.048417667971335,1048.417667971335,-3459.2165427422638,4668.88489650804,-8128.101439250304,0.2458101201565602,1229.050600782801
1997-03-04,1997,PENN,volatile,below_200sma,0.2844839084427095,-1.0,-1000.0,-4459.216542742264,4668.88489650804,-9128.101439250304,-0.2844839084427095,-1422.4195422135474
1997-09-04,1997,AMD,bubble,below_200sma,-0.3812056737588652,2.1767139479905437,2176.7139479905436,-2282.5025947517206,4668.88489650804,-6951.38749125976,0.3812056737588652,1906.028368794326
1997-10-02,1997,AMD,bubble,below_200sma,-0.0086767895878524,-0.92769342010123,-927.69342010123,-3210.1960148529506,4668.88489650804,-7879.08091136099,0.0086767895878524,43.383947939262
1997-10-24,1997,AMAT,bubble,deep_oversold,0.0731710440160977,-0.95,-950.0,-4160.196014852951,4668.88489650804,-8829.08091136099,-0.0731710440160977,-365.8552200804885
1998-04-21,1998,BIIB,bubble,deep_oversold,-0.2595155846363098,1.1626298719692485,1162.6298719692486,-2997.566142883702,4668.88489650804,-7666.451039391742,0.2595155846363098,1297.577923181549
1998-07-24,1998,DHI,bubble,death_cross,-0.0346685948561503,-0.7110950428654141,-711.0950428654141,-3708.661185749116,4668.88489650804,-8377.546082257155,0.0346685948561503,173.3429742807515
