Date,Equity,Ret,Peak,DD
1980-06-26,100000.0,,100000.0,0.0
1980-06-27,100000.0,0.0,100000.0,0.0
1980-06-30,100000.0,0.0,100000.0,0.0
1980-07-01,100000.0,0.0,100000.0,0.0
1980-07-02,100095.7824984379,0.0009578249843789077,100095.7824984379,0.0
1980-07-03,100463.78139951479,0.0036764675982490225,100463.78139951479,0.0
1980-07-04,81000.0,-0.19373928721748068,100463.78139951479,-0.19373928721748068
1980-07-07,100852.3147536766,0.2450903056009457,100852.3147536766,0.0
1980-07-08,101031.01398112411,0.0017718901929415498,101031.01398112411,0.0
1980-07-09,101415.46567590188,0.003805283938351778,101415.46567590188,0.0
1980-07-10,101127.64228008935,-0.0028380621623563806,101415.46567590188,-0.002838062162356433
1980-07-11,101521.24839502244,0.003892171379245024,101521.24839502244,0.0
1980-07-14,102350.1704577208,0.008165010535262418,102350.1704577208,0.0
1980-07-15,102284.97942569251,-0.000636941118287826,102350.1704577208,-0.0006369411182878365
1980-07-16,102371.48493980941,0.0008457303760787127,102371.48493980941,0.0
1980-07-17,103081.52359216583,0.006935902637085878,103081.52359216583,0.0
1980-07-18,103488.58095745191,0.003948887745359286,103488.58095745191,0.0
1980-07-21,103731.57657645483,0.002348042815494944,103731.57657645483,0.0
1980-07-22,103514.6592626955,-0.0020911406238914854,103731.57657645483,-0.002091140623891451
1980-07-23,103462.10177346606,-0.0005077299157799642,103731.57657645483,-0.002597808805018552
1980-07-24,103374.65609869205,-0.000845195228736717,103731.57657645483,-0.003440808378148078
1980-07-25,103109.70325099598,-0.002563034864591196,103731.57657645483,-0.005995024330903672
1980-07-28,103346.4395854562,0.002295965626861962,103731.57657645483,-0.0037128230738377047
1980-07-29,103760.62274394755,0.004007715797009759,103760.62274394755,0.0
1980-07-30,103961.82562708389,0.0019391063566847055,103961.82562708389,0.0
1980-07-31,103732.49015243367,-0.002205958516666051,103961.82562708389,-0.00220595851666604
1980-08-01,103698.45766224548,-0.00032807937164325285,103961.82562708389,-0.002533314158825248
1980-08-04,103480.59341710422,-0.0021009400723284166,103961.82562708389,-0.0046289318899215585
1980-08-05,103499.28613210794,0.00018063981261073891,103961.82562708389,-0.004449128246699917
1980-08-06,103864.73446105231,0.0035309260826970057,103961.82562708389,-0.0009339117069745073
1980-08-07,104612.69856563148,0.0072013288096322015,104612.69856563148,0.0
1980-08-08,104814.88797668228,0.001932742523833797,104814.88797668228,0.0
1980-08-11,105324.0762358015,0.004857976466401404,105324.0762358015,0.0
1980-08-12,104967.68858089717,-0.0033837244782137788,105324.0762358015,-0.0033837244782137657
1980-08-13,104934.37741360578,-0.0003173468687530656,105324.0762358015,-0.0036999975325989476
1980-08-14,105727.48406129178,0.007558120296077275,105727.48406129178,0.0
1980-08-15,106081.77563674925,0.0033509884265485734,106081.77563674925,0.0
1980-08-18,105094.20795461013,-0.009309494267147334,106081.77563674925,-0.00930949426714731
1980-08-19,104897.15103248337,-0.001875050261683997,106081.77563674925,-0.011167088759169556
1980-08-20,105263.8109719905,0.0034954232397941265,106081.77563674925,-0.007710699220945055
1980-08-21,105833.72495468482,0.0054141492449475415,106081.77563674925,-0.0023382968523625106
1980-08-22,106391.61500504384,0.005271382544627334,106391.61500504384,0.0
1980-08-25,106321.63468163821,-0.0006577616422338561,106391.61500504384,-0.0006577616422338651
1980-08-26,106300.9078009977,-0.00019494508998640914,106391.61500504384,-0.0008525785048177864
1980-08-27,106077.19152438623,-0.0021045565954175283,106391.61500504384,-0.0029553408005199185
1980-08-28,105424.33168253384,-0.006154573216640147,106391.61500504384,-0.009091725155823105
1980-08-29,105629.75502859823,0.0019485382813047014,106391.61500504384,-0.00716090244902756
1980-09-01,86558.05401456148,-0.18055235486320376,106391.61500504384,-0.1864203395121137
1980-09-02,106059.18113483532,0.22529535052848115,106391.61500504384,-0.0031246247196525996
1980-09-03,106929.54738954232,0.008206420654902846,106929.54738954232,0.0
1980-09-04,106817.2892286131,-0.0010498329383202831,106929.54738954232,-0.0010498329383203159
1980-09-05,106815.34046510136,-1.8243895963054868e-05,106929.54738954232,-0.0010680576812404459
1980-09-08,106284.03889074738,-0.004974019387482653,106929.54738954232,-0.006036764529109642
1980-09-09,106512.67883924037,0.0021512162209793573,106929.54738954232,-0.0038985346939074492
1980-09-10,106964.14672808252,0.004238630496971707,106964.14672808252,0.0
1980-09-11,107528.9652535173,0.0052804471658212115,107528.9652535173,0.0
1980-09-12,107832.70875775313,0.002824759854423542,107832.70875775313,0.0
1980-09-15,98756.78419091416,-0.08416671222855121,107832.70875775313,-0.08416671222855117
1980-09-16,108419.7543735172,0.09784614051347429,108419.7543735172,0.0
1980-09-17,109312.29692705003,0.008232287175803155,109312.29692705003,0.0
1980-09-18,109173.53173931866,-0.0012694380379179027,109312.29692705003,-0.0012694380379179293
1980-09-19,109623.5917297623,0.00412242769170712,109623.5917297623,0.0
1980-09-22,109991.76816268894,0.003358551084827077,109991.76816268894,0.0
1980-09-23,100363.54934735873,-0.08753581268999244,109991.76816268894,-0.08753581268999243
1980-09-24,109604.43652255152,0.09207413682840215,109991.76816268894,-0.003521460256594067
1980-09-25,109100.60372379531,-0.0045968285111573914,109991.76816268894,-0.008102101218843062
1980-09-26,108125.62715514406,-0.008936491049303052,109991.76816268894,-0.016966187913123362
1980-09-29,107296.81811072365,-0.007665241499419939,109991.76816268894,-0.024501379484864635
1980-09-30,107400.67275339807,0.0009679191284801547,109991.76816268894,-0.023557175710262
1980-10-01,107639.66134365273,0.0022252057098692823,109991.76816268894,-0.021384389562291693
1980-10-02,107737.34717093532,0.0009075263342823714,109991.76816268894,-0.020496270124679736
1980-10-03,108149.0640676967,0.003821487233281795,109991.76816268894,-0.016753109126009247
1980-10-06,108957.2944811302,0.007473300119616111,109991.76816268894,-0.009405010018828385
1980-10-07,109110.58608106076,0.0014068961666178215,109991.76816268894,-0.00801134572475302
1980-10-08,109546.95884023079,0.003999362251118743,109991.76816268894,-0.004044023747306576
1980-10-09,109510.02396278255,-0.0003371602264385931,109991.76816268894,-0.004379820489782837
1980-10-10,100093.6187945598,-0.08598669626282751,109991.76816268894,-0.08998991045846967
1980-10-13,110038.43940832073,0.09935519100545731,110038.43940832073,0.0
1980-10-14,110047.80689155922,8.512919020708942e-05,110047.80689155922,0.0
1980-10-15,110556.51240877295,0.00462258659743231,110556.51240877295,0.0
1980-10-16,109922.76779239526,-0.005732313751310114,110556.51240877295,-0.005732313751310067
1980-10-17,109726.74830324348,-0.0017832473934971116,110556.51240877295,-0.0075053390112514275
1980-10-20,109989.98079306095,0.0023989819609890883,110556.51240877295,-0.005124362223161448
1980-10-21,109726.98212260308,-0.0023911147957439427,110556.51240877295,-0.007503224080574809
1980-10-22,109763.16133791747,0.00032972031686751,110556.51240877295,-0.0071759777291285805
1980-10-23,109017.56437365034,-0.006792779610016231,110556.51240877295,-0.013920012503944442
1980-10-24,109093.25628305861,0.000694309305506513,110556.51240877295,-0.013235367992652286
1980-10-27,108446.31652725575,-0.0059301535021035745,110556.51240877295,-0.019087033730902557
1980-10-28,108446.31652725575,0.0,110556.51240877295,-0.019087033730902557
1980-10-29,108363.33186793391,-0.0007652141813501157,110556.51240877295,-0.019837642243361875
1980-10-30,108437.09679119161,0.0006807184864672244,110556.51240877295,-0.019170427606697543
1980-10-31,108477.6661623819,0.00037412815716009185,110556.51240877295,-0.018803471646289854
1980-11-03,98765.4450860887,-0.0895319877342754,110556.51240877295,-0.1066519471877678
1980-11-04,97598.85973966819,-0.011811675079312023,110556.51240877295,-0.11720388412032197
1980-11-05,108813.54029027892,0.11490585628279248,110556.51240877295,-0.015765440502044262
1980-11-06,108990.33137571582,0.001624715866842319,110556.51240877295,-0.014166338996533424
1980-11-07,109149.91047104154,0.0014641582726784286,110556.51240877295,-0.012722922486290282
1980-11-10,108582.38721184895,-0.005199484422327205,110556.51240877295,-0.017856254271343536
1980-11-11,98637.45071344994,-0.0915888548204048,110556.51240877295,-0.107809675211654
1980-11-12,108922.9245439663,0.10427554398578809,110556.51240877295,-0.014776043755492175
1980-11-13,109078.42077607363,0.0014275803992442881,110556.51240877295,-0.013369557346691653
1980-11-14,109516.34315633876,0.004014748078945196,110556.51240877295,-0.009408484672420368
1980-11-17,109959.89802521752,0.004050124904605212,110556.51240877295,-0.005396465305901617
1980-11-18,110751.59048564742,0.007199828979910006,110751.59048564742,0.0
1980-11-19,110697.52902804002,-0.00048813256198254606,110751.59048564742,-0.00048813256198254173
1980-11-20,111331.85881185836,0.005730297590090361,111331.85881185836,0.0
1980-11-21,111150.46620779106,-0.0016292964655681974,111331.85881185836,-0.001629296465568175
1980-11-24,110799.6179006478,-0.003156516739096338,111331.85881185836,-0.004780670303098016
1980-11-25,111079.21100449063,0.0025234121663986198,111331.85881185836,-0.002269321738305672
1980-11-26,111624.9935478408,0.00491345354737982,111624.9935478408,0.0
1980-11-27,81773.39321858961,-0.2674275659998784,111624.9935478408,-0.2674275659998783
1980-11-28,111799.62848847664,0.3671883248090668,111799.62848847664,0.0
1980-12-01,110919.46370926291,-0.007872698604758255,111799.62848847664,-0.007872698604758269
1980-12-02,110734.19416223853,-0.001670306913040931,111799.62848847664,-0.009529855694895416
1980-12-03,110632.75333809768,-0.0009160749749280717,111799.62848847664,-0.010437200607506716
1980-12-04,110654.5537340047,0.0001970519150003014,111799.62848847664,-0.010242205362873446
1980-12-05,110144.36190068863,-0.004610671825964641,111799.62848847664,-0.014805653741135797
1980-12-08,108940.1950302186,-0.010932623782920148,111799.62848847664,-0.025576412881843882
1980-12-09,109150.77294258837,0.0019329680134256844,111799.62848847664,-0.023692883256416938
1980-12-10,109412.00593109165,0.002393322387562735,111799.62848847664,-0.021356265576777625
1980-12-11,109559.36917801996,0.0013468654164070504,111799.62848847664,-0.020038164175899598
1980-12-12,109462.24363392591,-0.000886510618149261,111799.62848847664,-0.02090691074873866
1980-12-15,109288.08915998897,-0.0015910004048461657,111799.62848847664,-0.022464648250119464
1980-12-16,109448.87726708548,0.001471231753911617,111799.62848847664,-0.021026467200053797
1980-12-17,109241.638959491,-0.0018934712970034573,111799.62848847664,-0.022880125484936578
1980-12-18,109297.15476502253,0.0005081927190062618,111799.62848847664,-0.022383560279111696
1980-12-19,109178.95960384131,-0.001081411144098987,111799.62848847664,-0.023440765591680273
1980-12-22,109080.46249760075,-0.0009021619788095459,111799.62848847664,-0.024321780203018808
1980-12-23,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-24,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-25,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-26,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-29,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-30,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1980-12-31,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1981-01-02,109080.46249760075,0.0,111799.62848847664,-0.024321780203018808
1981-01-05,109080.46249760076,2.220446049250313e-16,111799.62848847664,-0.024321780203018676
1981-01-06,109070.73769361785,-8.915257379960018e-05,111799.62848847664,-0.024408764427513805
1981-01-07,108840.32647738045,-0.0021124934249975302,111799.62848847664,-0.026469694498145856
1981-01-08,108644.77835652804,-0.001796651362425461,111799.62848847664,-0.02821878904788821
1981-01-09,108814.81390117967,0.0015650595198752892,111799.62848847664,-0.026697893612451593
1981-01-12,108899.13609377935,0.0007749146423781106,111799.62848847664,-0.025943667558754394
1981-01-13,108920.21714474018,0.00019358327087815042,111799.62848847664,-0.025755106547900947
1981-01-14,108933.24495369001,0.00011960873097160984,111799.62848847664,-0.025638578352539597
1981-01-15,98818.50274849957,-0.09285266595602149,111799.62848847664,-0.11611063395720546
1981-01-16,109217.89272550616,0.1052372752851134,111799.62848847664,-0.023092525421375458
1981-01-19,109365.98728246064,0.0013559550844539636,111799.62848847664,-0.021767882764179597
1981-01-20,108828.63041601478,-0.0049133819370917875,111799.62848847664,-0.026574310779289186
1981-01-21,108856.86647943713,0.00025945436705776537,111799.62848847664,-0.026321751233214712
1981-01-22,108766.05069353776,-0.0008342678678567861,111799.62848847664,-0.02713405970979186
1981-01-23,108721.07815461731,-0.00041347956125725727,111799.62848847664,-0.027536319891945233
1981-01-26,108722.12929921175,9.668268676987779e-06,111799.62848847664,-0.027526917851807404
1981-01-27,108956.271264736,0.002153581492870371,111799.62848847664,-0.025432617819778378
