date,equity
1981-01-02,99859.42175606846
1981-01-05,99983.71244941677
1981-01-06,99982.9385159843
1981-01-07,99450.32668081853
1981-01-08,99152.19157125222
1981-01-09,99265.08691596167
1981-01-12,99318.63780646175
1981-01-13,99316.19083009067
1981-01-14,99329.04952903952
1981-01-15,99406.78204310771
1981-01-16,99517.94953616489
1981-01-19,99565.98359694153
1981-01-20,99218.29964304468
1981-01-21,99152.24826549576
1981-01-22,99066.5495433272
1981-01-23,99010.34082238539
1981-01-26,98804.10558055495
1981-01-27,98966.79525961795
1981-01-28,98962.36784848582
1981-01-29,98878.77146515725
1981-01-30,98946.6465411772
1981-02-02,98697.88510449941
1981-02-03,98771.3548301789
1981-02-04,98749.89588494462
1981-02-05,98850.5775773598
1981-02-06,98879.0839860181
1981-02-09,98761.53935551849
1981-02-10,98799.92870508596
1981-02-11,98720.72733785387
1981-02-12,98682.05518921191
1981-02-13,98682.60601857935
1981-02-16,98622.55465830826
1981-02-17,98573.80113457635
1981-02-18,98580.72106037044
1981-02-19,98275.75737334695
1981-02-20,98007.38599378215
1981-02-23,98075.65732950263
1981-02-24,98137.38555973709
1981-02-25,98126.91605087437
1981-02-26,98241.93656278263
1981-02-27,98322.04232137116
1981-03-02,98476.34192896653
1981-03-03,98352.7539579187
1981-03-04,98333.83086852983
1981-03-05,98303.17063780944
1981-03-06,98333.08072281834
1981-03-09,98231.48475032389
1981-03-10,98073.01307781856
1981-03-11,98036.9949417605
1981-03-12,98238.01995076588
1981-03-13,98259.11311100588
1981-03-16,98253.4607865311
1981-03-17,98169.98297704328
1981-03-18,98066.8754028259
1981-03-19,98004.40710190125
1981-03-20,98152.36197579779
1981-03-23,98393.67958261282
1981-03-24,98352.17033594556
1981-03-25,98541.0919790208
1981-03-26,98552.11407264911
1981-03-27,98483.5581011915
1981-03-30,98368.14522372595
1981-03-31,98529.13636377908
1981-04-01,98605.83511943216
1981-04-02,98686.35730006378
1981-04-03,98718.61803956804
1981-04-06,98636.60145763107
1981-04-07,98462.05827054233
1981-04-08,98574.66376940894
1981-04-09,98685.76623756395
1981-04-10,98819.91465974363
1981-04-13,98817.56465017046
1981-04-14,98609.10356003654
1981-04-15,98615.61083217729
1981-04-16,98570.1139619892
1981-04-17,98581.18574588271
1981-04-20,98646.41047985366
1981-04-21,98532.19873985555
1981-04-22,98426.45367548562
1981-04-23,98444.23348130863
1981-04-24,98614.60840246649
1981-04-27,98702.66830871771
1981-04-28,98510.87878804255
1981-04-29,98452.2447295146
1981-04-30,98532.40586499596
1981-05-01,98314.88358320975
1981-05-04,98152.0546015802
1981-05-05,98108.69532413202
1981-05-06,97867.25061945141
1981-05-07,98048.40605333103
1981-05-08,97983.63783004387
1981-05-11,97940.25846942121
1981-05-12,97972.93465072566
1981-05-13,97932.05649488656
1981-05-14,98070.64893608642
1981-05-15,98143.10794192151
1981-05-18,98092.50583919385
1981-05-19,97913.70970681519
1981-05-20,97927.25721926583
1981-05-21,98019.7843506232
1981-05-22,98026.77621590284
1981-05-25,98042.32080703552
1981-05-26,98218.73532825141
1981-05-27,98354.63136284432
1981-05-28,98275.52723491001
1981-05-29,98304.30798015973
1981-06-01,98323.23579377856
1981-06-02,98111.17048240887
1981-06-03,97998.29536029775
1981-06-04,98340.26129062774
1981-06-05,98517.11304416406
1981-06-08,98442.5583331352
1981-06-09,98383.45857618233
1981-06-10,98144.68715205176
1981-06-11,98456.24457879813
1981-06-12,98475.09185693538
1981-06-15,98269.1458727378
1981-06-16,97951.89897863791
1981-06-17,97974.46487638363
1981-06-18,97798.54006952635
1981-06-19,97847.56730070409
1981-06-22,97697.85342284283
1981-06-23,97811.62589458
1981-06-24,97791.39563227928
1981-06-25,97887.35587634519
1981-06-26,97922.13921143388
1981-06-29,97875.88153600933
1981-06-30,97704.10466568552
1981-07-01,97650.94414459862
1981-07-02,97595.17680379297
1981-07-03,97622.78833445074
1981-07-06,97695.78112559728
1981-07-07,97517.0206646875
1981-07-08,97684.73366374304
1981-07-09,97655.47697532453
1981-07-10,97559.344369
1981-07-13,97497.06280859737
1981-07-14,97500.7583969419
1981-07-15,97184.28129367913
1981-07-16,97206.25570143615
1981-07-17,97280.79267830556
1981-07-20,97195.49137071414
1981-07-21,97108.41922217896
1981-07-22,96976.4755383309
1981-07-23,96941.07683048533
1981-07-24,96906.49229561843
1981-07-27,97061.0819275479
1981-07-28,97015.64664351431
1981-07-29,97142.03928717303
1981-07-30,97194.34604282567
1981-07-31,97321.3356147401
1981-08-03,97550.38426620356
1981-08-04,97574.60705210392
1981-08-05,97520.56887051367
1981-08-06,97549.51641125813
1981-08-07,97671.43167143918
1981-08-10,97798.23797814899
1981-08-11,97793.07815308856
1981-08-12,97315.70041903645
1981-08-13,97341.64917427965
1981-08-14,97411.32507906447
1981-08-17,97141.62907229034
1981-08-18,96728.09847608514
1981-08-19,96693.65101264317
1981-08-20,96628.21318177198
1981-08-21,96488.72888213367
1981-08-24,96140.92314633577
1981-08-25,95985.58167661655
1981-08-26,95897.56137396098
1981-08-27,95857.62421684049
1981-08-28,95610.34024703322
1981-08-31,95647.7372012532
1981-09-01,95540.89537081658
1981-09-02,95390.91636379204
1981-09-03,95321.16931133234
1981-09-04,95260.71300254899
1981-09-07,95159.71580518108
1981-09-08,95195.73576171088
1981-09-09,95224.62503849447
1981-09-10,95076.23504776601
1981-09-11,95034.26381755882
1981-09-14,95004.12386636008
1981-09-15,94870.17753704714
1981-09-16,94792.43787784026
1981-09-17,94706.62015686295
1981-09-18,94670.30498007454
1981-09-21,94526.2545768655
1981-09-22,94623.41818937118
1981-09-23,94676.51845367589
1981-09-24,94727.9279311822
1981-09-25,94752.23871705854
1981-09-28,94799.41338042817
1981-09-29,94731.63691885179
1981-09-30,94759.32446594459
1981-10-01,94748.49464049093
1981-10-02,94657.36377037833
1981-10-05,94509.27081223157
1981-10-06,94563.7773693645
1981-10-07,94483.8489367176
1981-10-08,94413.94882058713
1981-10-09,94357.06447345251
1981-10-12,94357.06447345251
1981-10-13,94435.1731951205
1981-10-14,94442.21857615773
1981-10-15,94462.69772747114
1981-10-16,94486.9201670752
1981-10-19,94479.19212018844
1981-10-20,94493.56931082817
1981-10-21,94569.33127194391
1981-10-22,94586.61064584946
1981-10-23,94567.43754599243
1981-10-26,94659.00529842748
1981-10-27,94639.7194902895
1981-10-28,94562.98764905092
1981-10-29,94511.54079163253
1981-10-30,94452.23692590566
1981-11-02,94452.23692590566
1981-11-03,94452.23692590566
1981-11-04,94452.23692590566
1981-11-05,94452.23692590566
1981-11-06,94452.23692590566
1981-11-09,94452.23692590566
1981-11-10,94452.23692590566
1981-11-11,94452.23692590566
1981-11-12,94452.23692590566
1981-11-13,94452.23692590566
1981-11-16,94452.23692590566
1981-11-17,94452.23692590566
1981-11-18,94452.23692590566
1981-11-19,94452.23692590566
1981-11-20,94452.23692590566
1981-11-23,94452.23692590566
1981-11-24,94452.23692590566
1981-11-25,94452.23692590566
1981-11-26,94452.23692590566
1981-11-27,94452.23692590566
1981-11-30,94452.23692590566
1981-12-01,94452.23692590566
1981-12-02,94452.23692590566
1981-12-03,94452.23692590566
1981-12-04,94452.23692590566
1981-12-07,94452.23692590566
1981-12-08,94452.23692590566
1981-12-09,94452.23692590566
1981-12-10,94452.23692590566
1981-12-11,94452.23692590566
1981-12-14,94413.16504114484
1981-12-15,94327.36058526298
1981-12-16,94327.36058526298
1981-12-17,94327.36058526298
1981-12-18,94327.36058526298
1981-12-21,94327.36058526298
1981-12-22,94327.36058526298
1981-12-23,94327.36058526298
1981-12-24,94327.36058526298
1981-12-25,94327.36058526298
1981-12-28,94327.36058526298
1981-12-29,94327.36058526298
1981-12-30,94327.36058526298
1981-12-31,94327.36058526298
1982-01-04,94327.36058526298
1982-01-05,94327.36058526298
1982-01-06,94327.36058526298
1982-01-07,94327.36058526298
1982-01-08,94327.36058526298
1982-01-11,94327.36058526298
1982-01-12,94327.36058526298
1982-01-13,94288.34035787047
1982-01-14,94288.70796848355
1982-01-15,94296.56423050194
1982-01-18,94271.24612021178
1982-01-19,94257.84827525716
1982-01-20,94290.0716296038
1982-01-21,94273.47784359375
1982-01-22,94268.21466482285
1982-01-25,94378.27170650075
1982-01-26,94287.99180991255
1982-01-27,94339.51781544452
1982-01-28,94320.59981418023
1982-01-29,94332.69596436452
1982-02-01,94325.02472733927
1982-02-02,94181.78631151112
1982-02-03,94163.60624195784
1982-02-04,94119.30112775593
1982-02-05,94107.39643484793
1982-02-08,94081.79728585415
1982-02-09,94116.32072379331
1982-02-10,94071.68183845353
1982-02-11,94062.15981165697
1982-02-12,94005.18130261597
1982-02-15,94005.18130261597
1982-02-16,94087.70111388745
1982-02-17,94090.64274636496
1982-02-18,93971.71171033777
1982-02-19,93931.59945667119
1982-02-22,93939.07337969902
1982-02-23,93995.64768689615
1982-02-24,93989.29103020731
1982-02-25,93996.34122135784
1982-02-26,94043.93806955428
1982-03-01,94045.56847594575
1982-03-02,94028.70932635179
1982-03-03,94011.87334277791
1982-03-04,93946.895520725
1982-03-05,93801.23126925141
1982-03-08,93780.96683584122
1982-03-09,93847.93854650343
1982-03-10,93830.00526994058
1982-03-11,93860.91286297813
1982-03-12,93884.03451532863
1982-03-15,93875.19951016745
1982-03-16,93895.95497516166
1982-03-17,93891.42788397518
1982-03-18,93919.72846029255
1982-03-19,93943.81291319657
1982-03-22,93973.62521054308
1982-03-23,93960.9759562628
1982-03-24,93950.82878664759
1982-03-25,93985.74496343914
1982-03-26,94001.94425900796
1982-03-29,94037.71166919885
1982-03-30,94013.04020558058
1982-03-31,94048.24738811777
1982-04-01,93934.41993919523
1982-04-02,93862.15008343443
1982-04-05,93933.71885854172
1982-04-06,93976.57071675283
1982-04-07,93952.51805046145
1982-04-08,94022.75526010653
1982-04-09,94008.05869018754
1982-04-12,93981.54290010869
1982-04-13,93862.01849155646
1982-04-14,93847.73268983955
1982-04-15,93868.08084626378
1982-04-16,93860.52106168345
1982-04-19,93706.92710616013
1982-04-20,93615.32012984715
1982-04-21,93517.69259025108
1982-04-22,93471.1632893639
1982-04-23,93443.90123728647
1982-04-26,93310.0499660941
1982-04-27,93267.48069298793
1982-04-28,93187.52957145864
1982-04-29,93093.79207607903
1982-04-30,93054.84263837089
1982-05-03,93049.25413697826
1982-05-04,93076.54386649538
