date,ticker,category,mom_12m,rsi,fwd_6m,fwd_12m,max_dd_6m
2000-03-20 00:00:00-05:00,MSTR,bubble,8.253333333333334,43.5326842837274,-0.6959654178674352,-0.9510086455331412,-0.8004322766570605
2000-03-21 00:00:00-05:00,MSTR,bubble,7.034722222222221,36.269685039370074,-0.6153846153846154,-0.9474935177182369,-0.7605877268798618
2000-03-22 00:00:00-05:00,MSTR,bubble,8.34046052631579,38.41886269070735,-0.6957210776545166,-0.9573868638844867,-0.8048952280331044
2000-03-23 00:00:00-05:00,MSTR,bubble,10.212797619047619,41.54158672836023,-0.7717319177173192,-0.9678832116788321,-0.8529528865295288
2000-03-24 00:00:00-05:00,MSTR,bubble,11.285714285714286,37.680461982675645,-0.7955426356589147,-0.969234496124031,-0.8657945736434108
2000-03-27 00:00:00-05:00,MSTR,bubble,10.024390243902438,32.71043223919402,-0.769358407079646,-0.9662610619469026,-0.8467920353982301
2000-03-28 00:00:00-05:00,MSTR,bubble,9.102564102564102,31.69080604534004,-0.7601522842639594,-0.9657360406091371,-0.824238578680203
2000-03-29 00:00:00-05:00,MSTR,bubble,9.0,24.031949991317944,-0.7480519480519481,-0.9655844155844155,-0.8201298701298702
2000-03-30 00:00:00-05:00,MSTR,bubble,9.666666666666666,17.1585319712448,-0.7109375,-0.9700520833333334,-0.8196614583333334
2000-03-31 00:00:00-05:00,MSTR,bubble,8.412162162162161,17.67772742776397,-0.6862885857860732,-0.9705671213208902,-0.801148600143575
2000-04-03 00:00:00-04:00,MSTR,bubble,7.226666666666667,17.26961157654226,-0.646677471636953,-0.9615072933549432,-0.7755267423014587
2000-04-04 00:00:00-04:00,MSTR,bubble,7.085106382978724,18.24215607401449,-0.6359649122807017,-0.9596491228070175,-0.7570175438596491
2000-04-05 00:00:00-04:00,MSTR,bubble,6.835205992509363,19.11083017277707,-0.5793499043977055,-0.9588910133843213,-0.7351816443594646
2000-04-06 00:00:00-04:00,MSTR,bubble,6.229629629629629,20.3090013434841,-0.540983606557377,-0.9569672131147541,-0.7161885245901639
2000-04-07 00:00:00-04:00,MSTR,bubble,6.923076923076923,42.14912280701755,-0.6048543689320388,-0.961786407174416,-0.7310679611650486
2000-04-10 00:00:00-04:00,MSTR,bubble,6.231372549019608,44.552619378766806,-0.5563991323210412,-0.9566160520607375,-0.6995661605206074
2000-04-11 00:00:00-04:00,MSTR,bubble,5.283464566929134,34.59680416202154,-0.5175438596491229,-0.9488721814071923,-0.6528822055137845
2000-04-12 00:00:00-04:00,MSTR,bubble,3.9635036496350367,14.008072955598735,-0.49411764705882355,-0.9416470583747415,-0.5926470588235294
2000-04-13 00:00:00-04:00,MSTR,bubble,3.512635379061372,3.4906270200387866,-0.49119999999999997,-0.9359999999999999,-0.5568
2000-04-14 00:00:00-04:00,MSTR,bubble,3.330645161290323,3.915881073241465,-0.34636871508379885,-0.926108006880492,-0.48417132216014896
2000-04-17 00:00:00-04:00,MSTR,bubble,2.6296296296296298,4.522613065326624,-0.2979591836734694,-0.9030204072290537,-0.4346938775510204
2000-04-18 00:00:00-04:00,MSTR,bubble,2.992957746478873,10.6072874493927,-0.32098765432098764,-0.8521340452594521,-0.5114638447971781
2000-04-19 00:00:00-04:00,MSTR,bubble,2.7733333333333334,10.633116883116884,-0.3816254416961131,-0.8405653747989937,-0.5106007067137809
2000-04-20 00:00:00-04:00,MSTR,bubble,2.7430555555555554,11.738351254480293,-0.24489795918367352,-0.8616697633421266,-0.48608534322820035
2000-04-24 00:00:00-04:00,MSTR,bubble,2.2551724137931033,12.79296875,-0.18008474576271183,-0.8538983070244224,-0.413135593220339
2000-04-25 00:00:00-04:00,MSTR,bubble,2.585714285714286,16.770833333333343,-0.2171314741035857,-0.869322712202946,-0.448207171314741
2000-04-26 00:00:00-04:00,MSTR,bubble,2.5580524344569286,18.029115341545364,-0.1663157894736842,-0.8608842066714638,-0.4168421052631579
2000-04-27 00:00:00-04:00,MSTR,bubble,1.8550724637681157,17.809734513274336,-0.0025380710659898,-0.830659895378926,-0.2969543147208122
2000-04-28 00:00:00-04:00,MSTR,bubble,2.0,14.59770114942529,-0.11111111111111116,-0.8245410642762115,-0.3309178743961353
2000-05-01 00:00:00-04:00,MSTR,bubble,2.1555555555555554,17.95865633074935,-0.08450704225352113,-0.7896713650842228,-0.34976525821596244
2000-05-02 00:00:00-04:00,MSTR,bubble,1.9637681159420288,20.839580209895047,-0.0806845965770171,-0.7856234711364896,-0.32273838630806845
2000-05-03 00:00:00-04:00,MSTR,bubble,1.8185053380782916,24.733096085409244,-0.03282828282828287,-0.779797987504439,-0.3005050505050505
2000-05-04 00:00:00-04:00,MSTR,bubble,2.028985507246377,30.434782608695656,-0.11901913875598091,-0.799043062200957,-0.3373205741626794
2000-05-05 00:00:00-04:00,MSTR,bubble,1.8673835125448028,35.076252723311555,-0.04249999999999998,-0.7879999923706055,-0.3075
2000-05-08 00:00:00-04:00,MSTR,bubble,1.6666666666666665,36.26126126126126,0.05434782608695654,-0.7730434873829717,-0.24728260869565216
2000-05-09 00:00:00-04:00,MSTR,bubble,1.4571428571428573,21.483375959079297,0.08139534883720922,-0.7697674507318542,-0.19476744186046513
2000-05-10 00:00:00-04:00,MSTR,bubble,1.2535211267605635,20.289855072463766,0.19999999999999996,-0.7549999952316284,-0.134375
2000-05-11 00:00:00-04:00,MSTR,bubble,1.1283333333333334,21.663442940038692,0.1276429130775254,-0.7614408655846221,-0.13234142521534847
