bucket,count,fwd_21d_mean,fwd_21d_median,fwd_21d_pos_pct,fwd_21d_neg_pct,fwd_21d_down10_pct,fwd_21d_down20_pct,fwd_21d_down30_pct,fwd_21d_down50_pct,fwd_63d_mean,fwd_63d_median,fwd_63d_pos_pct,fwd_63d_neg_pct,fwd_63d_down10_pct,fwd_63d_down20_pct,fwd_63d_down30_pct,fwd_63d_down50_pct,fwd_126d_mean,fwd_126d_median,fwd_126d_pos_pct,fwd_126d_neg_pct,fwd_126d_down10_pct,fwd_126d_down20_pct,fwd_126d_down30_pct,fwd_126d_down50_pct,fwd_252d_mean,fwd_252d_median,fwd_252d_pos_pct,fwd_252d_neg_pct,fwd_252d_down10_pct,fwd_252d_down20_pct,fwd_252d_down30_pct,fwd_252d_down50_pct
50-100%,9943,0.006115063853569365,0.00636890356635289,52.54237288135594,47.326472962066184,13.690476190476192,3.4100080710250205,0.9685230024213075,0.11097659402744149,0.021706972846869906,0.0,49.97467328538142,49.994934657076286,22.885219329348597,9.58362881167055,4.346064228548273,0.6078411508459123,0.04885268530735243,-0.0037553967256712673,49.25601304525071,50.71341214838972,30.16714227476559,16.174072564207094,9.376273950264983,1.732572360375051,0.1535554633699836,0.032315476842154967,53.48621010226216,46.503460386323724,36.2565850635265,25.865096580931723,17.157318458836897,4.224770168371036
100-150%,1522,0.0002790644606770098,-0.01486899624513488,44.87516425755585,55.05913272010512,23.52168199737188,6.636005256241787,0.985545335085414,0.0,-0.02691625730473113,-0.07239735670237774,36.333771353482256,63.600525624178715,42.64126149802891,24.178712220762154,9.724047306176084,0.657030223390276,-0.0026428803827952185,-0.13489177687689824,29.697766097240475,70.30223390275953,56.8988173455979,37.18791064388962,21.61629434954008,3.613666228646518,0.2819044751201872,-0.061030954042398555,45.78397212543554,54.21602787456447,47.80487804878049,41.8815331010453,34.42508710801393,17.700348432055748
150-200%,340,0.02752610085291173,-0.010106317019004885,47.05882352941176,52.94117647058824,29.411764705882355,12.941176470588237,2.0588235294117645,0.0,0.07037330077431128,-0.020787037033528577,46.1764705882353,53.8235294117647,36.17647058823529,17.352941176470587,4.705882352941177,0.0,0.22337336765700522,-0.1121233907605938,33.82352941176471,66.17647058823529,52.64705882352941,32.05882352941177,16.470588235294116,2.3529411764705883,0.8807814141937443,-0.11168231695996145,39.55696202531646,60.44303797468354,51.58227848101266,41.77215189873418,37.9746835443038,27.531645569620256
200-300%,257,0.14756346807750095,0.04973856362782603,61.86770428015564,38.13229571984436,21.78988326848249,9.72762645914397,2.3346303501945527,0.0,0.39196332766200903,0.275419815206817,70.03891050583657,29.961089494163424,17.509727626459142,9.72762645914397,3.501945525291829,0.0,0.9239001375113818,0.5743475006424186,70.03891050583657,29.961089494163424,24.5136186770428,18.67704280155642,12.45136186770428,0.0,1.3438525349731458,0.5930323997362876,68.8715953307393,31.1284046692607,27.237354085603112,24.90272373540856,20.233463035019454,8.949416342412452
300%+,584,0.10298808943116888,0.045079544218875056,59.76027397260274,40.23972602739726,24.65753424657534,12.842465753424658,5.47945205479452,0.0,0.3988106103937844,0.3228230137165453,72.26027397260275,27.73972602739726,25.85616438356164,20.034246575342465,14.726027397260275,0.3424657534246575,0.6233781935070254,0.3521107673319218,68.4931506849315,31.506849315068493,24.486301369863014,19.17808219178082,11.986301369863012,0.0,0.6955389234700952,0.29445212522448605,69.52054794520548,30.47945205479452,23.458904109589042,15.41095890410959,10.102739726027398,2.054794520547945
