Date,Equity,Ret,Peak,DD
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100178.08339026096,0.0017808339026095243,100178.08339026096,0.0
1981-01-05,100446.04572423815,0.002674859858651013,100446.04572423815,0.0
1981-01-06,100440.62096811706,-5.4006666782902e-05,100446.04572423815,-5.400666678295215e-05
1981-01-07,99580.3318277884,-0.008565151549608019,100446.04572423815,-0.00861869564110532
1981-01-08,99421.67166433016,-0.0015932881578725189,100446.04572423815,-0.010198251733276579
1981-01-09,99656.02179444005,0.0023571332707128523,100446.04572423815,-0.00786515710102728
1981-01-12,99753.02135052417,0.0009733436508654325,100446.04572423815,-0.006899468950889246
1981-01-13,99878.08194003227,0.001253702272020929,100446.04572423815,-0.0056544165587678755
1981-01-14,99922.27840079562,0.00044250410004753604,100446.04572423815,-0.005214414561230889
1981-01-15,95035.77409617885,-0.048903051279681975,100446.04572423815,-0.0538624650582315
1981-01-16,100221.6686933216,0.05456781560904078,100446.04572423815,-0.0022338065107366622
1981-01-19,100268.4451765169,0.0004667302371350601,100446.04572423815,-0.0017681188586440267
1981-01-20,99864.05781435462,-0.004033047101213105,100446.04572423815,-0.005794035053219626
1981-01-21,99768.89427199293,-0.0009529308586537777,100446.04572423815,-0.006741444597075061
1981-01-22,99728.44594643562,-0.00040542020488909536,100446.04572423815,-0.007144131684114404
1981-01-23,99764.73644930811,0.0003638931954477176,100446.04572423815,-0.0067828381895738265
1981-01-26,99828.84285274481,0.00064257578096516,100446.04572423815,-0.006144620896155458
1981-01-27,100063.37584054121,0.0023493509600462925,100446.04572423815,-0.0038097058071107745
1981-01-28,100117.54273346729,0.000541325859447328,100446.04572423815,-0.0032704422399337644
1981-01-29,100080.86599157842,-0.0003663368165807146,100446.04572423815,-0.0036355809731155003
1981-01-30,100343.16888328317,0.002620909492597967,100446.04572423815,-0.0010242000092011232
1981-02-02,100164.03664782312,-0.001785196117021326,100446.04572423815,-0.0028075677283430087
1981-02-03,100266.08416238111,0.0010188039337590826,100446.04572423815,-0.001791624155629783
1981-02-04,100167.6075933676,-0.0009821523383124475,100446.04572423815,-0.0027720168460883495
1981-02-05,99824.01312786649,-0.003430195387075008,100446.04572423815,-0.006192703673765037
1981-02-06,100701.3630319028,0.008788966467542236,100701.3630319028,0.0
1981-02-09,100540.73579429198,-0.0015950850393150473,100701.3630319028,-0.001595085039315077
1981-02-10,100601.09500969846,0.000600345869061325,100701.3630319028,-0.0009956967729679719
1981-02-11,95473.92777813347,-0.050965322306588234,100701.3630319028,-0.05191027307260231
1981-02-12,94143.08237877973,-0.013939359470434898,100701.3630319028,-0.06512603658646975
1981-02-13,99881.55502184432,0.06095479878145649,100701.3630319028,-0.008140982260575335
1981-02-16,84107.9220940084,-0.15792338159318997,100701.3630319028,-0.16477871240568506
1981-02-17,100677.39030708533,0.197002467788433,100701.3630319028,-0.00023805760017250462
1981-02-18,99874.59514145949,-0.007973936980062324,100701.3630319028,-0.008210096323933443
1981-02-19,99626.65283152029,-0.0024825363205530637,100701.3630319028,-0.010672250782167053
1981-02-20,99412.35003006076,-0.002151058932211014,100701.3630319028,-0.012800353074006345
