strategy,trades,wins,win_pct,avg_ret,total_pnl,roi
Hold to Expiration,253,124,49.01185770750988,86.62934408534838,219172.2405359314,86.62934408534838
Exit at 50% Profit,253,163,64.42687747035573,0.6531167896847448,1652.3854779024045,0.6531167896847448
Exit at 100% Profit,253,153,60.47430830039525,23.33732958422568,59043.44384809098,23.33732958422568
Exit at 200% Profit,253,132,52.17391304347826,50.334646857046785,127346.65654832836,50.334646857046785
Perfect Timing (Max),253,207,81.81818181818183,197.72870001556694,500253.6110393844,197.72870001556694
