date,ticker,pattern,mom_12m,rsi,pct_from_high,fwd_6m,fwd_12m,year,put_return,quarter
2021-03-08 00:00:00-05:00,TLRY,down_50_from_high,1.237524987790684,27.775754320023665,-0.6491941706887222,-0.39384480041782677,-0.7716324644966018,2021,2.2820400034818897,2021Q1
2021-04-01 00:00:00-04:00,TLRY,down_50_from_high,2.7864405745166843,33.20487991032499,-0.6504459357995319,-0.49462844847617693,-0.6521933792699851,2021,3.1219037373014746,2021Q2
2021-07-01 00:00:00-04:00,TLRY,down_50_from_high,1.5449357743188044,33.85826771653544,-0.7208574546839495,-0.5919282200536418,-0.8234304872326526,2021,3.9327351671136817,2021Q3
2021-10-01 00:00:00-04:00,TLRY,down_50_from_high,1.266260127458958,39.285713204451085,-0.82553590320861,-0.32914795469275504,-0.7426008900184802,2021,1.7428996224396254,2021Q4
2000-07-31 00:00:00-04:00,VRTX,deep_oversold,2.8596059113300494,24.53917050691244,-0.22807881773399014,0.3908742820676452,-0.18417356450921352,2000,-1.0,2000Q3
2000-11-13 00:00:00-05:00,VRTX,deep_oversold,4.398104265402844,29.023508137432188,-0.2679948586118252,-0.5375592882325505,-0.6129938649754445,2000,3.4796607352712545,2000Q4
2001-01-05 00:00:00-05:00,VRTX,below_200sma,2.25,29.59309494451294,-0.4402313624678663,-0.19154997342763347,-0.5635361611227216,2001,0.5962497785636123,2001Q1
2006-03-21 00:00:00-05:00,VRTX,deep_oversold,2.761149671856646,28.8949915916927,-0.14140271249136407,-0.15098812719477017,-0.25981555763183195,2006,0.2582343932897515,2006Q1
2006-04-06 00:00:00-04:00,VRTX,deep_oversold,2.391566129509929,24.31818832050257,-0.23574664714439275,0.08910604632926278,-0.049141501107143104,2006,-0.95,2006Q2
2006-08-04 00:00:00-04:00,VRTX,below_200sma,1.0646193359876355,44.24862186181179,-0.26990950450794504,0.025410588261300715,0.16795779646917675,2006,-0.8,2006Q3
2010-06-24 00:00:00-04:00,LYV,below_200sma,1.3530701045789648,43.718595252620574,-0.3574850867044101,0.09692460017669191,0.01957129982348582,2010,-0.95,2010Q2
2010-07-01 00:00:00-04:00,LYV,below_200sma,1.0772275989937508,35.82474822279978,-0.37185632982739064,0.12678741208059008,0.09342235627200424,2010,-0.95,2010Q3
1986-06-25 00:00:00-04:00,AMGN,deep_oversold,2.311481047710362,29.507851262890313,-0.11013194989430418,-0.13861434813003026,0.5297029735914045,1986,0.15511956775025224,1986Q2
1986-07-01 00:00:00-04:00,AMGN,deep_oversold,2.1290373286906448,22.221596418271588,-0.1453752397753229,-0.07216446270483612,0.572166194970678,1986,-0.398629477459699,1986Q3
1991-05-14 00:00:00-04:00,AMGN,deep_oversold,2.5280892795289227,27.586182920876865,-0.12453527128463607,0.5031849660554975,0.35668858568699213,1991,-1.0,1991Q2
2025-03-13 00:00:00-04:00,DDL,below_200sma,1.0068027144684555,33.47825730906011,-0.3696580863484879,-0.254237284026109,,2025,1.1186440335509085,2025Q1
2025-04-01 00:00:00-04:00,DDL,below_200sma,1.1967213146790994,30.000013245471706,-0.42735039208140546,-0.23134332407978664,,2025,0.9278610339982221,2025Q2
1999-10-07 00:00:00-04:00,CCL,below_200sma,1.0065547730711426,46.84214156153147,-0.16009288770364774,-0.45778081454351927,-0.44572330972394103,1999,2.814840121195994,1999Q4
2000-05-09 00:00:00-04:00,LRCX,below_200sma,2.4516121513626135,28.446787480439156,-0.39820014252018415,-0.4411215113200697,-0.1632151756108986,2000,2.6760125943339146,2000Q2
2000-07-05 00:00:00-04:00,LRCX,below_200sma,1.2686142152492454,37.60845698373942,-0.41732264384836,-0.4671813606405918,-0.11382218561108293,2000,2.893178005338265,2000Q3
2004-03-05 00:00:00-05:00,LRCX,below_200sma,1.0307942758351376,36.70023314367455,-0.2920904148635257,-0.19672773260524,0.19233856697035479,2004,0.6393977717103335,2004Q1
2004-04-16 00:00:00-04:00,LRCX,below_200sma,1.1119653382341448,47.14063688800161,-0.30197750523124484,-0.11978956372948923,0.06717919070813982,2004,-0.0017536355875896747,2004Q2
2003-11-17 00:00:00-05:00,NFLX,deep_oversold,3.907692575736874,29.52153863346858,-0.25067060022929605,0.4039403901245382,-0.531570561808334,2003,-1.0,2003Q4
2004-03-22 00:00:00-05:00,NFLX,deep_oversold,2.1536378403594094,27.523813792263056,-0.24671637427246187,-0.40136698258905923,-0.6871800592170833,2004,2.344724854908827,2004Q1
2004-04-30 00:00:00-04:00,NFLX,below_200sma,1.2542280099995047,8.640111024462527,-0.3468959036086063,-0.6265767851585775,-0.5437692765258115,2004,4.221473209654813,2004Q2
2010-12-20 00:00:00-05:00,NFLX,deep_oversold,2.342406136975864,27.928318290745068,-0.1352600786869226,0.4245998738343031,-0.6228585810014706,2010,-1.0,2010Q4
2011-03-07 00:00:00-05:00,NFLX,deep_oversold,2.0198014099881125,18.038500976088955,-0.16218957937843131,0.02753155336114399,-0.4834617392939621,2011,-0.8,2011Q1
2014-01-07 00:00:00-05:00,NFLX,deep_oversold,2.4223786507526124,27.809981307770897,-0.10794054262459046,0.30485999323382806,-0.036229694724912664,2014,-1.0,2014Q1
2021-03-03 00:00:00-05:00,GRWG,deep_oversold,7.00552533976844,28.88650930888376,-0.3268813876093816,-0.26409020306439446,-0.8097538480439476,2021,1.2007516922032873,2021Q1
2021-04-28 00:00:00-04:00,GRWG,deep_oversold,8.89848827176298,29.12064757127061,-0.2903375575778268,-0.5245472388185176,-0.8692995956404412,2021,3.3712269901543137,2021Q2
2021-07-15 00:00:00-04:00,GRWG,below_200sma,4.503457926771399,40.42303532680726,-0.3838649769688693,-0.7210354328708208,-0.8944458478857144,2021,5.00862860725684,2021Q3
