Date,Equity,Ret,Peak,DD
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100076.74444243738,0.0007674444243739309,100076.74444243738,0.0
1981-01-05,100198.7678027573,0.001219297859854862,100198.7678027573,0.0
1981-01-06,100184.54874197692,-0.00014190853931828062,100198.7678027573,-0.00014190853931825853
1981-01-07,99843.71815112542,-0.0034020275095444363,100198.7678027573,-0.003543453272108116
1981-01-08,99775.46570364115,-0.0006835928063191332,100198.7678027573,-0.004224623799260913
1981-01-09,99966.26534760724,0.001912290186976584,100198.7678027573,-0.0023204123189193115
1981-01-12,100041.73804298967,0.0007549816442575796,100198.7678027573,-0.001567182543369602
1981-01-13,100059.66687273342,0.0001792134972309345,100198.7678027573,-0.0013882499064030644
1981-01-14,100074.17495898402,0.00014499434891246388,100198.7678027573,-0.0012434568458820055
1981-01-15,93661.3763972265,-0.06408045396712825,100198.7678027573,-0.06524422953383764
1981-01-16,100269.22310478937,0.07055039079864023,100269.22310478937,0.0
1981-01-19,100338.43085763043,0.0006902192985851485,100338.43085763043,0.0
1981-01-20,100086.04594989089,-0.0025153364028349667,100338.43085763043,-0.0025153364028350205
1981-01-21,99982.71366738553,-0.001032434457018061,100338.43085763043,-0.003545173939879819
1981-01-22,100024.64406616565,0.00041937648261503035,100338.43085763043,-0.0031272842198420427
1981-01-23,100048.36087830755,0.000237109687950543,100338.43085763043,-0.002890916041276981
1981-01-26,100025.54177827686,-0.000228080698477795,100338.43085763043,-0.0031183373776048455
1981-01-27,100233.47523531748,0.002078803606998081,100338.43085763043,-0.0010460161815951496
1981-01-28,100243.30910015649,9.810958680134263e-05,100338.43085763043,-0.0009480092190091131
1981-01-29,100203.86826711404,-0.0003934510282680437,100338.43085763043,-0.001341087252075136
1981-01-30,100353.1470018523,0.0014897502194257672,100353.1470018523,0.0
1981-02-02,100060.66103190075,-0.002914566993560741,100353.1470018523,-0.002914566993560773
1981-02-03,100179.23444206489,0.0011850152591570406,100353.1470018523,-0.0017330055407649354
1981-02-04,100137.88878597773,-0.0004127168301637507,100353.1470018523,-0.0021450071303752067
1981-02-05,100362.71521149529,0.0022451684196984623,100362.71521149529,0.0
1981-02-06,100445.62636585333,0.0008261150984538723,100445.62636585333,0.0
1981-02-09,100300.94876563443,-0.0014403573898971178,100445.62636585333,-0.0014403573898971007
1981-02-10,100354.2188753771,0.0005311027502556964,100445.62636585333,-0.0009100196174126094
1981-02-11,94003.37632633826,-0.06328426069386794,100445.62636585333,-0.06413669039257568
1981-02-12,93056.69043226974,-0.010070764807234678,100445.62636585333,-0.07356154967535225
1981-02-13,100241.02906455868,0.07720389150867102,100445.62636585333,-0.002036896067026787
1981-02-16,83155.45873358686,-0.17044488160599514,100445.62636585333,-0.17213459916403384
1981-02-17,100180.22787916494,0.20473423398603297,100445.62636585333,-0.002642210480342094
1981-02-18,100227.52363905436,0.000472106730945665,100445.62636585333,-0.002171351154748881
1981-02-19,99948.55021206605,-0.0027834013737879637,100445.62636585333,-0.004948708786749693
1981-02-20,99852.08375367541,-0.000965161157275074,100445.62636585333,-0.00590909364252511
