date,ticker,category,mom_12m,rsi,fwd_6m,fwd_12m,max_dd_6m
2000-06-05 00:00:00-04:00,MSTR,bubble,1.1032608695652173,52.631578947368425,-0.5012919896640826,-0.8548837213245165,-0.6175710594315246
2000-06-06 00:00:00-04:00,MSTR,bubble,1.4216216216216218,59.58083832335329,-0.6071428571428572,-0.871785717351096,-0.6696428571428571
2000-06-07 00:00:00-04:00,MSTR,bubble,2.236559139784946,70.90517241379311,-0.6411960132890365,-0.9027242502104801,-0.7541528239202658
2000-06-08 00:00:00-04:00,MSTR,bubble,2.795698924731183,79.74217311233886,-0.703257790368272,-0.9138810209106791,-0.7903682719546742
2000-06-09 00:00:00-04:00,MSTR,bubble,4.383783783783784,90.375,-0.820281124497992,-0.9410441754812218,-0.8514056224899599
2000-06-12 00:00:00-04:00,MSTR,bubble,2.3138297872340425,62.381363244176015,-0.6597110754414125,-0.9065168512384161,-0.7624398073836276
2000-06-13 00:00:00-04:00,MSTR,bubble,2.5492227979274613,64.17419884963024,-0.6335766423357665,-0.9159124109866845,-0.7839416058394161
2000-06-14 00:00:00-04:00,MSTR,bubble,2.38,65.79612468407751,-0.6272189349112426,-0.9155029601599338,-0.7810650887573964
2000-06-15 00:00:00-04:00,MSTR,bubble,2.1528822055137846,64.54545454545453,-0.6279809220985691,-0.904610492845787,-0.7647058823529411
2000-06-16 00:00:00-04:00,MSTR,bubble,1.9806763285024154,63.613861386138616,-0.6012965964343597,-0.9110534828717743,-0.7601296596434359
2000-06-19 00:00:00-04:00,MSTR,bubble,2.03125,64.9164677804296,-0.6701030927835052,-0.9253019127824696,-0.7820324005891016
2000-06-20 00:00:00-04:00,MSTR,bubble,1.8459869848156183,63.72165754495699,-0.7057926829268293,-0.924390246228474,-0.774390243902439
2000-06-21 00:00:00-04:00,MSTR,bubble,1.6166666666666667,62.240982348426705,-0.7197452229299364,-0.9192356668460141,-0.7643312101910829
2000-06-22 00:00:00-04:00,MSTR,bubble,1.2619047619047619,57.95107033639144,-0.7192982456140351,-0.9073684223911218,-0.7403508771929824
2000-06-23 00:00:00-04:00,MSTR,bubble,1.0074626865671643,55.741444866920155,-0.70817843866171,-0.9060223022801283,-0.724907063197026
2000-06-26 00:00:00-04:00,MSTR,bubble,1.409448818897638,56.174698795180724,-0.7254901960784313,-0.9247058793610218,-0.7581699346405228
2000-06-27 00:00:00-04:00,MSTR,bubble,1.0459770114942528,47.284345047923324,-0.7078651685393258,-0.9158052451601636,-0.7228464419475655
2004-03-23 00:00:00-05:00,MSTR,bubble,1.014833034303197,22.329692153322583,-0.1421267308384836,0.19529651324763853,-0.38323106037372917
2021-07-19 00:00:00-04:00,MSTR,bubble,3.214298055709926,24.57129309995537,0.0016843044396337437,-0.4642886154329099,-0.03362612082352544
2021-07-20 00:00:00-04:00,MSTR,bubble,3.163804074091103,9.199153621496194,-0.06676236986521522,-0.42450874883741363,-0.06676236986521525
2021-09-20 00:00:00-04:00,MSTR,bubble,2.686885271764021,27.207620536676885,-0.2581791279741804,-0.6658678833276681,-0.45707780020488464
2021-09-21 00:00:00-04:00,MSTR,bubble,2.818480724571881,27.351235025801245,-0.20837496145220324,-0.6627999268076069,-0.4501910598525083
2021-09-22 00:00:00-04:00,MSTR,bubble,2.8872607969996817,30.24914836717896,-0.24836141249856225,-0.6792581707978718,-0.4672370294818511
