Date,Equity,Ret,Peak,DD
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100059.36113008698,0.0005936113008697674,100059.36113008698,0.0
1981-01-05,100148.68190807938,0.0008926778762485821,100148.68190807938,0.0
1981-01-06,100152.5238520804,3.836240205878916e-05,100152.5238520804,0.0
1981-01-07,99830.85691788609,-0.0032117706256648004,100152.5238520804,-0.0032117706256648013
1981-01-08,99741.58153393523,-0.0008942664293094538,100152.5238520804,-0.004103164876325131
1981-01-09,99780.4098134502,0.00038928878926758337,100152.5238520804,-0.0037154734031444965
1981-01-12,99785.10217831816,4.7026915170444994e-05,100152.5238520804,-0.0036686212152266346
1981-01-13,99770.97537017372,-0.00014157231727029984,100152.5238520804,-0.003809674157290358
1981-01-14,99777.35577265683,6.395048719753937e-05,100152.5238520804,-0.003745967300611162
1981-01-15,94161.1940617104,-0.05628693672483043,100152.5238520804,-0.059822055001018795
1981-01-16,99877.34803934107,0.06070604811876623,100152.5238520804,-0.002747567431707912
1981-01-19,99902.95957653662,0.0002564298882412608,100152.5238520804,-0.002491842101876187
1981-01-20,99702.23313351625,-0.002009214180152541,100152.5238520804,-0.004496049637542898
1981-01-21,99692.49612877518,-9.766084906071004e-05,100152.5238520804,-0.004593271398578565
1981-01-22,99626.6863552566,-0.0006601276532746114,100152.5238520804,-0.005250366906383942
1981-01-23,99629.948525906,3.274394410501813e-05,100152.5238520804,-0.005217794879999329
1981-01-26,99644.71384181693,0.0001482015812452886,100152.5238520804,-0.005070366584205807
1981-01-27,99677.89433623097,0.00033298800442849164,100152.5238520804,-0.004739066951027945
1981-01-28,99708.61696415617,0.00030821907033451446,100152.5238520804,-0.004432308551503417
1981-01-29,99681.5635113367,-0.00027132512357674887,100152.5238520804,-0.004702431078414729
1981-01-30,99866.20633640276,0.0018523267348735661,100152.5238520804,-0.002858814782346536
1981-02-02,99880.35243947322,0.00014165055016523986,100152.5238520804,-0.0027175691848680367
1981-02-03,99899.78712669596,0.00019457968207015064,100152.5238520804,-0.0025235182865458294
1981-02-04,99833.01675601304,-0.0006683735031211002,100152.5238520804,-0.003190205136909539
1981-02-05,99917.44051269616,0.0008456496600663943,100152.5238520804,-0.002347253272732676
1981-02-06,99893.40651808934,-0.0002405385334482979,100152.5238520804,-0.002587227201321075
1981-02-09,99887.87667008206,-5.535748754625924e-05,100152.5238520804,-0.0026424414664697874
1981-02-10,99795.09443688176,-0.0009288638050315434,100152.5238520804,-0.0035688508032662523
1981-02-11,99796.93771955084,1.847067412974468e-05,100152.5238520804,-0.0035504460482167783
1981-02-12,93914.1690556939,-0.05894738654595477,100152.5238520804,-0.06228854307855681
1981-02-13,100145.02515019823,0.0663462836029487,100152.5238520804,-7.487281991261087e-05
1981-02-16,93914.1690556939,-0.0622183287203657,100152.5238520804,-0.06228854307855681
1981-02-17,100113.68770405825,0.06601260183314661,100152.5238520804,-0.0003877700384216872
1981-02-18,100092.48948457354,-0.0002117414708303622,100152.5238520804,-0.0005994294022537597
1981-02-19,99949.62898344727,-0.001427284922794203,100152.5238520804,-0.0020258587684998533
1981-02-20,99880.33219894026,-0.000693317075929123,100152.5238520804,-0.002717771281951399
