Date,Equity,Ret,Peak,DD
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100000.0,0.0,100000.0,0.0
1981-01-05,100018.27546375511,0.00018275463755101917,100018.27546375511,0.0
1981-01-06,100021.45957318341,3.183527623873417e-05,100021.45957318341,0.0
1981-01-07,99699.1053132942,-0.0032228509888255763,100021.45957318341,-0.003222850988825551
1981-01-08,99616.53066666174,-0.0008282385922419033,100021.45957318341,-0.0040484202915015
1981-01-09,99633.69954143085,0.00017234965576706784,100021.45957318341,-0.0038767683795780813
1981-01-12,99635.33502879305,1.641500184912381e-05,100021.45957318341,-0.003860417014889113
1981-01-13,99625.93253584957,-9.436906034154813e-05,100021.45957318341,-0.003954421771304432
1981-01-14,99633.29098146813,7.386074520221442e-05,100021.45957318341,-0.0038808531026410884
1981-01-15,99663.9498200749,0.0003077168113663209,100021.45957318341,-0.0035743304950167985
1981-01-16,99686.43309313765,0.0002255908290142994,100021.45957318341,-0.003349546002182012
1981-01-19,99670.08133829398,-0.00016403189818603447,100021.45957318341,-0.0035130284679792704
1981-01-20,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-21,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-22,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-23,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-26,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-27,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-28,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-29,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-01-30,99670.08133829398,0.0,100021.45957318341,-0.0035130284679792704
1981-02-02,99643.70927659744,-0.00026459356049923777,100021.45957318341,-0.0037766925037679903
1981-02-03,99673.22107475827,0.00029617321931385554,100021.45957318341,-0.0034816378396312258
1981-02-04,99629.26715954083,-0.00044098018247518134,100021.45957318341,-0.003921082688816616
1981-02-05,99692.05805637444,0.0006302454953630576,100021.45957318341,-0.00329330843815524
1981-02-06,99683.26736914227,-8.817841063335496e-05,100021.45957318341,-0.003381196450084765
1981-02-09,99679.50006863034,-3.779270695425385e-05,100021.45957318341,-0.003418861372472467
1981-02-10,99699.59313645483,0.00020157673153109457,100021.45957318341,-0.0032179738038423606
1981-02-11,99699.59313645483,0.0,100021.45957318341,-0.0032179738038423606
1981-02-12,99699.59313645483,0.0,100021.45957318341,-0.0032179738038423606
1981-02-13,99699.59313645483,0.0,100021.45957318341,-0.0032179738038423606
1981-02-16,93717.61754826755,-0.05999999999999994,100021.45957318341,-0.06302489537561176
1981-02-17,99678.87715126575,0.06360874037293973,100021.45957318341,-0.0034250892096510327
1981-02-18,99664.86382041172,-0.0001405847583212383,100021.45957318341,-0.003565192452633462
1981-02-19,99570.42421572226,-0.000947571702497152,100021.45957318341,-0.004509385879648543
1981-02-20,99570.42421572226,0.0,100021.45957318341,-0.004509385879648543
1981-02-23,99570.42421572226,0.0,100021.45957318341,-0.004509385879648543
1981-02-24,99570.42421572226,0.0,100021.45957318341,-0.004509385879648543
