Entry,Exit,Ticker,MaxLev,PnL%,Reason
1982-01-11,1982-01-12,NIKKEI,1.0,-0.57,TRAIL
1982-01-14,1982-01-26,NIKKEI,2.0,5.12,TRAIL
1982-01-25,1982-01-26,DXY,1.0,-0.79,TRAIL
1982-01-26,1982-02-02,NIKKEI,2.0,-0.9,TRAIL
1982-02-03,1982-02-08,NIKKEI,1.0,-0.97,TRAIL
1982-01-27,1982-02-18,DXY,1.0,1.8,TRAIL
1982-02-22,1982-03-05,DXY,1.0,0.08,TRAIL
1982-03-09,1982-03-30,DXY,2.0,4.84,TRAIL
1982-03-30,1982-04-02,DXY,1.0,-0.18,TRAIL
1982-04-02,1982-04-13,DXY,2.0,1.23,TRAIL
1982-04-13,1982-04-19,DXY,1.0,-0.19,TRAIL
1982-04-19,1982-04-23,DXY,1.0,-0.64,TRAIL
1982-05-11,1982-05-20,NIKKEI,1.0,-0.09,TRAIL
1982-05-25,1982-06-29,DXY,1.0,7.09,TRAIL
1982-06-29,1982-07-09,DXY,2.0,1.34,TRAIL
1982-07-09,1982-07-19,DXY,1.0,-0.73,TRAIL
1982-08-05,1982-08-18,DXY,1.0,-0.18,TRAIL
1982-08-19,1982-08-20,DXY,1.0,-1.24,TRAIL
1982-08-30,1982-09-02,DXY,1.0,-1.57,TRAIL
1982-09-10,1982-09-22,DXY,1.0,-0.33,TRAIL
1982-09-03,1982-09-29,SP500,1.0,-0.86,TRAIL
1982-09-16,1982-09-30,NASDAQ,1.0,0.46,TRAIL
1982-09-22,1982-10-01,DXY,1.0,1.28,TRAIL
1982-10-01,1982-10-07,DXY,1.0,0.34,TRAIL
1982-10-07,1982-10-12,DXY,1.0,-1.09,TRAIL
1982-09-29,1982-10-25,SP500,3.0,28.83,TRAIL
1982-09-30,1982-10-25,NASDAQ,3.0,37.15,TRAIL
1982-10-13,1982-11-09,DXY,1.0,2.4,TRAIL
1982-10-25,1982-11-12,SP500,3.0,9.32,TRAIL
1982-10-25,1982-11-15,NASDAQ,3.0,26.25,TRAIL
1982-11-12,1982-11-15,SP500,2.0,-3.58,TRAIL
1982-11-15,1982-11-16,NASDAQ,2.0,-3.81,TRAIL
1982-11-09,1982-11-19,DXY,1.0,-1.18,TRAIL
1982-11-15,1982-11-22,SP500,2.0,-2.05,PULL:3.0%
1982-11-16,1982-11-22,NASDAQ,2.0,0.73,TRAIL
1982-11-02,1982-11-24,NIKKEI,2.0,12.2,TRAIL
1982-11-22,1982-12-09,NASDAQ,3.0,15.21,TRAIL
1982-11-24,1982-12-09,NIKKEI,2.0,2.51,TRAIL
1982-12-09,1982-12-10,NIKKEI,1.0,-0.94,TRAIL
1982-12-09,1982-12-10,NASDAQ,2.0,-2.86,TRAIL
1982-11-22,1982-12-14,SP500,2.0,2.37,TRAIL
1982-12-10,1982-12-15,NASDAQ,1.0,-3.49,STOP:-3.5%
1982-12-10,1982-12-16,NIKKEI,1.0,-0.53,TRAIL
1982-12-16,1982-12-22,NIKKEI,1.0,-0.72,TRAIL
1982-12-15,1982-12-30,NASDAQ,2.0,4.95,TRAIL
1982-12-14,1983-01-03,SP500,2.0,0.68,TRAIL
1982-12-22,1983-01-11,NIKKEI,3.0,11.86,TRAIL
1982-12-30,1983-01-19,NASDAQ,3.0,18.06,TRAIL
1983-01-11,1983-01-19,NIKKEI,1.0,-1.37,TRAIL
1983-01-03,1983-01-21,SP500,3.0,7.97,TRAIL
1983-01-19,1983-01-21,NASDAQ,3.0,-1.5,TRAIL
1983-01-21,1983-01-24,NIKKEI,1.0,-1.95,TRAIL
1983-01-21,1983-01-24,SP500,1.0,-2.7,STOP:-2.7%
1983-01-21,1983-01-24,NASDAQ,3.0,-8.9,STOP:-3.0%
1983-01-18,1983-01-25,DXY,1.0,1.33,TRAIL
1983-01-24,1983-02-01,SP500,2.0,4.27,TRAIL
1983-01-26,1983-02-03,NIKKEI,1.0,0.36,TRAIL
1983-01-27,1983-02-07,DXY,1.0,0.72,TRAIL
1983-02-03,1983-02-18,NIKKEI,1.0,0.71,TRAIL
1983-01-24,1983-02-22,NASDAQ,3.0,28.45,TRAIL
1983-02-01,1983-02-22,SP500,3.0,5.29,TRAIL
1983-02-18,1983-02-22,NIKKEI,1.0,-1.62,TRAIL
1983-02-22,1983-02-28,NASDAQ,3.0,1.72,TRAIL
1983-02-23,1983-03-01,NIKKEI,1.0,0.72,TRAIL
1983-02-22,1983-03-08,SP500,3.0,11.92,TRAIL
1983-02-28,1983-03-08,NASDAQ,3.0,2.87,TRAIL
1983-03-08,1983-03-14,NASDAQ,3.0,1.35,TRAIL
1983-03-08,1983-03-17,SP500,2.0,-1.1,TRAIL
1983-03-11,1983-03-25,NIKKEI,2.0,5.48,TRAIL
1983-03-14,1983-03-28,NASDAQ,3.0,5.46,TRAIL
1983-03-17,1983-03-28,SP500,3.0,4.53,TRAIL
1983-03-18,1983-04-04,DXY,1.0,1.15,TRAIL
1983-03-28,1983-04-04,NASDAQ,3.0,-0.47,TRAIL
1983-03-25,1983-04-05,NIKKEI,2.0,2.83,TRAIL
1983-04-04,1983-04-06,NASDAQ,3.0,-2.52,TRAIL
1983-04-05,1983-04-08,NIKKEI,2.0,0.36,TRAIL
1983-04-04,1983-04-12,DXY,1.0,-0.41,TRAIL
1983-04-08,1983-04-19,NIKKEI,2.0,2.52,TRAIL
1983-03-28,1983-04-25,SP500,3.0,13.75,TRAIL
1983-04-13,1983-04-25,DXY,1.0,-0.34,TRAIL
1983-04-06,1983-05-02,NASDAQ,3.0,27.1,TRAIL
1983-04-25,1983-05-02,SP500,3.0,6.23,TRAIL
1983-04-19,1983-05-04,NIKKEI,3.0,4.26,TRAIL
1983-04-25,1983-05-04,DXY,1.0,0.05,TRAIL
1983-05-04,1983-05-09,DXY,1.0,-0.41,TRAIL
1983-05-04,1983-05-10,NIKKEI,2.0,0.11,TRAIL
1983-05-02,1983-05-12,SP500,3.0,3.96,TRAIL
1983-05-02,1983-05-12,NASDAQ,3.0,11.99,TRAIL
1983-05-10,1983-05-12,NIKKEI,3.0,-0.49,TRAIL
1983-05-12,1983-05-16,NIKKEI,3.0,-2.15,TRAIL
1983-05-12,1983-05-16,NASDAQ,3.0,-2.53,TRAIL
1983-05-12,1983-05-20,SP500,3.0,-1.28,TRAIL
1983-05-20,1983-05-27,SP500,3.0,4.29,TRAIL
1983-05-16,1983-05-31,NASDAQ,3.0,9.14,TRAIL
1983-05-27,1983-05-31,SP500,2.0,-2.52,TRAIL
1983-05-26,1983-06-01,NIKKEI,1.0,-0.88,TRAIL
1983-05-31,1983-06-07,SP500,2.0,0.47,TRAIL
1983-05-31,1983-06-08,NASDAQ,3.0,3.65,TRAIL
1983-05-10,1983-06-20,DXY,1.0,3.18,TRAIL
1983-06-20,1983-06-22,DXY,1.0,-0.74,TRAIL
1983-06-07,1983-06-27,SP500,3.0,10.49,TRAIL
1983-06-08,1983-06-27,NASDAQ,3.0,11.38,TRAIL
1983-06-27,1983-06-28,SP500,2.0,-3.3,TRAIL
1983-06-27,1983-06-28,NASDAQ,3.0,-7.83,STOP:-2.6%
1983-06-28,1983-07-05,SP500,3.0,1.67,TRAIL
1983-06-28,1983-07-05,NASDAQ,3.0,1.22,TRAIL
1983-06-13,1983-07-11,NIKKEI,2.0,8.61,TRAIL
1983-07-05,1983-07-12,NASDAQ,2.0,-0.14,TRAIL
1983-07-05,1983-07-13,SP500,2.0,-0.68,TRAIL
1983-07-11,1983-07-13,NIKKEI,2.0,-1.9,TRAIL
1983-07-12,1983-07-18,NASDAQ,2.0,-2.1,TRAIL
1983-06-29,1983-07-20,DXY,1.0,0.76,TRAIL
1983-07-13,1983-07-27,SP500,2.0,2.57,TRAIL
1983-07-18,1983-07-27,NASDAQ,3.0,4.59,TRAIL
1983-07-27,1983-07-28,NASDAQ,2.0,-4.17,TRAIL
1983-07-27,1983-07-29,SP500,1.0,-3.0,STOP:-3.0%
1983-07-13,1983-08-01,NIKKEI,3.0,4.46,TRAIL
1983-07-28,1983-08-01,NASDAQ,1.0,-2.07,TRAIL
1983-08-02,1983-08-05,NIKKEI,1.0,-1.04,TRAIL
1983-07-29,1983-08-08,SP500,1.0,-2.08,TRAIL
1983-08-01,1983-08-08,NASDAQ,1.0,-2.37,TRAIL
1983-08-05,1983-08-09,NIKKEI,1.0,-0.81,TRAIL
1983-07-20,1983-08-15,DXY,2.0,7.99,TRAIL
1983-08-15,1983-08-16,DXY,1.0,-1.44,TRAIL
1983-08-08,1983-08-23,NASDAQ,1.0,-0.43,TRAIL
1983-08-08,1983-08-24,SP500,1.0,1.3,TRAIL
1983-08-12,1983-08-24,NIKKEI,3.0,7.62,TRAIL
1983-08-23,1983-08-25,NASDAQ,1.0,-1.41,TRAIL
1983-08-24,1983-09-02,NIKKEI,2.0,0.78,TRAIL
1983-08-19,1983-09-09,DXY,1.0,0.67,TRAIL
1983-09-02,1983-09-09,NIKKEI,3.0,3.95,TRAIL
1983-08-24,1983-09-12,SP500,2.0,5.25,TRAIL
1983-08-25,1983-09-13,NASDAQ,2.0,5.8,TRAIL
1983-09-09,1983-09-13,NIKKEI,3.0,-0.15,TRAIL
1983-09-13,1983-09-16,DXY,1.0,-0.41,TRAIL
1983-09-13,1983-09-16,NIKKEI,2.0,-2.23,TRAIL
1983-09-16,1983-09-23,DXY,1.0,-0.44,TRAIL
1983-09-12,1983-09-27,SP500,2.0,3.57,TRAIL
1983-09-13,1983-09-27,NASDAQ,2.0,1.91,TRAIL
1983-09-27,1983-09-30,NASDAQ,1.0,-1.37,TRAIL
1983-09-27,1983-10-03,SP500,1.0,-1.56,TRAIL
1983-09-16,1983-10-11,NIKKEI,2.0,6.47,TRAIL
1983-10-03,1983-10-11,SP500,2.0,5.46,TRAIL
1983-09-30,1983-10-12,NASDAQ,1.0,-1.71,TRAIL
1983-10-11,1983-10-13,NIKKEI,1.0,-0.22,TRAIL
1983-10-13,1983-10-14,NIKKEI,1.0,-1.57,TRAIL
1983-10-12,1983-10-18,NASDAQ,1.0,-2.73,STOP:-2.7%
1983-10-11,1983-10-19,SP500,1.0,-2.12,TRAIL
1983-10-14,1983-10-19,NIKKEI,1.0,-0.46,TRAIL
1983-10-18,1983-10-19,NASDAQ,1.0,-1.33,TRAIL
1983-10-19,1983-10-24,NASDAQ,1.0,-1.09,TRAIL
1983-10-19,1983-10-25,NIKKEI,1.0,-0.52,TRAIL
1983-10-24,1983-10-31,NASDAQ,1.0,-0.82,TRAIL
1983-10-31,1983-11-07,NASDAQ,1.0,-1.25,TRAIL
1983-10-25,1983-11-09,NIKKEI,1.0,0.7,TRAIL
1983-10-26,1983-11-10,DXY,1.0,1.08,TRAIL
1983-11-09,1983-11-24,NIKKEI,1.0,0.82,TRAIL
1983-11-24,1983-11-28,NIKKEI,1.0,-0.84,TRAIL
1983-11-10,1983-11-30,DXY,1.0,1.04,TRAIL
1983-11-16,1983-12-02,SP500,1.0,-0.39,TRAIL
1983-11-21,1983-12-02,NASDAQ,1.0,0.3,TRAIL
1983-12-02,1983-12-06,NASDAQ,1.0,-0.66,TRAIL
1983-12-01,1983-12-13,NIKKEI,1.0,0.52,TRAIL
1983-12-07,1983-12-14,SP500,1.0,-1.56,TRAIL
1983-11-30,1983-12-23,DXY,1.0,1.94,TRAIL
1983-12-23,1983-12-29,DXY,1.0,-0.88,TRAIL
1984-01-03,1984-01-13,DXY,1.0,1.26,TRAIL
1983-12-13,1984-01-18,NIKKEI,2.0,15.23,TRAIL
1984-01-04,1984-01-19,SP500,1.0,0.16,TRAIL
1984-01-06,1984-01-20,NASDAQ,1.0,-1.21,TRAIL
1984-01-18,1984-01-24,NIKKEI,1.0,-0.77,TRAIL
1984-01-19,1984-01-26,SP500,1.0,-1.68,TRAIL
1984-01-24,1984-01-31,NIKKEI,3.0,5.18,TRAIL
1984-01-13,1984-02-01,DXY,1.0,-0.16,TRAIL
1984-01-31,1984-02-02,NIKKEI,3.0,-1.17,TRAIL
1984-02-02,1984-02-06,NIKKEI,3.0,-1.04,TRAIL
1984-02-06,1984-02-09,NIKKEI,1.0,-1.18,TRAIL
1984-02-27,1984-03-01,NIKKEI,1.0,-1.5,TRAIL
1984-03-01,1984-03-08,NIKKEI,2.0,0.39,TRAIL
1984-03-20,1984-03-26,DXY,1.0,-0.96,TRAIL
1984-03-09,1984-04-03,NIKKEI,3.0,28.11,TRAIL
1984-03-20,1984-04-05,SP500,1.0,-2.4,TRAIL
1984-04-03,1984-04-06,NIKKEI,3.0,-0.52,TRAIL
1984-04-03,1984-04-11,DXY,1.0,-0.48,TRAIL
1984-04-06,1984-04-17,NIKKEI,3.0,-0.23,TRAIL
1984-04-17,1984-04-19,NIKKEI,1.0,-1.13,TRAIL
1984-04-25,1984-05-03,DXY,1.0,0.75,TRAIL
1984-04-19,1984-05-08,NIKKEI,3.0,7.5,TRAIL
1984-05-08,1984-05-10,NIKKEI,2.0,-3.13,TRAIL
1984-05-10,1984-05-14,NIKKEI,1.0,-2.91,STOP:-2.9%
1984-05-03,1984-05-15,DXY,1.0,1.42,TRAIL
1984-05-16,1984-05-17,NIKKEI,1.0,-2.63,STOP:-2.6%
1984-05-15,1984-05-22,DXY,1.0,0.06,TRAIL
1984-05-22,1984-05-25,DXY,1.0,-0.33,TRAIL
1984-05-29,1984-06-01,DXY,1.0,-1.3,TRAIL
1984-06-13,1984-06-15,NIKKEI,1.0,-2.13,TRAIL
1984-06-27,1984-07-09,NIKKEI,1.0,0.6,TRAIL
1984-07-09,1984-07-12,NIKKEI,1.0,-0.99,TRAIL
1984-06-12,1984-07-13,DXY,2.0,7.28,TRAIL
1984-07-13,1984-07-26,DXY,1.0,0.32,TRAIL
1984-07-26,1984-08-03,DXY,1.0,0.19,TRAIL
1984-08-07,1984-08-15,DXY,1.0,-1.11,TRAIL
1984-08-03,1984-09-04,SP500,1.0,1.56,TRAIL
1984-08-06,1984-09-05,NIKKEI,1.0,1.1,TRAIL
1984-09-05,1984-09-06,NIKKEI,1.0,-0.83,TRAIL
1984-09-06,1984-09-18,NIKKEI,1.0,0.96,TRAIL
1984-09-13,1984-09-19,SP500,2.0,-1.19,TRAIL
1984-08-30,1984-09-21,DXY,3.0,14.58,TRAIL
1984-09-18,1984-10-02,NIKKEI,1.0,-0.18,TRAIL
1984-09-21,1984-10-03,DXY,1.0,-0.97,TRAIL
1984-09-28,1984-10-03,SP500,1.0,-2.2,TRAIL
1984-10-03,1984-10-19,DXY,3.0,5.61,TRAIL
1984-10-18,1984-10-29,SP500,1.0,-1.98,TRAIL
1984-10-03,1984-11-01,NIKKEI,2.0,11.0,TRAIL
1984-11-01,1984-11-06,NIKKEI,2.0,2.29,TRAIL
1984-11-06,1984-11-07,NIKKEI,2.0,-2.11,TRAIL
1984-10-29,1984-11-09,SP500,1.0,1.71,TRAIL
1984-11-09,1984-11-16,SP500,1.0,-2.09,TRAIL
1984-11-07,1984-11-22,NIKKEI,1.0,0.26,TRAIL
1984-11-26,1984-12-04,DXY,1.0,-0.12,TRAIL
1984-11-29,1984-12-07,NIKKEI,2.0,1.76,TRAIL
1984-12-07,1984-12-10,NIKKEI,2.0,-2.62,TRAIL
1984-12-12,1984-12-21,NIKKEI,2.0,1.62,TRAIL
1984-12-31,1985-01-02,FTSE,3.0,-2.97,TRAIL
1984-12-18,1985-01-03,SP500,1.0,-2.11,TRAIL
1985-01-02,1985-01-03,FTSE,2.0,-2.28,TRAIL
1984-12-05,1985-01-10,DXY,1.0,2.48,TRAIL
1985-01-03,1985-01-11,FTSE,3.0,10.57,TRAIL
1985-01-11,1985-01-14,FTSE,2.0,-4.5,TRAIL
1984-12-21,1985-01-17,NIKKEI,3.0,10.79,TRAIL
1985-01-10,1985-01-22,DXY,1.0,0.7,TRAIL
1985-01-17,1985-01-22,NIKKEI,3.0,-0.48,TRAIL
1985-01-14,1985-01-23,FTSE,3.0,15.53,TRAIL
1985-01-22,1985-01-25,NIKKEI,3.0,-2.1,TRAIL
1985-01-23,1985-01-28,FTSE,2.0,-2.79,TRAIL
1985-01-25,1985-02-04,NIKKEI,2.0,1.8,TRAIL
1985-02-04,1985-02-05,NIKKEI,2.0,-1.14,TRAIL
1985-01-10,1985-02-11,SP500,3.0,21.75,TRAIL
1985-01-25,1985-02-12,NASDAQ,3.0,13.8,TRAIL
1985-01-28,1985-02-12,FTSE,3.0,1.71,TRAIL
1985-01-22,1985-02-15,DXY,2.0,5.36,TRAIL
1985-02-11,1985-02-15,SP500,2.0,1.21,TRAIL
1985-02-12,1985-02-18,FTSE,2.0,-0.68,TRAIL
1985-02-12,1985-02-22,NASDAQ,2.0,-0.28,TRAIL
1985-02-15,1985-02-27,DXY,3.0,5.58,TRAIL
1985-02-18,1985-02-28,FTSE,1.0,-0.71,TRAIL
1985-02-27,1985-03-06,DXY,3.0,4.11,TRAIL
1985-02-05,1985-03-07,NIKKEI,3.0,15.01,TRAIL
1985-02-15,1985-03-07,SP500,1.0,-1.15,TRAIL
1985-02-22,1985-03-07,NASDAQ,1.0,-1.05,TRAIL
1985-03-07,1985-03-08,NIKKEI,2.0,-1.08,TRAIL
1985-03-06,1985-03-11,DXY,3.0,-3.48,TRAIL
1985-03-07,1985-03-13,NASDAQ,1.0,-1.77,TRAIL
1985-03-07,1985-03-15,SP500,1.0,-1.66,TRAIL
1985-03-04,1985-03-18,FTSE,2.0,5.47,TRAIL
1985-03-11,1985-03-18,DXY,2.0,-0.15,TRAIL
1985-03-08,1985-03-26,NIKKEI,3.0,3.37,TRAIL
1985-03-13,1985-03-26,NASDAQ,1.0,-0.72,TRAIL
1985-03-18,1985-03-26,FTSE,1.0,-0.76,TRAIL
1985-03-26,1985-04-03,FTSE,1.0,-1.21,TRAIL
1985-03-26,1985-04-04,NIKKEI,3.0,3.39,TRAIL
1985-03-26,1985-04-04,NASDAQ,1.0,0.43,TRAIL
1985-04-04,1985-04-05,NIKKEI,2.0,-1.31,TRAIL
1985-03-15,1985-04-08,SP500,1.0,0.85,TRAIL
1985-04-05,1985-04-16,NIKKEI,1.0,-2.69,STOP:-2.7%
1985-04-17,1985-04-18,NIKKEI,1.0,-2.03,TRAIL
1985-04-04,1985-04-22,NASDAQ,2.0,3.17,TRAIL
1985-04-17,1985-04-23,FTSE,1.0,-1.46,TRAIL
1985-04-08,1985-04-29,SP500,1.0,1.46,TRAIL
1985-04-22,1985-04-30,NASDAQ,1.0,-0.43,TRAIL
1985-04-25,1985-04-30,DXY,1.0,-1.4,TRAIL
1985-05-02,1985-05-09,DXY,1.0,-1.4,TRAIL
1985-05-08,1985-05-15,NIKKEI,1.0,-1.3,TRAIL
1985-04-23,1985-05-17,FTSE,2.0,6.62,TRAIL
1985-05-09,1985-05-23,SP500,2.0,6.24,TRAIL
1985-05-09,1985-05-23,NASDAQ,2.0,6.28,TRAIL
1985-05-21,1985-05-24,FTSE,1.0,-1.52,TRAIL
1985-05-23,1985-05-30,NASDAQ,2.0,-1.57,TRAIL
1985-05-17,1985-05-31,DXY,1.0,-0.35,TRAIL
1985-05-17,1985-06-03,NIKKEI,2.0,0.86,TRAIL
1985-05-24,1985-06-07,FTSE,1.0,-0.24,TRAIL
1985-05-23,1985-06-10,SP500,2.0,2.04,TRAIL
1985-05-30,1985-06-12,NASDAQ,1.0,-0.07,TRAIL
1985-06-10,1985-06-12,SP500,2.0,-2.01,TRAIL
1985-06-12,1985-06-13,NASDAQ,1.0,-0.97,TRAIL
1985-06-05,1985-06-21,NIKKEI,1.0,-0.46,TRAIL
1985-06-12,1985-07-09,SP500,3.0,5.5,TRAIL
1985-06-13,1985-07-09,NASDAQ,3.0,10.77,TRAIL
1985-06-21,1985-07-11,NIKKEI,2.0,3.54,TRAIL
1985-07-09,1985-07-18,SP500,2.0,3.49,TRAIL
1985-07-09,1985-07-23,NASDAQ,3.0,9.08,TRAIL
1985-07-18,1985-07-23,SP500,2.0,-1.88,TRAIL
1985-07-23,1985-07-24,NASDAQ,3.0,-2.45,TRAIL
1985-07-17,1985-07-25,NIKKEI,1.0,-1.55,TRAIL
1985-07-23,1985-07-29,SP500,1.0,-1.53,TRAIL
1985-07-24,1985-07-29,NASDAQ,1.0,-0.92,TRAIL
1985-07-25,1985-07-30,NIKKEI,1.0,-2.98,STOP:-3.0%
1985-07-29,1985-08-06,SP500,1.0,-0.88,TRAIL
1985-07-29,1985-08-06,NASDAQ,1.0,-0.23,TRAIL
1985-07-30,1985-08-08,NIKKEI,1.0,0.95,TRAIL
1985-08-21,1985-09-03,NIKKEI,1.0,-0.58,TRAIL
1985-09-03,1985-09-04,NIKKEI,1.0,-0.8,TRAIL
1985-07-22,1985-09-05,FTSE,1.0,6.52,TRAIL
1985-09-05,1985-09-10,FTSE,1.0,-0.8,TRAIL
1985-09-04,1985-09-11,SP500,1.0,-1.25,TRAIL
1985-09-06,1985-09-13,DXY,1.0,-0.78,TRAIL
1985-09-11,1985-09-18,NIKKEI,1.0,-0.76,TRAIL
1985-09-12,1985-09-23,FTSE,1.0,-1.61,TRAIL
1985-09-20,1985-09-27,NIKKEI,1.0,-0.22,TRAIL
1985-09-27,1985-10-18,NIKKEI,1.0,2.64,TRAIL
1985-10-07,1985-10-22,FTSE,2.0,3.76,TRAIL
1985-10-18,1985-10-23,NIKKEI,1.0,-0.21,TRAIL
1985-10-23,1985-10-25,NIKKEI,1.0,-0.71,TRAIL
1985-10-28,1985-11-01,NIKKEI,1.0,-1.0,TRAIL
1985-10-22,1985-11-07,FTSE,2.0,8.01,TRAIL
1985-11-07,1985-11-26,FTSE,3.0,10.2,TRAIL
1985-11-26,1985-12-04,FTSE,1.0,-2.26,TRAIL
1985-12-02,1985-12-09,NIKKEI,1.0,0.01,TRAIL
1985-10-11,1985-12-18,SP500,3.0,41.56,TRAIL
1985-10-15,1985-12-18,NASDAQ,3.0,39.47,TRAIL
1985-12-09,1985-12-20,NIKKEI,1.0,1.66,TRAIL
1985-12-18,1985-12-24,SP500,1.0,-1.27,TRAIL
1985-12-18,1985-12-24,NASDAQ,3.0,-2.14,TRAIL
1985-12-20,1986-01-07,NIKKEI,1.0,-0.15,TRAIL
1985-12-20,1986-01-08,FTSE,1.0,1.28,TRAIL
1985-12-24,1986-01-08,SP500,3.0,1.2,TRAIL
1985-12-24,1986-01-08,NASDAQ,3.0,7.4,TRAIL
1986-01-08,1986-01-09,NASDAQ,2.0,-3.11,TRAIL
1986-01-08,1986-01-13,NIKKEI,1.0,-0.61,TRAIL
1986-01-09,1986-01-21,NASDAQ,3.0,5.11,TRAIL
1986-01-16,1986-01-21,NIKKEI,1.0,-1.12,TRAIL
1986-01-08,1986-01-22,SP500,2.0,-2.15,TRAIL
