date,ticker,price,mom_12m,pct_from_high,rsi,fwd_6m,year,quarter,put_return
1999-02-18,AMZN,2.237499952316284,7.821349727592006,-0.5152335818990468,31.302514206544416,0.2639665073835171,1999,1999Q1,-1.0
1999-06-14,AMZN,2.299999952316284,3.5245927935244223,-0.5621654027258133,37.072225127971414,1.319293484880478,1999,1999Q2,-1.0
1999-07-27,AMZN,2.5250000953674316,1.4131412138417359,-0.5193337292206799,39.41699487216183,0.3712871146896244,1999,1999Q3,-1.0
1999-08-04,SCHW,17.864545822143555,2.1627969722989207,-0.5081731283737666,13.61390084738484,-0.03307436222309512,1999,1999Q3,-0.7243803148075406
1999-09-28,CSGP,2.3062500953674316,2.0750001271565757,-0.5195312492238979,21.531102836401132,0.7777776629118607,1999,1999Q3,-1.0
1999-10-01,CSGP,2.262500047683716,1.9193549900471778,-0.5286458421291573,27.63157652575765,0.6298342197937892,1999,1999Q4,-1.0
1999-10-01,SCHW,15.72807788848877,1.6768608790209414,-0.5669919951168964,29.585783110143737,0.7516947068851512,1999,1999Q4,-1.0
2000-03-15,INCY,62.9375,4.56353591160221,-0.5512477718360071,19.444444444444443,-0.3634558093346574,2000,2000Q1,2.028798411122145
2000-03-16,REGN,27.099702835083008,2.6949154129166857,-0.517699072687333,27.843863360202832,0.13532111270168068,2000,2000Q1,-0.95
2000-03-20,MSTR,86.75,8.253333333333334,-0.7228434504792333,43.5326842837274,-0.6959654178674352,2000,2000Q1,4.79971181556196
2000-03-21,SRPT,75.0,3.166666666666667,-0.522673031026253,12.890625,-0.355,2000,2000Q1,1.9583333333333333
2000-04-03,INCY,41.0625,3.301145662847791,-0.7072192513368984,29.94281045751633,-0.03196347031963476,2000,2000Q2,-0.733637747336377
2000-04-03,MSTR,77.125,7.226666666666667,-0.7535942492012779,17.26961157654226,-0.646677471636953,2000,2000Q2,4.388978930307942
2000-04-03,SRPT,77.25,2.6140350877192984,-0.5083532219570406,37.80487804878049,-0.43203883495145634,2000,2000Q2,2.6003236245954695
2000-04-03,VRSN,98.17570495605469,1.8952675247113078,-0.5390316634555286,17.30731499643973,0.6452305338960278,2000,2000Q2,-1.0
2000-04-04,BB,12.75,5.762429799044311,-0.510007982460577,34.99784104171037,0.3439543480966605,2000,2000Q2,-1.0
2000-04-04,REGN,22.12727928161621,3.0,-0.606194673743286,41.88706207752404,0.3370786497483378,2000,2000Q2,-1.0
2000-04-12,NTAP,42.031375885009766,2.8678032489023124,-0.5283413669131576,20.244449501882528,1.1466380439112371,2000,2000Q2,-1.0
2000-04-12,BIIB,26.8125,2.225563909774436,-0.5304633450048315,27.255755032010413,1.0421522447279283,2000,2000Q2,-1.0
2000-04-14,CTSH,1.288275957107544,1.9138377026371263,-0.500894265349677,18.634181195617643,0.007169069372902737,2000,2000Q2,-0.8
2000-04-14,NVDA,0.13140708208084106,2.6209209193076974,-0.5390496202558112,40.15174598741311,0.8932508408383208,2000,2000Q2,-1.0
2000-04-14,FCEL,36855.0,3.846153846153846,-0.6088825214899714,8.639308855291574,3.9194139194139197,2000,2000Q2,-1.0
2000-04-14,SWKS,27.960737228393555,1.8000011842172112,-0.5316743473525498,21.254332304766166,-0.2000004911497878,2000,2000Q2,0.6666707595815651
2000-05-19,QCOM,27.623754501342773,2.556387919952558,-0.5026139652155421,33.91986193767103,-0.012614063727857117,2000,2000Q2,-0.8948828022678573
2000-05-23,KLAC,24.463346481323242,1.0411526753145934,-0.5227709503243196,27.592244631689738,-0.38440873146778154,2000,2000Q2,2.2034060955648465
2000-05-23,LRCX,2.2472116947174072,1.832589923490231,-0.5241846538253165,20.000008037899235,-0.3380612931594318,2000,2000Q2,1.817177442995265
2000-06-06,FFIV,21.03125,1.1365079365079365,-0.7301523656776263,56.28626692456479,-0.4205052005943536,2000,2000Q2,2.5042100049529465
2000-07-03,INCY,42.875,2.0625,-0.6942959001782532,52.33766233766234,-0.4737609329446064,2000,2000Q3,2.948007774538387
2000-07-03,CTSH,1.2467186450958252,1.8346441710782506,-0.5169944592772814,22.48905286495834,-0.01851880537383266,2000,2000Q3,-0.8456766218847278
2000-07-03,SRPT,58.875,1.532258064516129,-0.6252983293556086,21.686746987951807,-0.5605095541401274,2000,2000Q3,3.670912951167728
2000-07-03,BB,8.15625,1.2761629926249474,-0.6865492240740456,52.247875403741425,0.19284805940942285,2000,2000Q3,-1.0
2000-07-14,REGN,27.59694480895996,2.3893130647197003,-0.5088495193708602,55.789477877796564,0.2522523201214313,2000,2000Q3,-1.0
2000-08-17,TECH,7.714197635650635,1.6516853803667515,-0.5016888468283167,25.62438586006715,-0.298305429431423,2000,2000Q3,1.485878578595192
2000-09-12,TRMB,5.2291669845581055,1.8685711027184881,-0.5004974820720616,39.23304735031803,-0.40637447728771936,2000,2000Q3,2.3864539773976614
2000-09-28,AMD,23.625,1.749090909090909,-0.5026315789473684,31.14285714285714,0.12338628213872349,2000,2000Q3,-0.95
2000-10-02,TRMB,3.7291669845581055,1.0813951569676674,-0.6437810641616138,28.8235256102664,-0.3072627141291686,2000,2000Q4,1.5605226177430718
2000-10-02,SRPT,43.875,1.146788990825688,-0.720763723150358,33.92857142857143,-0.4871794871794872,2000,2000Q4,3.0598290598290605
2000-10-02,INCY,39.75,3.746268656716418,-0.7165775401069518,53.125,-0.6827673042345347,2000,2000Q4,4.68972753528779
2000-10-02,AMD,23.25,1.6013986013986012,-0.5105263157894737,32.634730538922156,0.018494636781754004,2000,2000Q4,-0.8
2000-10-09,CTSH,1.251335859298706,1.2122435018429627,-0.5152056514725151,32.25805712834254,0.0922517039685562,2000,2000Q4,-0.95
2000-10-11,REGN,26.975391387939453,2.7413793149058905,-0.5199114779892574,33.02753016775701,-0.052903179367927655,2000,2000Q4,-0.5591401719339362
2000-11-16,NTAP,53.987396240234375,1.4526314521643204,-0.5100925462194543,30.631943798062366,-0.6339914680629646,2000,2000Q4,4.283262233858038
2000-11-30,NVDA,0.15471579134464264,1.0736048982989446,-0.5316221764616934,28.339406662918364,1.196295777989003,2000,2000Q4,-1.0
2000-12-14,BLDP,65.8125,1.4776470588235293,-0.502127659574468,38.525564803805,-0.34723648114761396,2000,2000Q4,1.8936373428967832
2000-12-22,IONS,10.375,1.03680981595092,-0.6931608133086876,58.98876404494382,0.10361443944724202,2000,2000Q4,-0.95
2001-01-05,FCEL,101520.0,2.9166666666666665,-0.5436893203883495,38.86576482830385,-0.03702126120468874,2001,2001Q1,-0.6914894899609272
2001-01-08,VRTX,47.0,1.5797598627787308,-0.5167095115681234,25.974025974025977,-0.1274468442226978,2001,2001Q1,0.06205703518914844
2001-04-16,FCEL,108194.3984375,1.0497186404755139,-0.5136893274114527,49.937308392823525,-0.41425434816656337,2001,2001Q2,2.452119568054695
2001-09-27,KMX,4.764999866485596,1.088767064760809,-0.5120328009262312,24.70206206466014,1.781741969746808,2001,2001Q3,-1.0
2002-04-03,BKNG,27.746004104614258,1.179710107141744,-0.5257315985035091,33.12883338298657,-0.6723404998330571,2002,2002Q2,4.602837498608809
2002-04-22,FFIV,6.539999961853027,1.2708332298530514,-0.5234972837827565,11.04594491696227,-0.3792048980946491,2002,2002Q2,2.160040817455409
2003-11-11,BKNG,19.33365249633789,1.3905111602091895,-0.5024056964630185,22.11721055816541,0.18320593441341404,2003,2003Q4,-1.0
