Date,Equity,Returns,Peak,Drawdown
1980-12-19,100000.0,,100000.0,0.0
1980-12-22,100000.0,0.0,100000.0,0.0
1980-12-23,100000.0,0.0,100000.0,0.0
1980-12-24,100000.0,0.0,100000.0,0.0
1980-12-25,100000.0,0.0,100000.0,0.0
1980-12-26,100000.0,0.0,100000.0,0.0
1980-12-29,100000.0,0.0,100000.0,0.0
1980-12-30,100000.0,0.0,100000.0,0.0
1980-12-31,100000.0,0.0,100000.0,0.0
1981-01-02,100029.90033448074,0.00029900334480736923,100029.90033448074,0.0
1981-01-05,100045.22096135652,0.0001531604732640801,100045.22096135652,0.0
1981-01-06,100032.62544589306,-0.00012589822224817748,100045.22096135652,-0.00012589822224814422
1981-01-07,99893.21176350756,-0.0013936821288461632,100045.22096135652,-0.001519404888991954
1981-01-08,99886.7991355122,-6.419483248298885e-05,100045.22096135652,-0.001583502183532648
1981-01-09,99957.1674770681,0.0007044808940210867,100045.22096135652,-0.0008801368365454875
1981-01-12,99993.01804858314,0.0003586593379936165,100045.22096135652,-0.000521793167847047
1981-01-13,100067.01249233389,0.0007399961036760327,100067.01249233389,0.0
1981-01-14,100067.85773591469,8.446775413339935e-06,100067.85773591469,0.0
1981-01-15,100097.60583107187,0.000297279224620528,100097.60583107187,0.0
1981-01-16,100152.43386381229,0.0005477456956657356,100152.43386381229,0.0
1981-01-19,100207.05938419649,0.00054542379327982,100207.05938419649,0.0
1981-01-20,100078.08830674403,-0.001287045825364208,100207.05938419649,-0.0012870458253642482
1981-01-21,100022.54089893079,-0.0005550406562822019,100207.05938419649,-0.0018413721188868337
1981-01-22,100075.39786354829,0.0005284505286755614,100207.05938419649,-0.0013138946642810962
1981-01-23,100115.42224443957,0.0003999422609926029,100207.05938419649,-0.0009144778852912673
1981-01-26,100119.45310326265,4.0262116791867086e-05,100207.05938419649,-0.0008742525873147118
1981-01-27,100187.9486986883,0.0006841387293137213,100207.05938419649,-0.0001907119680552449
1981-01-28,100351.86100604781,0.0016360481424015916,100351.86100604781,0.0
1981-01-29,100532.81870619504,0.0018032321307557275,100532.81870619504,0.0
1981-01-30,100697.65140245054,0.0016395909154522936,100697.65140245054,0.0
1981-02-02,100527.82074997094,-0.0016865403523748101,100697.65140245054,-0.001686540352374825
1981-02-03,100601.99766582808,0.0007378745038313372,100697.65140245054,-0.0009499103036690869
1981-02-04,100533.59656571918,-0.00067991791113442,100697.65140245054,-0.0016291823537740227
1981-02-05,100709.13492622072,0.0017460666533180014,100709.13492622072,0.0
1981-02-06,100729.36115262637,0.0002008380512896757,100729.36115262637,0.0
1981-02-09,100698.23929370714,-0.00030896511764899603,100729.36115262637,-0.00030896511764898736
1981-02-10,100735.20968710312,0.00036714041531693553,100735.20968710312,0.0
1981-02-11,100717.30725265217,-0.00017771774642216798,100735.20968710312,-0.00017771774642212884
1981-02-12,95058.54612930295,-0.05618459505826601,100735.20968710312,-0.05635232780507075
1981-02-13,100995.24718458524,0.06245310176748253,100995.24718458524,0.0
1981-02-16,90305.6188228378,-0.10584288528162522,100995.24718458524,-0.10584288528162523
1981-02-17,100952.15070150733,0.11789445681731014,100995.24718458524,-0.00042671793256910686
1981-02-18,100939.82838980698,-0.0001220609131625805,100995.24718458524,-0.0005487267601511594
1981-02-19,100684.73979835722,-0.0025271351806213094,100995.24718458524,-0.003074475234072384
1981-02-20,100618.29686933209,-0.0006599106196052418,100995.24718458524,-0.003732356974820966
1981-02-23,100678.56699757032,0.0005989976983660217,100995.24718458524,-0.0031355949496924005
