ticker,entry_date,exit_date,entry_price,exit_price,entry_momentum,days_held,return_pct,pnl,exit_reason,year
CVNA,2018-06-05,2018-06-12,31.059999465942383,38.93000030517578,2.451111051771376,7,-25.338058514337508,-1266.9029257168754,STOP_LOSS,2018
CVNA,2018-08-10,2018-09-10,54.060001373291016,68.27999877929688,2.141197225400521,31,-26.304101081712915,-1298.5426827762587,STOP_LOSS,2018
CVNA,2018-09-10,2018-10-10,68.27999877929688,46.56999969482422,2.710869575808765,30,31.795546972176176,1548.9924754341057,PROFIT_TARGET,2018
CVNA,2018-11-08,2019-03-14,51.470001220703125,55.79999923706055,2.5109141716525314,126,-8.412663519844134,-416.3576368961482,TIME_EXIT,2018
CVNA,2019-05-09,2019-10-25,75.2300033569336,79.2300033569336,2.0128155957416856,169,-5.317027544212303,-262.0422300458673,TIME_EXIT,2019
ROKU,2019-11-27,2020-04-16,161.63999938964844,128.0,3.121366505830787,141,20.81167997814455,1022.9476297842176,TIME_EXIT,2019
TDOC,2020-03-26,2020-06-19,159.5,201.52999877929688,2.1354433526442858,85,-26.35109641335227,-1110.4928512725032,STOP_LOSS,2020
CVNA,2020-02-20,2020-07-02,108.80999755859376,128.52999877929688,2.0107913502001926,133,-18.123335780872495,-803.9547561161414,TIME_EXIT,2020
DOCU,2020-06-08,2020-07-02,146.5399932861328,190.9900054931641,2.042773956611779,24,-30.333024596390246,-1304.4468742338665,STOP_LOSS,2020
ZM,2020-06-24,2020-08-31,255.8999938964844,325.1000061035156,2.0095260210540067,68,-27.04181862349857,-1089.3943467371614,STOP_LOSS,2020
DOCU,2020-07-08,2020-09-01,206.3500061035156,268.79998779296875,2.9682693481445312,55,-30.264104600086654,-1258.541383190731,STOP_LOSS,2020
ZM,2020-08-31,2020-09-01,325.1000061035156,457.6900024414063,2.5464166313646603,1,-40.78437214660417,-1514.069357522736,STOP_LOSS,2020
PTON,2020-09-25,2020-10-09,97.7300033569336,123.0199966430664,2.793866556233946,14,-25.877409615722254,-929.6688560751284,STOP_LOSS,2020
SNAP,2020-01-16,2020-10-15,18.25,28.059999465942383,2.235815679437589,273,-53.75342173119114,-2510.0130618928997,STOP_LOSS,2020
TDOC,2020-06-19,2020-10-23,201.52999877929688,216.32000732421875,2.210610121229826,126,-7.338862022779533,-311.2105700322015,TIME_EXIT,2020
W,2020-08-24,2020-11-09,338.0,235.3300018310547,2.0679858910560944,77,30.37573910323826,1140.0233214715533,PROFIT_TARGET,2020
CVNA,2020-08-06,2020-12-10,222.9900054931641,260.4700012207031,2.850630393381517,126,-16.80792627662768,-664.0142674321695,TIME_EXIT,2020
CHWY,2020-11-30,2020-12-17,77.58000183105469,100.18000030517578,2.1332795280251986,17,-29.13121673203478,-990.3765714994827,STOP_LOSS,2020
PTON,2020-10-26,2020-12-22,118.0999984741211,161.2100067138672,4.272321450238934,57,-36.502971038727544,-1276.109145165171,STOP_LOSS,2020
DOCU,2020-09-01,2021-01-05,268.79998779296875,228.5,4.767002451685685,126,14.992555663361125,566.9693040003303,TIME_EXIT,2020
SNAP,2020-10-23,2021-01-11,43.16999816894531,54.380001068115234,2.1930470937340494,80,-25.967114604220505,-955.5638169789854,STOP_LOSS,2020
ZM,2020-09-30,2021-02-03,470.1099853515625,380.4700012207031,5.201160803206902,126,19.067874949268283,650.7787783768217,TIME_EXIT,2020
PINS,2020-11-04,2021-02-03,61.45000076293945,77.13999938964844,2.001954217108834,91,-25.53295106901225,-847.9772978279005,STOP_LOSS,2020
SNAP,2021-01-11,2021-02-23,54.380001068115234,70.44999694824219,2.1234923345618806,43,-29.551297470549915,-1024.5666185210337,STOP_LOSS,2021
PTON,2020-12-22,2021-03-03,161.2100067138672,108.08000183105467,4.517111926836663,71,32.95701424857164,1136.9455678876618,PROFIT_TARGET,2020
ZM,2021-02-16,2021-03-08,444.510009765625,310.92999267578125,3.88741093656756,20,30.05107065199183,899.5068050551453,PROFIT_TARGET,2021
W,2020-12-21,2021-04-26,283.0,308.7799987792969,2.36864650403279,126,-9.109540204698542,-320.1565640394027,TIME_EXIT,2020
CVNA,2020-12-22,2021-04-27,291.5199890136719,294.760009765625,2.061219980440614,126,-1.1114231867651356,-36.42460672784457,TIME_EXIT,2020
ROKU,2021-01-11,2021-05-17,403.1300048828125,312.42999267578125,2.139641931819829,126,22.498948505060348,741.0533507852643,TIME_EXIT,2021
PINS,2021-02-03,2021-06-09,77.13999938964844,66.12000274658203,2.4345504244912406,126,14.285710047004747,450.11421604089924,TIME_EXIT,2021
ROKU,2021-05-26,2021-06-28,348.989990234375,440.3299865722656,2.2750562896970523,33,-26.17266938703555,-985.3780094074244,STOP_LOSS,2021
SNAP,2021-02-23,2021-06-29,70.44999694824219,67.56999969482422,3.3622290162415167,126,4.0880019562439855,121.23881372744836,TIME_EXIT,2021
LCID,2021-10-28,2021-11-08,354.79998779296875,459.2000122070313,2.676683811326101,11,-29.425036078350033,-1027.807197166289,STOP_LOSS,2021
LCID,2021-11-29,2021-12-09,550.5999755859375,365.2000122070313,4.601220330542926,10,33.6723522701953,1158.8602644636233,PROFIT_TARGET,2021
ROKU,2021-06-28,2023-12-08,440.3299865722656,103.36000061035156,2.5930638564431248,893,76.52669503275166,2837.497638981305,PROFIT_TARGET,2021
CVNA,2023-12-04,2023-12-14,40.06999969482422,50.619998931884766,3.928659179678221,10,-26.32892267883714,-875.3168701277455,STOP_LOSS,2023
SNAP,2021-08-04,2023-12-19,76.9000015258789,17.18000030517578,2.534007385891949,867,77.6592978357819,2855.383888595792,PROFIT_TARGET,2021
COIN,2023-11-29,2023-12-19,127.81999969482422,161.16000366210938,2.006822035795699,20,-26.083558165299532,-912.7995963960061,STOP_LOSS,2023
AFRM,2023-12-07,2023-12-19,39.40999984741211,50.459999084472656,2.2937734513014765,12,-28.03856706380108,-885.5470279319973,STOP_LOSS,2023
UPST,2023-12-19,2024-01-12,47.310001373291016,31.950000762939453,2.0840939310753344,24,32.46670928871097,1305.0691874358727,PROFIT_TARGET,2023
COIN,2023-12-29,2024-01-24,173.9199981689453,121.33999633789062,4.34644957563397,26,30.232292079475904,1154.4893842565796,PROFIT_TARGET,2023
CVNA,2024-02-12,2024-02-23,55.27999877929688,69.2300033569336,3.625941394278257,11,-25.23517526353705,-949.6597392915927,STOP_LOSS,2024
COIN,2024-02-26,2024-03-07,193.94000244140625,242.6199951171875,2.1100064230790405,10,-25.100542468276288,-932.6746992880583,STOP_LOSS,2024
AFRM,2024-01-08,2024-04-15,45.34000015258789,31.059999465942383,3.933623745682133,98,31.495369736628557,1142.5867553362089,PROFIT_TARGET,2024
CVNA,2024-03-13,2024-05-02,79.66999816894531,116.5,9.651069246763676,50,-46.22819464982831,-1696.168589395991,STOP_LOSS,2024
COIN,2024-03-27,2024-07-31,256.70001220703125,224.3600006103516,3.104573208333582,126,12.598367767352151,439.13693913817883,TIME_EXIT,2024
CVNA,2024-05-02,2024-08-01,116.5,146.52000427246094,15.135734540915768,91,-25.768244010696083,-940.1669307010634,STOP_LOSS,2024
PLTR,2024-02-12,2024-08-15,25.049999237060547,31.21999931335449,2.150943375856013,185,-24.630739577690903,-975.6983000548801,TIME_EXIT,2024
CVNA,2024-08-06,2024-09-20,138.9499969482422,173.85000610351562,2.0578785463820277,45,-25.116955683182507,-910.3576288098734,STOP_LOSS,2024
AFRM,2024-05-06,2024-09-23,36.02000045776367,44.66999816894531,2.945235488090613,140,-24.014429764720447,-832.3692557129123,TIME_EXIT,2024
CVNA,2024-09-20,2024-10-31,173.85000610351562,247.30999755859372,2.9773509436030468,41,-42.25481097270584,-1575.35939922139,STOP_LOSS,2024
DOCU,2021-01-22,2024-11-11,255.1499938964844,81.22000122070312,2.432664975260152,1389,68.16774322414662,2026.3449602823137,PROFIT_TARGET,2021
COIN,2024-10-29,2024-11-11,219.66000366210935,324.239990234375,2.103419150190206,13,-47.60993573192104,-1661.509107130206,STOP_LOSS,2024
HOOD,2024-10-21,2024-11-18,26.96999931335449,35.0,2.00668879715518,28,-29.773826070026516,-1093.74523149094,STOP_LOSS,2024
PLTR,2024-11-08,2024-12-06,58.38999938964844,76.33999633789062,2.157923207811774,28,-30.741560431364583,-949.6828891897609,STOP_LOSS,2024
HOOD,2024-11-20,2025-01-15,36.08000183105469,45.560001373291016,3.4378845415964463,56,-26.274941965431744,-894.6976252083412,STOP_LOSS,2024
CHWY,2021-01-12,2025-01-27,104.1500015258789,38.970001220703125,2.412516381512217,1476,62.58281262624853,1958.2400856833845,PROFIT_TARGET,2021
PLTR,2024-12-09,2025-02-04,72.45999908447266,103.83000183105467,3.2078979078865766,57,-43.29285556574655,-1446.7856944757145,STOP_LOSS,2024
HOOD,2025-01-15,2025-02-13,45.560001373291016,63.79999923706055,3.134301223299284,29,-40.03511262943575,-1321.2735789261706,STOP_LOSS,2025
CVNA,2024-10-31,2025-03-06,247.30999755859372,186.8500061035156,8.159629539207176,126,24.447047046997643,836.8197134575853,TIME_EXIT,2024
UPST,2024-11-08,2025-03-06,81.0,55.47999954223633,2.788587613634671,118,31.50617340464651,1024.530185688264,PROFIT_TARGET,2024
HOOD,2025-02-14,2025-03-06,65.27999877929688,44.84000015258789,4.513513339358235,20,31.311272991615613,1067.4392583071938,PROFIT_TARGET,2025
PLTR,2025-02-04,2025-05-14,103.83000183105467,130.17999267578125,5.358236516604387,99,-25.378012501243663,-884.2689496996555,STOP_LOSS,2025
CVNA,2025-04-25,2025-05-14,237.1499938964844,305.5199890136719,2.136074917786265,19,-28.829853205491062,-1121.2800916349247,STOP_LOSS,2025
HOOD,2025-05-08,2025-06-02,54.06999969482422,67.9800033569336,2.041057233222493,25,-25.725917774401047,-950.5307318831534,STOP_LOSS,2025
HOOD,2025-06-09,2025-06-30,73.4000015258789,93.62999725341795,2.4028744814257665,21,-27.561301508156628,-977.6858127408004,STOP_LOSS,2025
PLTR,2025-05-14,2025-08-05,130.17999267578125,173.27000427246094,5.319417003160921,83,-33.100333400691746,-1250.6968655500893,STOP_LOSS,2025
SOFI,2025-07-08,2025-08-22,19.950000762939453,25.020000457763672,2.059816076886628,45,-25.413531333004318,-844.6207212829144,STOP_LOSS,2025
HOOD,2025-07-09,2025-09-09,94.54000091552734,118.5,3.168430319374928,62,-25.34376861904329,-800.1870443751288,STOP_LOSS,2025
CVNA,2025-05-30,2025-10-03,327.1600036621094,375.7200012207031,2.1280238561743463,126,-14.842889416502905,-532.7969749426112,TIME_EXIT,2025
HOOD,2025-09-09,2025-10-03,118.5,148.6699981689453,5.024402620252901,24,-25.459914066620513,-742.3182500082604,STOP_LOSS,2025
