date,ticker,price,trailing_12m,trailing_6m,fwd_1m,fwd_3m,fwd_6m,fwd_12m,max_dd_3m,max_dd_6m,rsi,above_50sma,above_200sma,pct_above_200sma
2020-09-25 00:00:00-04:00,PTON,97.7300033569336,2.793866556233946,2.76173999533955,0.20843133549061044,0.6649953507768782,0.07459319590431202,-0.0579146983290042,-0.00839046011110203,-0.00839046011110203,65.4611215564953,True,True,1.132887030521823
2020-09-28 00:00:00-04:00,PTON,96.91000366210938,2.839540591953664,2.4985559925242953,0.250128954161283,0.5703228451665179,0.10587136641340855,-0.09400474941797432,0.0,0.0,61.05571991853032,True,True,1.1001226842570873
2020-09-29 00:00:00-04:00,PTON,100.47000122070312,3.0027888324207312,2.7841809456800024,0.2154872226817257,0.4939783445785966,0.1191400525059072,-0.14999501853015662,-0.012242493699503766,-0.012242493699503766,59.4627597471153,True,True,1.1609693348213765
2020-09-30 00:00:00-04:00,PTON,99.23999786376953,3.408707101496959,2.5493562629936424,0.1679766843730024,0.5614672516074275,0.12948406641202048,-0.12283348523188586,0.0,0.0,62.236414280335524,True,True,1.1190830754542396
2020-10-01 00:00:00-04:00,PTON,105.19999694824219,3.654867043033245,2.934180921791501,0.04762359583237785,0.442205376634645,0.03697718158264096,-0.17576044106604405,-0.04933455287612953,-0.04933455287612953,71.50405233886593,True,True,1.2287721807176428
2020-10-02 00:00:00-04:00,PTON,107.51000213623047,3.8145993060257615,2.7394783351732337,0.055157661495175425,0.35764118513285026,0.07320244591954417,-0.234024771297354,-0.06976095108338323,-0.06976095108338323,75.7679733976661,True,True,1.259858551797148
2020-10-05 00:00:00-04:00,PTON,110.73999786376953,3.8126899940126995,2.9034189139192814,0.008668946207256,0.34124978909622117,0.040274509395957114,-0.25446993722938605,-0.09689358799463696,-0.09689358799463696,75.66469146959216,True,True,1.3086211705228772
2020-10-06 00:00:00-04:00,PTON,111.30999755859375,3.734580879410216,3.0358954991482285,0.0654927776068801,0.29152814356284984,0.11059208928208153,-0.2475069268406095,-0.10151824337625151,-0.10151824337625151,80.56618260583465,True,True,1.301461188022234
2020-10-07 00:00:00-04:00,PTON,116.95999908447266,4.039207397587455,3.253090875799006,0.08267782356907594,0.3166894767909132,0.014021882716192424,-0.24982901376050293,-0.14492131567135444,-0.14492131567135444,81.74728597630497,True,True,1.3967323474565227
2020-10-08 00:00:00-04:00,PTON,115.0,3.791666666666667,3.042179153464395,0.09095651377802305,0.38156525985054346,0.03452174974524458,-0.251217385996943,-0.13034780751103942,-0.13034780751103942,76.64278545376715,True,True,1.3360368767466246
2020-10-09 00:00:00-04:00,PTON,123.0199966430664,4.316335345198789,2.845576665309442,-0.18704271772659664,0.23833523406681656,-0.005364949201143054,-0.3101121357300457,-0.18704271772659664,-0.18704271772659664,77.9960160647142,True,True,1.4752502013733637
2020-10-12 00:00:00-04:00,PTON,127.30000305175781,4.68557420821603,2.9930993225501923,-0.17352712834031725,0.22576582517983024,-0.07462686388261497,-0.3193244348105111,-0.21437549301889441,-0.21437549301889441,80.32061158846551,True,True,1.5357796056103123
2020-10-13 00:00:00-04:00,PTON,130.97000122070312,5.100139981804231,2.677899437682995,-0.18905094224215768,0.27830798357265607,-0.08452317012786537,-0.3379399994174701,-0.23639000378644454,-0.23639000378644454,81.29596258150323,True,True,1.5821461153730612
2020-10-14 00:00:00-04:00,PTON,131.44000244140625,4.606312823728605,2.61595620244615,-0.17285454046481263,0.2572276090276677,-0.11587038248666248,-0.34685029762996555,-0.23912050914018165,-0.23912050914018165,92.12180468573645,True,True,1.5651772437624416
2020-10-15 00:00:00-04:00,PTON,136.42999267578125,4.9240116633992725,3.0737529363428546,-0.26123282030037553,0.1567104451410546,-0.21021765165624362,-0.37616356241687243,-0.2669500292805922,-0.2669500292805922,91.41694630502592,True,True,1.6347869521388412
2020-10-16 00:00:00-04:00,PTON,131.3300018310547,4.504191050778,3.2269070846798957,-0.22409198122935436,0.14322696486969733,-0.1890657236340898,-0.33259727172901843,-0.23848320458500288,-0.23848320458500288,83.74510634032795,True,True,1.5116553882797912
2020-10-19 00:00:00-04:00,PTON,133.00999450683594,4.655186731211603,3.23733663883724,-0.22945641608531797,0.17126531629264985,-0.24870307170759287,-0.3369670995898447,-0.24810159937950724,-0.2487030717075929,83.12297091727044,True,True,1.5191155692902383
2020-10-20 00:00:00-04:00,PTON,131.92999267578125,4.926774093407471,3.231237696745028,-0.20798905734381168,0.1985902650007565,-0.23072839006986223,-0.31289315122868366,-0.24194642849707684,-0.24255282458209212,83.37758758033108,True,True,1.474715537022798
