Date,Equity,Num_Positions,Gross_Leverage
2018-11-14,1.0,0,0.0
2018-11-15,1.0,0,0.0
2018-11-16,1.0,0,0.0
2018-11-19,1.0,0,0.0
2018-11-20,1.0,0,0.0
2018-11-21,0.9948200509139362,2,1.0
2018-11-23,0.9968795594943928,2,1.0
2018-11-26,0.9729071341872045,2,1.0
2018-11-27,0.968309145334036,2,1.0
2018-11-28,1.0169406562483099,2,1.0
2018-11-29,1.0114478321654492,3,1.0
2018-11-30,1.015508117714949,3,1.0
2018-12-03,0.9966054232086072,3,1.0
2018-12-04,1.0086540111399513,3,1.0
2018-12-06,1.0003996266521444,3,1.0
2018-12-07,1.0091980149373827,4,1.0
2018-12-10,1.0118445294627714,4,1.0
2018-12-11,1.003802864108859,4,1.0
2018-12-12,0.9861901887224077,4,1.0
2018-12-13,0.987234929032982,4,1.0
2018-12-14,0.9695751264594785,4,1.0
2018-12-17,0.9549635923708407,4,1.0
2018-12-18,0.9737704227511251,4,1.0
2018-12-19,0.9731803049713326,4,1.0
2018-12-20,0.9697941066125424,4,1.0
2018-12-21,0.9727731376526831,4,1.0
2018-12-24,0.9659570783205598,4,1.0
2018-12-26,0.9545562710041735,4,1.0
2018-12-27,0.9595018421570806,4,1.0
2018-12-28,0.9500295343123852,4,1.0
2018-12-31,0.9542554233415291,6,1.0
2019-01-02,0.9553518910220357,6,1.0
2019-01-03,0.96022132248542,6,1.0
2019-01-04,0.9521853873789105,6,1.0
2019-01-07,0.9543027390573582,6,1.0
2019-01-08,0.9563547751280833,6,1.0
2019-01-09,0.9575405289432591,6,1.0
2019-01-10,0.951759972458362,6,1.0
2019-01-11,0.9547536404515625,6,1.0
2019-01-14,0.9546660574399911,6,1.0
2019-01-15,0.9524731977869823,6,1.0
2019-01-16,0.9516753246036542,6,1.0
2019-01-17,0.9477225695131097,6,1.0
2019-01-18,0.9470096048519286,6,1.0
2019-01-22,0.9375313577033916,6,1.0
2019-01-23,0.9346066766455167,6,1.0
2019-01-24,0.9416702708349263,6,1.0
2019-01-25,0.9385881450246912,6,1.0
2019-01-28,0.9330051303026287,6,1.0
2019-01-29,0.9346613176358052,6,1.0
2019-01-30,0.9361563499525566,6,1.0
2019-01-31,0.9392266792837146,6,1.0
2019-02-01,0.9351499846637105,6,1.0
2019-02-04,0.9351193303813246,6,1.0
2019-02-05,0.9366204225850643,6,1.0
2019-02-06,0.9350023425580055,6,1.0
2019-02-07,0.9370016965827904,6,1.0
2019-02-08,0.9386620252472161,6,1.0
2019-02-11,0.9348108076441421,6,1.0
2019-02-12,0.9347295811581731,6,1.0
2019-02-13,0.9318717055091553,6,1.0
2019-02-14,0.9335525381679405,6,1.0
2019-02-15,0.9435185488343137,6,1.0
2019-02-19,0.9497358168354265,6,1.0
2019-02-20,0.9508532822513589,6,1.0
2019-02-21,0.9442531722617887,6,1.0
2019-02-22,0.9497756708071626,6,1.0
2019-02-25,0.9480766980639791,6,1.0
2019-02-26,0.9494877959975228,6,1.0
2019-02-27,0.9451558832840229,6,1.0
2019-02-28,0.940980295966816,6,1.0
2019-03-01,0.9310716167849901,6,1.0
2019-03-04,0.9316542626481863,6,1.0
2019-03-05,0.9345217459363332,6,1.0
2019-03-06,0.9341607412677203,6,1.0
2019-03-07,0.9352228281702741,6,1.0
2019-03-08,0.9361644672977381,6,1.0
2019-03-11,0.937153796126732,6,1.0
2019-03-12,0.9412031339205769,6,1.0
2019-03-13,0.9422557168276904,6,1.0
2019-03-14,0.9365761294801087,6,1.0
2019-03-15,0.9420697139363822,6,1.0
2019-03-18,0.9429752580273247,6,1.0
2019-03-19,0.943868327915462,6,1.0
2019-03-20,0.9484679858656638,6,1.0
2019-03-21,0.9489346396248937,6,1.0
2019-03-22,0.9456984210900441,6,1.0
2019-03-25,0.9486353004729295,6,1.0
2019-03-26,0.9475395264138855,6,1.0
2019-03-27,0.94615170175355,6,1.0
2019-03-28,0.9463267550975923,6,1.0
2019-03-29,0.9510613662581198,6,1.0
2019-04-01,0.9509028231403718,6,1.0
2019-04-02,0.9517783025625322,6,1.0
2019-04-03,0.9527546496793008,6,1.0
2019-04-04,0.9552643526434983,6,1.0
2019-04-05,0.9593403688620276,6,1.0
2019-04-08,0.9638257365525963,6,1.0
2019-04-09,0.9618763228427393,6,1.0
2019-04-10,0.9652434253491348,6,1.0
2019-04-11,0.9597707460477629,6,1.0
2019-04-12,0.9598683683144539,6,1.0
2019-04-15,0.9593828015460163,6,1.0
2019-04-16,0.9586275825561495,6,1.0
2019-04-17,0.9575089393745533,6,1.0
2019-04-18,0.9592774282754963,6,1.0
2019-04-22,0.9630525265791455,6,1.0
2019-04-23,0.9712098563666282,6,1.0
2019-04-24,0.9709714234170789,6,1.0
2019-04-25,0.9685216769776935,6,1.0
2019-04-26,0.9667107051111419,6,1.0
2019-04-29,0.9684100692721699,6,1.0
2019-04-30,0.96837001998311,6,1.0
2019-05-01,0.9648505942077359,6,1.0
2019-05-02,0.9584661216180038,6,1.0
2019-05-03,0.9669184804911523,6,1.0
2019-05-06,0.968809363740872,6,1.0
2019-05-07,0.9573589268816806,6,1.0
2019-05-08,0.9569698225096248,6,1.0
2019-05-09,0.9551342681799262,6,1.0
2019-05-10,0.9567773954451259,6,1.0
2019-05-13,0.940965085806275,6,1.0
2019-05-14,0.9486426822805755,6,1.0
2019-05-15,0.9541101481776084,6,1.0
2019-05-16,0.9603683983392282,6,1.0
2019-05-17,0.9577637399503806,6,1.0
2019-05-20,0.9541480150457634,6,1.0
2019-05-21,0.9568107876544799,6,1.0
2019-05-22,0.952388913971671,6,1.0
2019-05-23,0.942373147586519,6,1.0
2019-05-24,0.9448368407927722,6,1.0
2019-05-28,0.9445524134517737,6,1.0
2019-05-29,0.9419909450962783,6,1.0
2019-05-30,0.9448745499796246,6,1.0
2019-05-31,0.9405206012020317,6,1.0
2019-06-03,0.939411142522178,6,1.0
2019-06-04,0.9383350933293908,6,1.0
2019-06-05,0.9368887261017128,6,1.0
2019-06-06,0.9416719549150422,6,1.0
2019-06-07,0.9457735151782318,6,1.0
2019-06-10,0.9509256882949648,6,1.0
2019-06-11,0.9526101162005178,6,1.0
2019-06-12,0.9529583886848438,6,1.0
2019-06-13,0.9535094716827426,6,1.0
2019-06-14,0.9532367193723154,6,1.0
2019-06-17,0.9540338097619944,6,1.0
2019-06-18,0.9600773253397151,6,1.0
2019-06-19,0.9628661521880665,6,1.0
2019-06-20,0.9608260040156703,6,1.0
2019-06-21,0.9605744671148075,6,1.0
2019-06-24,0.9635802492164881,6,1.0
2019-06-25,0.9592328229776383,6,1.0
2019-06-26,0.9568128204679449,6,1.0
2019-06-27,0.9577019808846958,6,1.0
2019-06-28,0.9579841414319717,6,1.0
2019-07-01,0.9629239181019775,6,1.0
2019-07-02,0.9670951709156307,6,1.0
2019-07-03,0.9693406610506392,6,1.0
2019-07-05,0.965363320841181,6,1.0
2019-07-08,0.9705097168974753,6,1.0
2019-07-09,0.9678532261173965,6,1.0
2019-07-10,0.968051025027612,6,1.0
2019-07-11,0.9637223902069163,6,1.0
2019-07-12,0.9658913929626224,6,1.0
2019-07-15,0.962452369331858,6,1.0
2019-07-16,0.9602920434557634,6,1.0
2019-07-17,0.9622279042778517,6,1.0
2019-07-18,0.9679926137764525,6,1.0
2019-07-19,0.963708203933193,6,1.0
2019-07-22,0.9698456032572057,6,1.0
2019-07-23,0.9673568890432007,6,1.0
2019-07-24,0.9691752438199974,6,1.0
2019-07-25,0.9633975443779356,6,1.0
2019-07-26,0.9627690465261597,6,1.0
2019-07-29,0.9625585604976863,6,1.0
2019-07-30,0.9624725633487976,6,1.0
2019-07-31,0.9590613123344296,6,1.0
2019-08-01,0.9652235867209964,6,1.0
2019-08-02,0.9624884246202569,6,1.0
2019-08-05,0.9576134443011662,6,1.0
2019-08-06,0.9633821656095194,6,1.0
2019-08-07,0.9720116603145029,6,1.0
2019-08-08,0.9756781608876555,6,1.0
2019-08-09,0.9732763706047336,6,1.0
2019-08-12,0.9780803553501691,6,1.0
2019-08-13,0.9781252250604994,6,1.0
2019-08-14,0.9817059401161397,6,1.0
2019-08-15,0.9867189620278055,6,1.0
2019-08-16,0.9853440410595442,6,1.0
2019-08-19,0.9802842372348285,6,1.0
2019-08-20,0.985041771053137,6,1.0
2019-08-21,0.9845147774769054,6,1.0
2019-08-22,0.981654853379556,6,1.0
2019-08-23,0.9874190811540163,6,1.0
2019-08-26,0.9910174089831525,6,1.0
2019-08-27,1.0027929644588915,5,1.0
2019-08-28,1.0046569670345231,5,1.0
2019-08-29,1.0014256456136823,5,1.0
2019-08-30,1.00270534044257,5,1.0
2019-09-03,1.0152960097933634,5,1.0
2019-09-04,1.0219813032129046,6,1.0
2019-09-05,1.0070530059454053,6,1.0
2019-09-06,1.0019069737539226,6,1.0
2019-09-09,0.9966623836142009,6,1.0
2019-09-10,0.9914653836463191,6,1.0
2019-09-11,0.9946610296518329,6,1.0
2019-09-12,0.993331803544974,6,1.0
2019-09-13,0.9805848054213937,6,1.0
2019-09-16,0.989279700899621,6,1.0
2019-09-17,0.9917937318593244,6,1.0
2019-09-18,0.9891938873348551,6,1.0
2019-09-19,0.9907492305526021,6,1.0
