Date,Open,High,Low,Close,Volume
2005-01-03,824.6074069217534,825.964146469712,813.3467533224672,816.0601806640625,557480000
2005-01-04,817.1450242563413,817.6877197459196,803.4422995473803,806.0878753662109,691676000
2005-01-05,805.4774675590959,808.937087203118,800.4576628089553,800.5255126953125,656673000
2005-01-06,803.4427575086726,808.2590662768149,802.2217178382759,804.595947265625,478147000
2005-01-07,807.0377268688919,808.8014616831434,801.3395266052721,803.4424591064453,558477000
2005-01-10,802.7638982259474,810.3614797596058,802.7638982259474,807.2410583496094,565633000
2005-01-11,804.7995005752177,805.4778444933311,800.3901874759957,801.6790771484375,630997000
2005-01-12,803.1715323568461,806.156256198385,797.201981165113,804.3247222900391,727205000
2005-01-13,804.7994392680283,805.4099849758472,797.0662053311187,797.8802490234375,555375000
2005-01-14,800.254343159625,804.0531095730036,798.8298057546081,802.0858764648438,420325000
2005-01-18,800.7969958866181,811.4471526562619,800.1186004169414,810.4296112060547,573917000
2005-01-19,810.158073010504,810.7685666845989,801.8821470663552,801.9499969482422,543789000
2005-01-20,799.7117698919226,801.8146513706629,795.6416550038402,797.0661926269531,720493000
2005-01-21,799.0331677158758,800.4577048784483,791.2999364023096,792.1817779541016,631604000
2005-01-24,794.2847092864693,795.9805943623268,789.4006037416168,790.6216430664062,584419000
2005-01-25,793.0638860286031,796.8626528242014,791.7749965425326,792.8603363037109,682450000
2005-01-26,795.845021430744,797.7444046142571,793.9456382472309,795.2345275878906,571951000
2005-01-27,794.9630751085176,798.7618409755594,793.5385379083771,796.5911102294922,558788000
2005-01-28,796.99810607116,797.4051536671311,791.028609458051,796.5911102294922,607389000
2005-01-31,800.1185323761606,802.1536151035148,798.4904972468596,801.5431213378906,525327000
2005-02-01,802.1535458750454,807.7838960810776,801.1360045991855,806.6307067871094,498412000
2005-02-02,807.6481863218025,811.2434539316581,806.5628469274587,809.0727233886719,524689000
2005-02-03,807.648482389224,808.3268779829607,804.3245613480475,806.9701385498047,488371000
2005-02-04,807.2414716944901,816.9419385085546,807.1058236308106,815.5852508544922,500246000
