Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1998-12-22,5.774113178253174,5.805135946311647,5.754723474846754,5.785746242905227,30400
1998-12-23,5.89432430267334,5.89432430267334,5.7857446444662,5.793500334338138,135600
1998-12-24,5.8633012771606445,5.909835414280967,5.855545587640591,5.909835414280967,24600
1998-12-28,5.832277297973633,5.8943228011435655,5.793498858492425,5.8943228011435655,27000
1998-12-29,5.890446662902832,5.890446662902832,5.793500070548037,5.847789897179678,44000
1998-12-30,5.801257133483887,5.8865697383880615,5.797379761176257,5.8865697383880615,43600
1998-12-31,5.79349946975708,5.79349946975708,5.762476714898943,5.79349946975708,26000
1999-01-04,5.789621353149414,5.894322663941929,5.777987348206233,5.777987348206233,57200
1999-01-05,5.758599281311035,5.8245221612982725,5.750843592680811,5.8245221612982725,85400
1999-01-06,5.948611736297607,5.956367423046365,5.7857423145736835,5.824520748317474,112800
1999-01-07,5.921469211578369,5.952491968556541,5.851668008377481,5.948613650564565,145200
1999-01-08,5.948611736297607,6.095969784524015,5.8012536880712,5.956367423046365,842200
1999-01-11,5.836158275604248,5.902081179402506,5.816768573655557,5.894325487970965,70000
1999-01-12,5.74696683883667,5.855546509206054,5.7392111480959995,5.832279436984043,178400
1999-01-13,5.661656379699707,5.754724703749566,5.630633605016421,5.646144992358064,84800
1999-01-14,5.55307149887085,5.677162482085841,5.55307149887085,5.646139736282093,140000
1999-01-15,5.638387680053711,5.646143371498076,5.572464776146443,5.599609222831883,21400
1999-01-19,5.638387680053711,5.661654754386807,5.5918535313875175,5.661654754386807,25600
1999-01-20,5.591852188110352,5.661653394341965,5.587974816689432,5.607363567272932,31600
1999-01-21,5.638387680053711,5.6849218287199035,5.584097839943152,5.5918535313875175,47800
1999-01-22,5.607361316680908,5.661651121959976,5.59960563021247,5.6461397490231,38600
1999-01-25,5.599608898162842,5.6306316621415835,5.553074752194729,5.6306316621415835,36400
1999-01-26,5.545319080352783,5.607364608524563,5.4987849342239485,5.607364608524563,51400
1999-01-27,5.444493770599365,5.553073418446076,5.428982392335549,5.553073418446076,74200
1999-01-28,5.41347074508667,5.4600048775659245,5.3669366126074145,5.4600048775659245,61600
1999-01-29,5.41347074508667,5.41347074508667,5.32040248012816,5.382447990100499,37200
