Price,Close,High,Low,Open,Volume
Ticker,XLV,XLV,XLV,XLV,XLV
Date,,,,,
1998-12-22,16.858890533447266,16.87993783748403,16.711559405189924,16.711559405189924,5700
1998-12-23,17.237743377685547,17.237743377685547,16.964128403436572,16.964128403436572,18100
1998-12-24,17.342985153198242,17.342985153198242,17.185130312604812,17.258795904881747,4900
1998-12-28,17.090402603149414,17.342970129304334,17.090402603149414,17.290351894688726,15500
1998-12-29,17.469253540039062,17.469253540039062,17.090402258447853,17.090402258447853,5300
1998-12-30,17.321931838989258,17.532404886850607,17.321931838989258,17.511357582064473,17300
1998-12-31,17.511356353759766,17.511356353759766,17.342977927281307,17.38507253390092,6600
1999-01-04,17.469253540039062,17.763915647943335,17.36401707293039,17.679726474256398,249200
1999-01-05,17.74288558959961,17.74288558959961,17.51136513706628,17.51136513706628,4400
1999-01-06,18.037532806396484,18.037532806396484,17.827059844828263,17.86915443714191,38500
1999-01-07,17.953351974487305,17.97439928043629,17.74287891499742,17.86916275069135,15900
1999-01-08,18.174346923828125,18.174346923828125,17.99544484061731,17.99544484061731,24400
1999-01-11,18.216442108154297,18.35324958788047,18.058587323854866,18.163823846721154,7700
1999-01-12,18.14278221130371,18.353255322803754,18.121734900153708,18.26906607820374,270700
1999-01-13,17.974395751953125,18.100679562856776,17.36402399925214,17.36402399925214,7100
1999-01-14,17.82706642150879,18.09015772052751,17.763924509744292,18.037539460723767,12200
1999-01-15,18.069114685058594,18.12173295729231,17.890212559463954,17.890212559463954,7700
1999-01-19,18.584768295288086,18.626862900713427,18.269058754598028,18.37429526816138,22700
1999-01-20,18.69000244140625,18.942570041965794,18.584765941173107,18.69000244140625,25800
1999-01-21,18.037532806396484,18.647904394944323,17.99543821408284,18.647904394944323,23200
1999-01-22,17.963871002197266,18.100678455641063,17.784968947693834,17.911252750872727,67100
1999-01-25,18.111209869384766,18.1217335241607,17.974402357297606,17.974402357297606,495300
1999-01-26,18.195390701293945,18.205914351207937,17.9638704031861,18.14277245172398,187400
1999-01-27,18.016490936279297,18.248011263731485,18.016490936279297,18.248011263731485,6800
1999-01-28,18.35325050354004,18.416392420410016,18.184872058553434,18.184872058553434,25800
1999-01-29,18.35325050354004,18.374297809163366,18.121730141683457,18.374297809163366,13800
1999-02-01,18.458484649658203,18.5005792554727,18.2901062264002,18.43743734675095,34000
1999-02-02,18.18486785888672,18.21643881003062,17.932300249735516,18.16382055812412,141700
1999-02-03,18.53214454650879,18.53214454650879,18.14276956171559,18.14276956171559,38900
1999-02-04,18.39533805847168,18.479527248670635,18.269054273173246,18.41638535602142,7400
1999-02-05,18.18486785888672,18.395340866512722,18.05858405431112,18.395340866512722,16900
1999-02-08,18.174346923828125,18.26905979141032,18.100681360153082,18.26905979141032,6500
1999-02-09,17.848106384277344,18.248004994302427,17.848106384277344,18.226957699037946,220800
1999-02-10,17.890201568603516,17.890201568603516,17.63763401704676,17.721823200899014,17800
1999-02-11,18.374298095703125,18.374298095703125,17.76392622310818,17.827068140962826,5300
1999-02-12,18.100685119628906,18.26906358585801,17.995448578235713,18.26906358585801,8400
1999-02-16,18.26906394958496,18.39534780177103,18.184874714794248,18.184874714794248,18500
1999-02-17,18.079631805419922,18.35324672214921,18.05858450413305,18.226962914428,12900
1999-02-18,18.311153411865234,18.321677063251364,18.02701482443974,18.14277498968716,11500
1999-02-19,18.363767623901367,18.437433167378334,18.311149378560675,18.311149378560675,13900
1999-02-22,18.753145217895508,18.7636688684106,18.39534110038235,18.43743570244272,17800
1999-02-23,18.721576690673828,18.795242253818692,18.521627304994905,18.795242253818692,15000
1999-02-24,18.50058364868164,18.847864229117643,18.50058364868164,18.774198651449403,28000
1999-02-25,18.321670532226562,18.416383360939967,18.100673931895283,18.416383360939967,98900
1999-02-26,18.374298095703125,18.426916360582002,18.11120677130875,18.395345401654676,10800
1999-03-01,18.342714309692383,18.35323795530896,18.12171775174428,18.332190664075807,8800
1999-03-02,18.33220672607422,18.61634540667353,18.21644652286709,18.45849058411836,11500
1999-03-03,18.216442108154297,18.395344197026986,18.18487115129441,18.395344197026986,13100
1999-03-04,18.542675018310547,18.542675018310547,18.34272562821526,18.479533105648876,10400
1999-03-05,18.963621139526367,19.00571574804918,18.753148096912312,18.81629000969653,25400
1999-03-08,18.984676361083984,18.984676361083984,18.816297856772817,18.921534421967298,62700
1999-03-09,18.837345123291016,19.02677094017327,18.732108558356426,18.753155871343345,12200
1999-03-10,19.00571632385254,19.00571632385254,18.711054055265677,18.816290579760985,10700
1999-03-11,19.131999969482422,19.23723649296692,19.00571614130102,19.00571614130102,23600
1999-03-12,19.026765823364258,19.300380818611753,19.026765823364258,19.21619158930483,24600
1999-03-15,19.089902877807617,19.226710340548244,19.00571366996723,19.153044783687907,144800
1999-03-16,19.047809600830078,19.153046117961736,19.01623864569058,19.153046117961736,9100
1999-03-17,18.94257164001465,19.100426403681436,18.868906083636812,18.984666243659124,2700
1999-03-18,19.205656051635742,19.205656051635742,18.8373284013304,18.8373284013304,9500
1999-03-19,19.121477127075195,19.300379224576723,19.04781155751574,19.216190002223062,6900
1999-03-22,19.0688533782959,19.258279074106785,19.047806078761354,19.0688533782959,40900
1999-03-23,18.542675018310547,19.026763015383356,18.479533105648876,19.026763015383356,15400
1999-03-24,18.626859664916992,18.626859664916992,18.416386674352957,18.500575870578572,12800
1999-03-25,18.94257164001465,18.94257164001465,18.690004018147786,18.79524052725898,9700
1999-03-26,18.795238494873047,18.879427693058368,18.753143895780386,18.805762144646213,6600
1999-03-29,19.026765823364258,19.07938409168108,18.816292750096952,18.816292750096952,8100
1999-03-30,18.963621139526367,19.100428617225504,18.921526531003558,19.00571574804918,37300
1999-03-31,18.858373641967773,19.02675197805677,18.858373641967773,19.02675197805677,6300
1999-04-01,18.858373641967773,18.910991871995584,18.6268534298454,18.858373641967773,22500
1999-04-05,19.279333114624023,19.363522342198802,19.153049273261857,19.153049273261857,12400
1999-04-06,19.30037498474121,19.44770609149496,19.23723308184675,19.363516887635676,14500
1999-04-07,19.668712615966797,19.76342551780933,19.426668533480314,19.426668533480314,15700
