Price,Close,High,Low,Open,Volume
Ticker,XLF,XLF,XLF,XLF,XLF
Date,,,,,
1998-12-22,11.220834732055664,11.288520994528811,11.168190363518663,11.288520994528811,55887
1998-12-23,11.38629150390625,11.38629150390625,11.175712870248638,11.175712870248638,78784
1998-12-24,11.46150016784668,11.46150016784668,11.3486904427243,11.386294061138482,43824
1998-12-28,11.311087608337402,11.453978867674792,11.281003810430418,11.453978867674792,51948
1998-12-29,11.431419372558594,11.431419372558592,11.190756877131456,11.326129460176706,100819
1998-12-30,11.38629150390625,11.446456827808424,11.311085414088486,11.37124960787075,154614
1998-12-31,11.281006813049316,11.401337516224656,11.281006813049316,11.386296743387954,65366
1999-01-04,11.281006813049316,11.469023819290891,11.145635337037277,11.145635337037277,250632
1999-01-05,11.38629150390625,11.401332269821836,11.235878194150812,11.235878194150812,47763
1999-01-06,11.747283935546875,11.76232583220753,11.521664526596734,11.596870619540127,129871
1999-01-07,11.92778205871582,11.92778205871582,11.596872704021628,11.62695537263019,89986
1999-01-08,12.002985000610352,12.063151452084856,11.875134540321639,12.063151452084856,173694
1999-01-11,11.822497367858887,12.018034216304839,11.709686474014877,12.018034216304839,62904
1999-01-12,11.491581916809082,11.762327043625598,11.491581916809082,11.762327043625598,117437
1999-01-13,11.341167449951172,11.491580766391374,10.935052060622604,10.935052060622604,359206
1999-01-14,11.055386543273926,11.393816905023995,10.950096620234198,11.311089834855865,59950
1999-01-15,11.371252059936523,11.371252059936523,11.15315356135091,11.205797948587426,96757
1999-01-19,11.311087608337402,11.551747820512098,11.160673139283004,11.551747820512098,54903
1999-01-20,11.393814086914062,11.574310084521409,11.326127805281288,11.431417702278944,76445
1999-01-21,11.190763473510742,11.348697870117654,11.160680785115183,11.296053447955652,438482
1999-01-22,11.115548133850098,11.190754227642818,11.05538280676793,11.130588900560653,109928
1999-01-25,11.205798149108887,11.220838918536971,11.040342904678905,11.175715480132544,169632
1999-01-26,11.213319778442383,11.273486256225311,11.13059270793644,11.250923403261579,118053
1999-01-27,11.070425033569336,11.281003706130376,11.070425033569336,11.281003706130376,56872
1999-01-28,11.235876083374023,11.250916846464046,11.040338252365824,11.040338252365824,47270
1999-01-29,11.476541519165039,11.491582287740298,11.14563217918813,11.303566464888956,72998
1999-02-01,11.281006813049316,11.521669349520426,11.281006813049316,11.521669349520426,59827
1999-02-02,11.160672187805176,11.250920183471846,11.047862475751844,11.190754853027398,107220
1999-02-03,11.243401527404785,11.326129721225962,11.017782057289518,11.10050912099043,69675
1999-02-04,10.980172157287598,11.22083339053535,10.980172157287598,11.160668082223413,48625
1999-02-05,10.889925956726074,11.010256592818525,10.814719874228196,10.957612222058028,103035
1999-02-08,10.859842300415039,10.980172925457211,10.784636224823531,10.965132162386789,137749
1999-02-09,10.709429740905762,10.889925690634072,10.634223660245521,10.85984303234602,264050
1999-02-10,10.799676895141602,10.799676895141602,10.619180959128524,10.739511583137242,31883
1999-02-11,11.235876083374023,11.250916846464046,10.844801551477326,10.844801551477326,81000
1999-02-12,11.070425033569336,11.235880269927357,10.950094363534456,11.175714934909918,106974
1999-02-16,11.235876083374023,11.311083289183237,11.160668877564808,11.183231717379392,463102
1999-02-17,11.281006813049316,11.506627446563293,11.17571801283111,11.281006813049316,501140
1999-02-18,11.393814086914062,11.46149923842676,11.250920574551524,11.341168573355196,69428
1999-02-19,11.431419372558594,11.641998067202127,11.408856521970892,11.476542813493516,76322
1999-02-22,11.762325286865234,11.845052324303442,11.52166399241233,11.52166399241233,89617
1999-02-23,11.912748336791992,11.95787293574045,11.747294110929833,11.845063133550711,121623
1999-02-24,11.521671295166016,11.972911508273725,11.476546708794933,11.957869602776489,251986
1999-02-25,11.44646167755127,11.506627026944855,11.205800279976922,11.35621365346089,173448
1999-02-26,11.657034873962402,11.687117534397352,11.393811877686558,11.446456250917755,116822
1999-03-01,11.702159881591797,11.784888056561977,11.566788456393336,11.611913018206161,211486
1999-03-02,11.73224925994873,11.897703428393756,11.657041997840595,11.792413487466474,91463
1999-03-03,11.619427680969238,11.80744453320916,11.559262378662023,11.792402642572604,57365
1999-03-04,11.882654190063477,11.912736850315891,11.657034803230289,11.657034803230289,50348
1999-03-05,12.183483123779297,12.333895309749455,12.018027911020189,12.333895309749455,498432
1999-03-08,12.100762367248535,12.213572130376287,12.04059587944378,12.183489451534182,133564
1999-03-09,12.198524475097656,12.311335315163106,12.033070384527017,12.123317248387355,105374
1999-03-10,12.424147605895996,12.431668556153307,12.213568909533029,12.311337872517326,91217
1999-03-11,12.484318733215332,12.619690249979753,12.363987993815503,12.454236048365374,210993
1999-03-12,12.506871223449707,12.604640159504344,12.409102287395068,12.52943293788695,183911
1999-03-15,12.544476509094238,12.604641842372962,12.439186610796428,12.514393842454876,82969
1999-03-16,12.363981246948242,12.66480793129052,12.363981246948242,12.66480793129052,188466
1999-03-17,12.258689880371094,12.303814442700864,12.138359220985071,12.303814442700864,161261
1999-03-18,12.544476509094238,12.544476509094238,12.16844261104217,12.16844261104217,199422
1999-03-19,12.306315422058105,12.57777816226937,12.291233592152935,12.57777816226937,244723
1999-03-22,12.336472511291504,12.381715714825097,12.230903147846947,12.276147484500244,427280
1999-03-23,11.914196014404297,12.2158222770188,11.884034634574503,12.170577941034734,288793
1999-03-24,11.884033203125,12.00468324039045,11.823707051372725,11.944357088638174,144396
1999-03-25,12.155502319335938,12.306316094143238,12.034852205986308,12.306316094143238,77184
1999-03-26,12.0499267578125,12.155494976663544,11.997142648386976,12.07254835712064,65120
1999-03-29,12.321394920349121,12.366638139423452,12.200744825324115,12.230907349080367,75583
1999-03-30,12.178123474121094,12.261070132930307,12.117798425328916,12.230907608534219,141565
1999-03-31,12.034843444824219,12.27614462898057,11.989600251814519,12.185657109841728,112637
1999-04-01,12.065011024475098,12.08009171603019,11.94435982643533,12.00468599201512,52933
1999-04-05,12.306315422058105,12.351558645533215,12.140420958702233,12.230908538772654,92941
1999-04-06,12.21582317352295,12.419419867593737,12.170578834218457,12.276148203849091,142427
1999-04-07,12.547615051269531,12.607940101840631,12.321395545067828,12.328936459669253,324738
1999-04-08,12.773828506469727,12.803992153262524,12.63809776150071,12.668260275173793,194498
1999-04-09,12.743663787841797,12.819070625537197,12.6079330663574,12.728583100174427,151167
1999-04-12,12.969887733459473,12.984968426435538,12.65318071664303,12.668262542739011,193759
1999-04-13,12.954803466796875,13.1206978570001,12.92464095340717,13.1206978570001,209516
1999-04-14,12.788909912109375,13.135779374579007,12.788909912109375,13.03021001361184,160646
1999-04-15,12.668266296386719,13.331841912591303,12.592859409803344,12.864322161887037,124577
1999-04-16,12.607937812805176,12.72858789204274,12.502368426912335,12.72858789204274,125070
1999-04-19,12.607937812805176,13.045293783481371,12.607937812805176,12.841697058047968,149443
1999-04-20,12.773828506469727,13.21118552128929,12.668260275173793,12.683340965450478,67213
1999-04-21,12.969887733459473,12.969887733459473,12.773830792931214,12.788912619027197,85185
1999-04-22,13.105620384216309,13.105620384216309,12.939727072063741,12.939727072063741,74476
1999-04-23,13.060369491577148,13.181019514294002,12.969881974539508,13.181019514294002,159045
1999-04-26,12.864319801330566,13.075457458652659,12.803995889501442,13.075457458652659,184404
1999-04-27,13.090530395507812,13.143314490707956,12.86431106403405,12.977421296330569,72998
1999-04-28,13.015132904052734,13.165944375857576,12.939726035030326,13.105619333887644,189328
1999-04-29,13.060369491577148,13.211182019973215,13.00004448021872,13.015126299618034,104512
1999-04-30,12.879398345947266,13.120698464232385,12.653178918495088,13.060373434661106,417801
1999-05-03,13.030211448669434,13.030211448669432,12.773829496027085,12.834154528046485,257895
1999-05-04,12.623016357421875,13.000048357419706,12.623016357421875,12.939723328069634,368685
1999-05-05,12.698429107666016,12.728591636348165,12.45712887820882,12.638104050301717,267373
1999-05-06,12.487288475036621,12.683344298879073,12.426963431835864,12.56269421247756,211486
1999-05-07,12.728592872619629,12.803999768209078,12.623023445418479,12.653185977030182,787963
1999-05-10,12.683343887329102,12.864319011059079,12.65318136670744,12.819075796686572,53918
1999-05-11,12.834159851074219,13.000054324492977,12.773834794034721,12.788916624854732,70536
1999-05-12,13.015132904052734,13.030213597985224,12.653181519113156,12.803995257157974,51087
1999-05-13,13.135787010192871,13.165948407293318,13.022676672024678,13.030217587859958,61181
1999-05-14,12.728592872619629,12.894486229923794,12.577780214561121,12.819080467454734,197083
1999-05-17,12.487288475036621,12.623019255678315,12.351556561274911,12.547613518237377,235613
1999-05-18,12.51745319366455,12.683346525023747,12.321396202290723,12.577778247453386,166062
1999-05-19,12.607937812805176,12.607937812805176,12.442043387293554,12.547612773186394,85924
1999-05-20,12.44204330444336,12.683343461311695,12.44204330444336,12.59285590248607,180465
1999-05-21,12.411870002746582,12.487276802822645,12.313841615895281,12.411870002746582,95772
1999-05-24,12.14041805267334,12.291230650024316,12.004687281617429,12.230905611083926,534870
1999-05-25,11.823714256286621,12.140421363657257,11.823714256286621,12.06501561097678,105497
1999-05-26,12.20828628540039,12.20828628540039,11.763389323383457,11.884039423802975,236106
1999-05-27,11.914196014404297,12.10271200361848,11.861411900022626,12.10271200361848,53549
1999-05-28,12.10272216796875,12.140425624100395,11.921746938281622,12.004694768395368,47394
1999-06-01,11.929281234741211,12.095175669767757,11.793550454374047,12.034849493569006,256417
1999-06-02,11.853878021240234,11.94436447200364,11.65782102293218,11.868958718660718,126178
1999-06-03,11.846331596374512,12.004685077802556,11.808628170678363,12.004685077802556,87155
1999-06-04,12.065011024475098,12.110254232260178,11.91419731020534,11.98960416734022,91340
1999-06-07,12.291236877441406,12.306318711377758,12.09518096811239,12.14042420368043,60319
1999-06-08,12.072550773620605,12.26106678286841,12.072550773620607,12.26106678286841,233767
1999-06-09,12.042384147644043,12.223360315929488,11.997140955412247,12.110250069111158,41977
1999-06-10,11.816170692443848,11.899117333781419,11.733222917986398,11.899117333781419,121623
1999-06-11,11.838799476623535,12.004693993015305,11.748311867624542,11.838799476623535,100942
1999-06-14,11.778465270996094,11.884034632863928,11.73322093501854,11.884034632863928,35207
1999-06-15,11.838799476623535,11.929287085622528,11.793556238684321,11.853881311350316,152890
1999-06-16,12.147956848144531,12.253525081327208,12.110253422099404,12.12533524576535,228966
1999-06-17,12.38171672821045,12.426961068566783,12.12533590992388,12.200741633024707,192898
1999-06-18,12.400959968566895,12.43120734034344,12.302660555352746,12.310222398296881,66351
1999-06-21,12.47657585144043,12.491699536996522,12.340468362759998,12.446329616593125,157568
1999-06-22,12.340469360351562,12.476576860034793,12.340469360351562,12.461454309521088,89001
1999-06-23,12.219476699829102,12.340461572648627,12.098491827009575,12.340461572648627,49117
1999-06-24,12.022881507873535,12.174112671784815,11.87921218622402,12.174112671784815,68444
1999-06-25,12.053128242492676,12.128744395729026,12.022882008451104,12.098498161687456,95156
